Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; S_2802, Smax, H_2802, X, X3, L_2802
Уравнение:;; 33.579 + 0.252*S_2802 + 0.342*Smax + 0.098*H_2802 + 0.458*X + 0.346*X3 + 0.921*L_2802
Модель:;; Lars6

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;265.13338907034455;-5.133389070344549;26.351683347532873;-0.08526697898501855
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;296.7463163205409;-12.746316320540927;162.46857974328802;-0.21171975685977262
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;276.8633235252485;92.13667647475148;8489.167151813022;1.5304150823297686
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;293.35498593463075;77.64501406536925;6028.748209211389;1.2897046555169729
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;155.93356775808147;-22.933567758081466;525.9485301145138;-0.3809327548103774
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;249.81004159234217;-60.81004159234217;3697.861158462385;-1.010071215619806
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;186.2942804494329;-50.294280449432904;2529.5146459262087;-0.8354015827326698
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;201.5848176805925;-71.5848176805925;5124.386122363668;-1.1890431567089033
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;271.034174858299;144.96582514170098;21015.090459014224;2.4079215108224097
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;285.64088628790057;-15.640886287900571;244.6373238710361;-0.25979934583995384
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;174.34485786465456;14.655142135345443;214.7731910071774;0.24342586921686177
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;291.6598651854628;36.34013481453718;1320.6053983387371;0.6036194547271879
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;176.44846556104847;-27.448465561048465;753.4182616560636;-0.45592642678997947
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;270.3139456623981;-6.313945662398112;39.86590982771593;-0.10487634284695155
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;217.14820953003823;84.85179046996177;7199.826345958295;1.4094111581450453
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;227.60914964588133;-42.60914964588133;1815.5396335451092;-0.7077494843345313
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;260.859427291438;-12.85942729143801;165.36487026378072;-0.21359856063760693
18.0;2007.0;192.0;-39.866666666666674;1589.3511111111118;-0.6621961013060808;213.5809670521415;-21.58096705214149;465.7381389056165;-0.35846569174773596
19.0;2008.0;164.0;-67.86666666666667;4605.884444444446;-1.1272836640963046;167.6911089804182;-3.6911089804181927;13.62428550532383;-0.06131031713199305
20.0;2009.0;134.0;-97.86666666666667;9577.884444444446;-1.6255917670858302;196.3913958327516;-62.39139583275161;3892.686273959095;-1.0363379366762349
21.0;2010.0;439.0;207.13333333333333;42904.217777777776;3.4405406133076797;307.2317526311641;131.7682473688359;17362.871014654727;2.188706179353972
22.0;2011.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;248.8356737329113;-76.83567373291129;5903.720757990393;-1.2762612939923048
23.0;2012.0;207.0;-24.866666666666674;618.3511111111114;-0.413042049811318;205.84760627352662;1.1523937264733775;1.3280113008151975;0.019141571057865965
24.0;2013.0;320.0;88.13333333333333;7767.484444444443;1.4639184714492284;250.31157967693895;69.68842032306105;4856.475927123629;1.1575434843840418
25.0;2015.0;123.0;-108.86666666666667;11851.951111111113;-1.8083047381819897;189.7972346373577;-66.79723463735769;4461.8705551982175;-1.1095201092362648
