year;d_0;S_2802;Smax;d_smax;H_2802;H;H_max;d_hmax;X;X1;X2;X3;Xs
1977;12.12.1976;0;37;20.2;149;68;202;18.04;60;131;103;115;88
1978;26.11.1977;112;128;25.2;92;92;215;21.03;123;18;18;123;124
1979;02.12.1978;157;196;5.3;96;142;272;2.04;137;28;31;152;133
1980;12.12.1979;64;103;25.3;71;87;226;9.04;108;16;41;105;84
1981;31.10.1980;34;44;20.2;156;156;219;14.03;156;21;18;225;156
1982;26.11.1981;101;101;28.2;121;118;219;2.04;160;21;19;194;160
1983;03.02.1983;21;23;10.2;62;66;212;1.04;12;91;86;159;17
1984;12.11.1983;60;67;10.2;78;65;177;7.04;150;24;23;69;152
1985;11.11.1984;71;85;15.3;58;72;227;7.04;103;16;29;151;96
1986;15.11.1985;142;142;28.2;68;66;218;4.04;77;13;13;124;77
1987;08.12.1986;90;104;15.2;86;75;230;3.04;69;60;49;65;80
1988;04.12.1987;28;52;20.3;96;93;216;28.03;148;27;55;140;121
1989;27.11.1988;0;41;20.12;90;73;110;4.03;37;100;3;148;130
1991;16.12.1990;45;50;25.2;115;85;166;30.03;65;22;17;195;71
1992;04.12.1991;0;20;10.2;121;144;148;5.03;65;39;3;108;101
1993;17.12.1992;20;23;10.3;72;59;185;24.03;90;24;24;191;89
1994;09.11.1993;28;43;5.3;112;104;247;14.03;199;14;23;149;191
1995;14.12.1994;0;12;20.12;154;79;160;2.03;6;93;0;187;99
1996;03.11.1995;145;148;15.3;85;47;231;16.04;167;21;29;140;160
1999;09.11.1998;38;66;25.2;109;109;240;30.03;133;73;65;252;137
2001;19.12.2000;23;46;5.2;139;77;166;21.03;89;58;31;105;115
2003;30.11.2002;32;49;5.3;79;70;214;22.03;96;14;24;191;85
2004;23.12.2003;63;83;5.2;172;122;233;27.03;104;107;38;140;172
2005;16.01.2005;47;116;15.3;107;107;201;1.04;97;20;60;141;56
2006;19.11.2005;21;56;25.3;86;60;230;7.04;158;25;58;83;127
2007;23.01.2007;61;62;25.2;106;108;192;13.03;52;20;12;114;63
2008;22.12.2007;0;12;25.3;120;79;140;9.03;140;0;26;118;86
2009;13.12.2008;13;46;20.1;101;83;183;11.04;35;112;49;155;97
2010;10.12.2009;67;141;15.2;152;109;275;26.03;112;46;26;182;136
2011;26.11.2010;15;77;31.12;153;121;171;1.04;65;90;13;102;140
2012;14.01.2012;23;56;20.2;145;84;171;20.03;49;53;20;107;79
2013;02.12.2012;100;149;25.3;94;69;263;18.04;205;33;81;161;157
2015;18.11.2014;1;21;10.2;131;64;160;9.03;122;22;11;148;133
2017;28.12.2016;0;123;20.1;180;123;205;4.03;37;33;8;242;65
2018;08.01.2018;25;68;5.3;144;140;229;10.04;72;29;51;198;56
2019;21.11.2018;0;59;31.1;130;102;175;19.03;108;58;40;150;126
2021;06.12.2020;26;77;10.2;145;120;186;11.03;156;20;8;114;167
2024;25.11.2023;0;41;20.01.2024;197;;;;130;44;32;165;201
