year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
1991;06.12.1990;21;37;20.02.1991;238;292;30.03.1991;67.3;29.1;20.9;75.5;83.0;104.0;166.0;222;279;402;12.6;15.7;22.7;51.0
1992;04.12.1991;29;29;28.02.1992;168;281;06.04.1992;78.0;42.8;42.8;78.0;125.0;110.0;78.6;335;295;190;18.9;16.6;10.7;46.3
1993;28.11.1992;23;28;10.03.1993;161;293;26.03.1993;94.7;22.1;25.1;91.3;71.8;75.9;75.0;192;203;181;10.9;11.5;10.3;32.6
1994;05.11.1993;65;68;20.03.1994;141;363;09.04.1994;157.4;25.8;52.9;129.8;88.4;107.0;89.2;237;287;216;13.4;16.2;12.2;41.8
1995;11.11.1994;32;36;20.01.1995;136;288;10.03.1995;95.1;72.8;4.8;164.5;71.1;99.5;58.5;190;267;142;10.8;15.1;8.0;33.8
1996;03.11.1995;30;35;10.03.1996;271;295;15.04.1996;97.5;19.8;30.4;87.5;74.7;77.9;182.0;200;209;440;11.3;11.8;24.9;48.0
1997;15.12.1996;5;38;10.02.1997;138;230;04.03.1997;44.4;29.1;7.5;66.2;55.1;42.2;39.0;148;113;94;8.3;6.4;5.3;20.1
1998;27.11.1997;0;35;10.02.1998;172;295;21.04.1998;84.3;125.6;27.7;110.8;74.9;58.8;54.8;201;157;133;11.3;8.9;7.5;27.7
1999;08.11.1998;75;89;20.03.1999;274;325;07.04.1999;111.0;9.8;34.2;92.9;67.5;119.0;108.0;181;319;261;10.2;18.0;14.8;43.0
2000;15.11.1999;75;80;20.03.2000;211;307;13.04.2000;39.5;49.1;74.2;33.1;164.0;187.0;110.0;439;501;266;24.8;28.3;15.0;68.1
2001;24.11.2000;66;81;10.03.2001;217;296;23.03.2001;187.4;19.3;44.5;160.0;81.2;94.6;101.0;217;253;244;12.3;14.3;13.8;40.4
2003;29.11.2002;55;60;20.02.2003;199;258;11.04.2003;57.9;41.5;41.0;58.7;82.8;62.4;290.0;222;167;702;12.5;9.4;39.6;61.6
2004;01.12.2003;90;109;10.03.2004;115;398;28.03.2004;223.6;46.6;57.8;217.4;41.5;49.2;52.5;111;132;127;6.3;7.4;7.2;20.9
2005;20.11.2004;54;90;20.03.2005;229;311;15.04.2005;184.5;3.9;49.0;139.1;79.3;74.3;82.3;212;199;199;12.0;11.2;11.2;34.5
2006;30.11.2005;53;90;20.03.2006;133;362;09.04.2006;130.7;47.0;85.3;96.6;68.1;103.0;63.1;182;276;153;10.3;15.6;8.6;34.5
2007;23.01.2007;87;87;28.02.2007;123;324;25.03.2007;71.3;24.8;22.2;73.6;63.7;64.1;51.4;171;172;124;9.6;9.7;7.0;26.4
2008;24.12.2007;11;26;31.01.2008;208;299;08.03.2008;31.2;61.6;21.8;73.1;93.4;109.0;85.6;250;292;207;14.1;16.5;11.7;42.3
2009;09.12.2008;58;67;10.03.2009;234;302;14.04.2009;124.4;47.2;58.5;111.4;106.0;62.0;60.5;284;166;146;16.0;9.4;8.3;33.7
2010;08.12.2009;117;117;28.02.2010;211;401;05.04.2010;155.7;25.5;24.7;158.0;88.3;86.0;124.0;237;230;300;13.4;13.0;16.9;43.3
2011;26.11.2010;106;107;10.03.2011;160;324;17.04.2011;165.2;30.3;32.3;163.2;131.0;108.0;88.5;351;289;214;19.8;16.3;12.1;48.3
2012;20.12.2011;83;87;10.03.2012;157;343;25.04.2012;103.5;118.0;126.0;94.8;91.2;98.3;93.3;244;263;226;13.8;14.9;12.8;41.4
2013;02.12.2012;80;142;30.03.2013;210;439;21.04.2013;181.5;31.7;100.0;110.7;77.4;80.9;77.9;207;217;188;11.7;12.2;10.6;34.6
2014;06.12.2013;9;31;10.02.2014;260;275;06.03.2014;78.1;26.3;1.5;100.8;107.0;81.3;74.8;287;218;181;16.2;12.3;10.2;38.7
2015;17.11.2014;4;26;31.01.2015;190;221;09.03.2015;115.5;33.8;12.4;132.4;121.0;115.0;111.0;324;308;269;18.3;17.4;15.2;50.9
2016;27.12.2015;4;34;20.01.2016;136;262;19.03.2016;31.5;105.2;36.6;121.4;48.9;53.1;78.0;131;142;189;7.4;8.0;10.7;26.1
2017;11.11.2016;0;63;10.01.2017;194;262;13.03.2017;77.4;48.3;6.1;120.7;56.0;36.4;94.4;150;97;228;8.5;5.5;12.9;26.9
2018;08.01.2018;75;101;10.03.2018;200;310;11.04.2018;106.1;17.0;40.0;86.6;79.8;65.7;57.2;214;176;138;12.1;9.9;7.8;29.8
2019;12.11.2018;60;99;31.01.2019;124;220;28.03.2019;114.9;49.9;32.3;133.1;114.0;192.0;106.0;305;514;256;17.3;29.1;14.5;60.8
2021;30.11.2020;51;92;25.02.2021;171;292;12.04.2021;149.3;42.1;41.3;150.0;55.5;61.3;73.0;149;164;177;8.4;9.3;10.0;27.7
2022;04.12.2021;69;101;10.02.2022;217;353;25.04.2022;136.6;151.3;130.6;154.8;77.3;99.9;100.0;207;268;242;11.7;15.1;13.7;40.5
2023;17.11.2022;35;61;10.03.2023;224;402;03.04.2023;289.4;77.3;96.2;263.1;83.8;92.5;108.0;224;248;261;12.7;14.0;14.8;41.4
