Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, X3
Уравнение:;; 223.941 + 1.231*S_2802 + 0.085*X3
Модель:;; Lars2

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;257.1681081714904;23.831891828509583;567.9590681257819;0.485593835417403
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;350.4201543829031;-39.42015438290309;1553.9485715719138;-0.8032171385001284
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;397.72841500573827;96.27158499426173;9268.21807730736;1.96161045608437
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;308.15929550103857;48.84070449896143;2385.4144159548714;0.9951683732370274
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;269.2778241005276;23.722175899472404;562.7416294055093;0.4833582857106939
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;347.74988803481335;-78.74988803481335;6201.544865495639;-1.6045918823687266
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;259.150932867376;32.849067132623986;1079.0612114836374;0.6693259861028921
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;291.9084543127922;-42.90845431279217;1841.1354515129733;-0.8742940363909926
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;315.4826528931037;46.517347106896295;2163.863581863473;0.9478281102324501
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;368.00887463619176;-14.008874636191763;196.2485685725369;-0.2854420124688591
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;323.2003209821641;37.7996790178359;1428.8157338514236;0.7701986583314222
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;257.10422031598944;136.89577968401056;18740.454495293157;2.7893608777499974
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;236.47751898683114;-49.47751898683114;2448.024885092236;-1.0081439771814904
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;269.0965688041753;-24.09656880417532;580.6446281343552;-0.4909868402482847
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;233.83384860795684;-10.833848607956838;117.37227566012832;-0.22074832060020558
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;277.20334345515573;-25.203343455155732;635.2085213185413;-0.5135382579695336
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;293.75801151568106;98.24198848431894;9651.488301353054;2.001759001358988
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;240.8267831585276;-9.826783158527604;96.56566724472175;-0.2002285575187165
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;377.639987783642;-32.63998778364203;1065.3688025163008;-0.6650658273329002
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;305.2493777830904;64.75062221690962;4192.64307747695;1.3193456572490168
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;245.5862580793647;-47.58625807936471;2264.4519579959033;-0.9696080252545444
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;287.14897939195504;-23.148979391955038;535.875246889159;-0.4716789489406165
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;306.8269082179911;34.173091782008896;1167.800201941604;0.6963040461036877
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;306.19265850421783;-52.19265850421783;2724.0736017379018;-1.0634671139860943
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;299.6741102052082;46.325889794791806;2146.0880652791957;0.9439270145421654
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;324.01582599228965;-38.01582599228965;1445.2030258760453;-0.7746028256167614
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;234.17496736652126;-35.17496736652126;1237.2783292358354;-0.7167180615412878
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;257.8344456364739;-43.8344456364739;1921.4586242569858;-0.8931618493898723
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;313.76115904813616;65.23884095186384;4256.106368742586;1.329293504013974
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;267.2843034875719;-43.28430348757189;1873.530928404228;-0.8819522635948194
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;265.79725687738755;-11.797256877387554;139.17526983106794;-0.2403785337612965
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;341.47127875258167;21.528721247418332;463.48583854904155;0.43866489481375753
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;228.24268097792927;-47.24268097792927;2231.8709059824;-0.9626073673274198
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;243.38517384776083;31.614826152239175;999.4972326363061;0.644177340086573
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;272.7156076553873;-20.715607655387316;429.1364005319416;-0.4220970557758168
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;236.73335805575448;-31.73335805575448;1007.0060134947176;-0.6465925223163977
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;258.3247319401804;-40.32473194018041;1626.0840060474063;-0.8216486289009587
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783783783784;;Pк -;климатическая обеспеченность в %
Pм =;;78.37837837837837;;Pм -;обеспеченность метода в %
S =;;50.344602448929386;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6913969479257758;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.4780297396010779;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7224750932723716;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
