Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Верхнедвинск
Предикторы:;; 
Уравнение:;; 
Модель:;; StackingRegressorRidge

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;565.9530411027032;62.046958897296804;3849.825108402839;0.4342019673358254
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;685.0495118101753;59.95048818982468;3594.061034198309;0.4195309548990501
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;672.5447168778542;-15.544716877854171;241.63822281264433;-0.10878126454537237
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;868.3382817428198;185.66171825718015;34470.273626208545;1.2992527717539673
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;570.2449680925006;103.75503190749941;10765.106646126222;0.7260732802359843
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;802.1021891275717;-85.1021891275717;7242.382594304984;-0.595541483426144
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;558.9229726096889;-29.92297260968894;895.3842898001946;-0.20939968382929083
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;554.791984292573;4.208015707426966;17.70739619395207;0.02944751412827819
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;931.3186320914929;39.68136790850713;1574.6109590902993;0.27768851719179305
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;686.4554323057622;121.5445676942378;14773.081935979155;0.8505636915932667
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;725.669076602252;32.33092339774805;1045.2886077510525;0.22625042056167027
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;681.9537151072652;-233.95371510726523;54734.34081249142;-1.637198102379929
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;932.3666439581642;116.63335604183578;13603.33974158163;0.8161952422869061
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;682.0149021303234;76.98509786967657;5926.705294003679;0.5387384256154243
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;702.4590870354748;-63.459087035474795;4027.055727375965;-0.4440839797120012
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;695.8846925825816;3.115307417418421;9.705140305022233;0.021800788202012904
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;488.3032802823757;125.69671971762432;15799.665347771006;0.8796202740474698
