Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Верхнедвинск
Предикторы:;; S_2802, H_2802, X
Уравнение:;; 394.222 + 3.668*S_2802 + 0.231*H_2802 + 0.604*X
Модель:;; QuantileRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;608.285168503415;19.71483149658502;388.67458093874075;0.1379635484743226
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;602.8901718700819;142.10982812991813;20195.203251114868;0.9944785054478269
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;654.503397960613;2.4966020393869712;6.233021743071184;0.01747111440144546
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;771.0647163627755;282.93528363722453;80052.37472687669;1.9799690261589098
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;614.7768650907493;59.22313490925069;3507.3797084793077;0.4144409677185961
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;808.849664860919;-91.849664860919;8436.36093506314;-0.6427600303144715
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;580.6548635761185;-51.65486357611849;2668.2249310674124;-0.36147852829240695
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;604.3125619501653;-45.31256195016533;2053.228270487571;-0.31709537249609543
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;862.9032302133;108.09676978669995;11684.911638318807;0.7564565764089008
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;641.5987555582275;166.40124444177252;27689.37415177053;1.164468798919571
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;731.4640912607987;26.535908739201318;704.1544526152209;0.18569715557980568
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;665.9647435443184;-217.96474354431837;47508.62942834048;-1.5253079625295687
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;1023.5156284222693;25.484371577730712;649.4531947118489;0.17833854345196523
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;691.2388035008498;67.76119649915017;4591.579750996441;0.47418995792624213
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;677.2267741068404;-38.22677410684037;1461.286258615401;-0.267509331916917
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;728.2838686105958;-29.283868610595846;857.5449608026407;-0.20492726135008846
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;531.6550415112946;82.3449584887054;6780.692188506616;0.5762465012211979
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;763.4500695642732;-22.450069564273235;504.00562344070744;-0.15710462760582225
