Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; Smax, X
Уравнение:;; 392.95 + 3.557*Smax + 0.781*X
Модель:;; OMP2

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;618.9128915044794;9.087108495520624;82.5755408093631;0.0635911969945242
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;576.8728547153011;168.12714528469894;28266.736981582264;1.1765465792772778
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;611.906218706283;45.09378129371703;2033.4491113655838;0.31556435480992456
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;741.5296654729161;312.4703345270839;97637.70995946771;2.1866540503672334
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;559.35617271981;114.64382728018995;13143.207133450027;0.8022726050178061
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;815.0997298539781;-98.09972985397815;9623.556997423491;-0.6864977180947066
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;601.3962095089885;-72.39620950898848;5241.211151269354;-0.5066255809328456
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;625.9195643026758;-66.91956430267578;4478.228086459959;-0.4683002517750149
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;811.59639345488;159.40360654512006;25409.50977959144;1.1154996279008993
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;653.9462554954613;154.0537445045387;23732.556195869693;1.0780615219199006
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;755.5430110693089;2.456988930691068;6.0367946055384385;0.017193903559307017
