Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; Smax, H_2802, X, X1
Уравнение:;; 0.235 + 3.357*Smax + 0.01*H_2802 + 1.622*X + 1.363*X1
Модель:;; PassiveAggressiveRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;834.352528296814;-206.35252829681394;42581.365934487396;-1.4440461763727428
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;593.2632501850497;151.73674981495026;23024.04124440481;1.0618472920784152
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;649.3331795595484;7.666820440451602;58.78013566612649;0.05365208186858674
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;725.8094676169953;328.19053238300467;107709.02554584004;2.29666332329949
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;804.4799859255922;-130.47998592559225;17025.02672714275;-0.9130933666002965
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;787.2670824673354;-70.2670824673354;4937.462878471314;-0.4917260408647513
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;749.3101227946875;-220.31012279468746;48536.550205810265;-1.541720826314634
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;926.9031147674284;-367.9031147674284;135352.7018555756;-2.574570278060073
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;879.2460551452739;91.75394485472611;8418.78639640412;0.6420901858008806
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;662.3926944118039;145.60730558819614;21201.487440654335;1.018953703267122
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;901.9330908235977;-143.9330908235977;20716.734634034023;-1.0072376198772075
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;588.0426800223314;-140.0426800223314;19611.9522278371;-0.9800126913122079
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;1122.95024087866;-73.95024087866;5468.638126011836;-0.5175006260600349
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;812.7280516349447;-53.72805163494468;2886.7035324872813;-0.3759866097487359
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;725.7287990480979;-86.72879904809793;7521.884584325352;-0.6069244301512127
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;803.8300148341501;-104.83001483415012;10989.332010128133;-0.7335959648268079
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;621.9095851318909;-7.909585131890935;62.56153695863014;-0.05535093880687942
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;812.3200862501949;-71.32008625019489;5086.554702735239;-0.49909491634640807
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;1014.4843818625418;49.515618137458205;2451.79643953458;0.3465081801143764
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;1073.1657519534654;-148.16575195346536;21953.090051935826;-1.0368576016187216
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;767.2698448042026;78.73015519579735;6198.437337154337;0.5509502622240425
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;1019.5436148874652;78.4563851125348;6155.404364926373;0.5490344308785119
