Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; S_2802, H_2802, X2, Xs
Уравнение:;; Непараметрическая (нелинейная) модель
Модель:;; BaggingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;606.4546264697333;21.545373530266716;464.2031205587176;0.15077360341401996
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;722.627850318833;22.372149681167002;500.5130813565408;0.15655934759306117
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;657.3912576218573;-0.3912576218573349;0.15308252666145727;-0.002738004120827147
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;952.1910963065311;101.80890369346889;10365.052871266023;0.7124543581447579
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;599.1971926798735;74.80280732012648;5595.459982971967;0.5234668495905386
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;835.1752250379404;-118.17522503794044;13965.383812767865;-0.8269851756435258
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;548.4608541791996;-19.4608541791996;378.72484538407053;-0.1361862260587315
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;532.4413553735004;26.558644626499586;705.3616043966953;0.1858562603477021
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;957.3213143057308;13.678685694269234;187.1064423226058;0.09572285805096677
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;682.3782795033586;125.62172049664139;15780.816660536291;0.879095432703459
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;741.3730798635107;16.626920136489275;276.45447322519254;0.11635447671092583
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;641.8118302239602;-193.81183022396021;37563.025534761175;-1.356286907074616
