Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; S_2802, H_2802, Xs
Уравнение:;; 455.359 + 3.981*S_2802 + 0.099*H_2802 + 0.322*Xs
Модель:;; QuantileRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;571.0203934695478;56.9796065304522;3246.6755603651513;0.3987408519810866
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;599.0578059358267;145.94219406417335;21299.124008264836;1.0212972385135164
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;654.3498232179022;2.6501767820977875;7.023436976370184;0.018545823889278792
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;801.710081448165;252.28991855183494;63650.20300289151;1.7655140706497126
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;596.1540045723244;77.84599542767558;6059.999004125687;0.5447629499434662
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;834.9218746187992;-117.92187461879917;13905.56851361179;-0.8252122402350623
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;545.8552248176022;-16.85522481760222;284.0986036519138;-0.11795214311477496
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;571.4993407490782;-12.499340749078215;156.23351916156716;-0.08746985251338496
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;886.1655326031333;84.83446739686667;7196.8868585100345;0.593667978193388
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;640.494381535786;167.50561846421397;28058.13221707882;1.17219716114297
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;723.2747732140692;34.72522678593077;1205.841375334324;0.24300565337281554
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;671.7546854148754;-223.75468541487544;50066.15924510987;-1.5658257283578223
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;1061.0124796170567;-12.01247961705667;144.29966655020195;-0.08406281911319825
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;709.5418829832075;49.45811701679247;2446.105338846737;0.3461057897287589
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;699.7989878376643;-60.7989878376643;3696.5169220844514;-0.42546871918151147
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;697.759870658736;1.240129341264037;1.5379207830639745;0.008678372144217779
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;506.70792561842416;107.29207438157584;11511.589225101603;0.7508253523453761
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;768.3826293879827;-27.38262938798266;749.8083921996117;-0.19162247050286701
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;984.2527695350891;79.7472304649109;6359.620766823613;0.5580677115015922
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;1043.4837663150108;-118.48376631501083;14038.402880190093;-0.8291443343176846
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;790.4890513827195;55.51094861728052;3081.465416390358;0.38846324665480436
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;811.5764495556409;286.4235504443591;82038.45024915232;2.0043797682350384
23.0;2014.0;370.0;-337.78125;114096.1728515625;-2.3637787554088168;505.1146704844167;-135.1146704844167;18255.974180112506;-0.9455266911207385
24.0;2015.0;403.0;-304.78125;92891.6103515625;-2.1328461653716526;569.7903545341085;-166.79035453410847;27819.0223656136;-1.1671917747205633
25.0;2016.0;415.0;-292.78125;85720.8603515625;-2.048870678085411;574.095307465266;-159.09530746526605;25311.316857467536;-1.1133421641125125
