Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Верхнедвинск
Предикторы:;; S_2802, H_2802, X2, Xs
Уравнение:;; 374.043 + 4.481*S_2802 + 0.298*H_2802 + 0.085*X2 + 0.268*Xs
Модель:;; ElasticNetCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;581.2551133517533;46.744886648246734;2185.0844277574356;0.3271187195355541
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;578.097717129946;166.90228287005402;27856.372027235528;1.1679750444332437
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;642.9805637635052;14.019436236494812;196.54459238914382;0.09810741578650377
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;794.10754699303;259.89245300696996;67544.0871299801;1.8187162819397462
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;609.4483808258049;64.55161917419514;4166.911538010318;0.4517294729390779
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;830.9821086994162;-113.98210869941624;12991.92110356554;-0.7976419266622367
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;542.9109306922826;-13.91093069228259;193.5139927254898;-0.09734809862413042
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;591.3772465148749;-32.377246514874855;1048.286091884976;-0.22657458775611536
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;904.0193611186722;66.98063888132776;4486.405984950837;0.4687276490669401
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;622.4690653501658;185.5309346498342;34421.72771204104;1.2983375536576398
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;736.7010838757756;21.298916124224434;453.6438280667476;0.1490489050167113
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;644.8208720236076;-196.82087202360765;38738.45566413334;-1.377344053023788
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;1111.0038348717962;-62.00383487179624;3844.4755388089757;-0.43390018724789586
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;704.629309496499;54.37069050350101;2956.171985827495;0.3804837690934106
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;673.79446361784;-34.79446361784005;1210.654698453195;-0.24349016976429366
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;716.3918627172283;-17.391862717228264;302.47688877491447;-0.12170751220788849
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;482.5018235430175;131.4981764569825;17291.770411511705;0.9202186204356075
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;776.644382729644;-35.64438272964401;1270.522020177344;-0.24943786739492924
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;1013.2522117416229;50.74778825837711;2575.338013117078;0.3551308539746858
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;1081.4148505245157;-156.4148505245157;24465.605464606593;-1.0945844409667378
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;790.2762568470483;55.72374315295167;3105.135550976128;0.3899523737235406
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;825.6687406266005;272.33125937339946;74164.31483190178;1.9057625174297563
23.0;2014.0;370.0;-337.78125;114096.1728515625;-2.3637787554088168;493.0527800263998;-123.05278002639977;15141.98667222553;-0.8611180970536352
24.0;2015.0;403.0;-304.78125;92891.6103515625;-2.1328461653716526;544.5894483084488;-141.58944830844882;20047.5718722909;-0.9908369096910091
25.0;2016.0;415.0;-292.78125;85720.8603515625;-2.048870678085411;540.7713702988451;-125.77137029884511;15818.437586849219;-0.8801426756253212
26.0;2017.0;723.0;15.21875;231.6103515625;0.10650016226145748;639.6632889212524;83.33671107874761;6945.007413422655;0.5831867434725468
27.0;2018.0;690.0;-17.78125;316.1728515625;-0.124432427775707;720.9335464808374;-30.933546480837435;956.8842978821301;-0.2164716366016607
28.0;2019.0;417.0;-290.78125;84553.7353515625;-2.034874763537704;650.4353700738029;-233.43537007380291;54492.072001493325;-1.6335707459826454
29.0;2020.0;479.0;-228.78125;52340.8603515625;-1.6010014125587888;556.2884921549683;-77.28849215496825;5973.511019588589;-0.5408615658610268
30.0;2021.0;568.0;-139.78125;19538.7978515625;-0.9781832151858302;528.0159003355861;39.98409966441386;1598.7282259737806;0.279807021085067
31.0;2022.0;564.0;-143.78125;20673.0478515625;-1.006175044281244;714.9208263787273;-150.92082637872727;22777.095834837943;-1.056137494732991
32.0;2023.0;1038.0;330.21875;109044.4228515625;2.3108567035253;891.4357519824523;146.5642480175477;21481.078796949234;1.0256503455012618
Сумма;;22649.0
Средний;;707.78125
Высший;;1098.0
Низший;;370.0

σ = ;;212.0160880041433;;σ -;среднеквадратическое отклонение (см)
δдоп =;;142.8988433147926;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;71.875;;Pм -;обеспеченность метода в %
S =;;125.81371190700816;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.5934158727829628;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.3521423980707655;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.8048960193274871;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
