Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs
Уравнение:;; Непараметрическая (нелинейная) модель
Модель:;; BaggingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;570.7037147597515;57.296285240248494;3282.8643023319173;0.4009569560617801
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;691.1525562007898;53.84744379921017;2899.5472037090976;0.37682211101309865
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;664.1564825389112;-7.1564825389111775;51.215242329740576;-0.050080759038378816
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;890.8989900379884;163.10100996201163;26601.93945062822;1.1413738990365063
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;552.9358577271953;121.0641422728047;14656.526544249899;0.8472016950208049
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;838.2542341180949;-121.25423411809493;14702.589291565777;-0.8485319496322539
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;536.0238699794596;-7.023869979459619;49.33474948835406;-0.04915274201336045
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;539.5269005375803;19.47309946241967;379.2016026732892;0.1362719180275118
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;935.7508128229085;35.24918717709147;1242.50519664563;0.24667230580334967
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;674.9484812656625;133.0515187343375;17702.706637513762;0.9310888433242082
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;727.8308116797433;30.169188320256694;910.1799239031129;0.21112269085199545
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;637.0371084343802;-189.03710843438023;35735.02836523163;-1.322873607996598
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;983.424181449354;65.57581855064598;4300.187978587245;0.45889677641538823
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;712.426820006115;46.57317999388499;2169.061094742809;0.32591712370469433
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;679.6882369441029;-40.68823694410287;1655.5326256194576;-0.2847345436832581
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;706.0417831265224;-7.041783126522432;49.58670960097604;-0.04927809745114627
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;489.23786635660815;124.76213364339185;15565.589991251569;0.8730800806312525
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;808.2411482618011;-67.24114826180107;4521.372019565513;-0.47055068258093036
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;965.2166372678964;98.78336273210357;9758.152752662349;0.6912817517668298
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;947.1244514318716;-22.12445143187165;489.49135116124745;-0.154825965827684
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;854.8490309735632;-8.84903097356323;78.30534917108142;-0.061925140668001456
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;998.5437595740241;99.45624042597592;9891.543759669526;0.6959905211190776
23.0;2014.0;370.0;-337.78125;114096.1728515625;-2.3637787554088168;394.54373581282;-24.54373581281999;602.3949676495025;-0.17175601455886153
