Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs
Уравнение:;; 271.262 + 5.132*S_2802 - 1.43*Smax + 0.543*H_2802 + 3.756*X + 2.392*X1 - 1.742*X2 - 2.981*Xs
Модель:;; ElasticNetCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;773.9797464845235;-145.9797464845235;21310.086383685753;-1.0215600287466566
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;656.4822871600052;88.51771283999483;7835.385486423786;0.6194431724335144
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;699.3546167498796;-42.3546167498796;1793.9135600291813;-0.29639579836609586
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;676.0987648821682;377.9012351178318;142809.3435035828;2.644536697091041
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;594.6132266516347;79.3867733483653;6302.2597826647225;0.5555452480009496
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;793.6455026528088;-76.64550265280877;5874.533076901716;-0.5363619527973785
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;765.3394969270223;-236.3394969270223;55856.357807717985;-1.6538937016193254
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;637.5964687778094;-78.59646877780938;6177.404904341164;-0.5500147303828682
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;835.5256203844127;135.47437961558728;18353.30753222825;0.9480439202516852
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;702.7112420129133;105.28875798708668;11085.72255846331;0.7368062298107307
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;794.8238401550714;-36.823840155071366;1355.9952037662463;-0.2576916600643991
