Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs
Уравнение:;; 310.65 + 6.091*S_2802 - 2.612*Smax + 0.552*H_2802 + 3.714*X + 2.467*X1 - 1.673*X2 - 3.133*Xs
Модель:;; HuberRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;775.9171192586675;-147.91711925866753;21879.474169782872;-1.0351176806436435
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;674.902906825015;70.09709317498505;4913.602471582535;0.490536463059871
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;717.6858419116011;-60.685841911601074;3682.7714085198377;-0.4246769288252104
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;679.5704083500038;374.42959164999615;140197.51910318286;2.6202422844330746
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;602.2360130586153;71.7639869413847;5150.069821723234;0.5022013144171884
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;790.2719297227945;-73.27192972279454;5368.775685302142;-0.5127538335729103
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;771.2700149467254;-242.27001494672538;58694.76014228654;-1.6953952133330255
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;623.9064046226479;-64.90640462264787;4212.841361038884;-0.4542122463487351
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;838.551067903533;132.44893209646705;17542.719613494537;0.9268719677785957
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;709.1655318952824;98.83446810471764;9768.25208554245;0.6916393849808475
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;784.5258723319029;-26.52587233190286;703.6219029684097;-0.1856269212303481
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;789.1455049365354;-341.1455049365354;116380.25553840371;-2.3873216677130427
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;893.2058481320677;155.79415186793233;24271.81775624836;1.090240818288029
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;510.98313341945624;248.01686658054376;61512.36610843125;1.7356114355256616
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;562.0192397451672;76.98076025483283;5926.03744941205;0.5387080711720774
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;1045.6021677219712;-346.6021677219712;120133.06266956947;-2.4255071607433485
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;682.4034047683481;-68.40340476834808;4679.025783902465;-0.4786841039550045
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;813.2422143021854;-72.2422143021854;5218.937527282881;-0.5055479290552595
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;880.0687887479863;183.93121125201367;33830.69047263288;1.287142757669708
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;820.7961746614438;104.20382533855616;10858.437215188318;0.7292139174913055
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;832.1570405504702;13.842959449529758;191.6275263213252;0.09687243877149537
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;757.5129582663592;340.4870417336408;115931.42558852606;2.3827137703527814
23.0;2014.0;370.0;-337.78125;114096.1728515625;-2.3637787554088168;885.0832172516892;-515.0832172516892;265310.7206943509;-3.604530346806305
24.0;2015.0;403.0;-304.78125;92891.6103515625;-2.1328461653716526;495.3909404969546;-92.39094049695461;8536.085885911807;-0.6465478540888265
25.0;2016.0;415.0;-292.78125;85720.8603515625;-2.048870678085411;534.2223710859041;-119.22237108590411;14213.973767345025;-0.8343130589466602
26.0;2017.0;723.0;15.21875;231.6103515625;0.10650016226145748;449.2645194328416;273.7354805671584;74931.11332133315;1.915589197346721
27.0;2018.0;690.0;-17.78125;316.1728515625;-0.124432427775707;965.3179389691342;-275.31793896913416;75799.96751821188;-1.9266631736313977
28.0;2019.0;417.0;-290.78125;84553.7353515625;-2.034874763537704;597.9758111284264;-180.97581112842636;32752.24421359185;-1.2664609938777027
29.0;2020.0;479.0;-228.78125;52340.8603515625;-1.6010014125587888;276.44466619550985;202.55533380449015;41028.66325264843;1.4174735715549491
30.0;2021.0;568.0;-139.78125;19538.7978515625;-0.9781832151858302;580.8012346376607;-12.801234637660741;163.8716082484451;-0.08958249304692295
31.0;2022.0;564.0;-143.78125;20673.0478515625;-1.006175044281244;721.9913056226237;-157.9913056226237;24961.252652341293;-1.105616406387446
32.0;2023.0;1038.0;330.21875;109044.4228515625;2.3108567035253;429.6644138964553;608.3355861035448;370072.1853199433;4.257106439717214
Сумма;;22649.0
Средний;;707.78125
Высший;;1098.0
Низший;;370.0

σ = ;;212.0160880041433;;σ -;среднеквадратическое отклонение (см)
δдоп =;;142.8988433147926;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;50.0;;Pм -;обеспеченность метода в %
S =;;230.84809569121626;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;1.0888234844079612;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;1.1855365801982938;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
