Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Верхнедвинск
Предикторы:;; S_2802, H_2802, X, X1
Уравнение:;; 395.515 + 3.841*S_2802 + 0.188*H_2802 + 0.528*X + 0.275*X1
Модель:;; QuantileRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;605.2611013702826;22.73889862971737;517.0575108925624;0.15912584106524733
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;604.8678845606514;140.13211543934858;19637.009777506915;0.9806385565392634
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;656.1095000091998;0.8904999908002083;0.792990233615171;0.006231680887986765
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;774.6704001511831;279.3295998488169;78025.02535170015;1.954736605064607
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;610.7271000144193;63.27289998558069;4003.4598725852975;0.44278105069189744
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;813.1057483552605;-96.10574835526052;9236.31486692466;-0.6725439207618263
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;579.3006627426992;-50.30066274269916;2530.1566723547635;-0.3520018887199218
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;599.0882634685724;-40.08826346857245;1607.0688679256805;-0.2805359549360509
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;864.6842369620382;106.3157630379618;11303.041470344046;0.7439931672767865
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;644.1337903050936;163.8662096949064;26852.134679775034;1.146728734073268
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;730.8872560958232;27.112743904176796;735.1008820134759;0.18973382341836031
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;670.8739583119275;-222.87395831192748;49672.80129362679;-1.5596624377214676
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;1023.6000679351486;25.39993206485144;645.1565488990684;0.1777476393486111
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;692.1150347334494;66.88496526655058;4473.598578707678;0.46805812919849427
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;681.74409645883;-42.74409645882997;1827.057782081761;-0.2991213607283635
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;727.2844964274154;-28.284496427415434;800.0127381524765;-0.1979336975115143
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;532.6381447466299;81.3618552533701;6619.751490270347;0.5693667867845343
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;764.4795238109017;-23.479523810901696;551.2880383866997;-0.16430870443911524
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;953.7382824593218;110.2617175406782;12157.646355020304;0.7716067882913656
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;1000.1313019287338;-75.13130192873382;5644.7125295065625;-0.525765640826264
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;780.4843029340366;65.51569706596342;4292.306562039088;0.45847604883433907
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;804.6433617273802;293.35663827261976;86058.11721861268;2.0528972206330804
23.0;2014.0;370.0;-337.78125;114096.1728515625;-2.3637787554088168;547.7284452273057;-177.72844522730566;31587.400242915388;-1.2437360660490915
24.0;2015.0;403.0;-304.78125;92891.6103515625;-2.1328461653716526;569.0644737312175;-166.0644737312175;27577.40943562623;-1.1621120918760217
25.0;2016.0;415.0;-292.78125;85720.8603515625;-2.048870678085411;575.3046862645501;-160.30468626455013;25697.592438375847;-1.1218053452778067
26.0;2017.0;723.0;15.21875;231.6103515625;0.10650016226145748;635.6040290454412;87.39597095455883;7638.055739090091;0.6115932706469415
27.0;2018.0;690.0;-17.78125;316.1728515625;-0.124432427775707;731.1677856027986;-41.16778560279863;1694.7865714379943;-0.28809040470754477
28.0;2019.0;417.0;-290.78125;84553.7353515625;-2.034874763537704;662.8997405759853;-245.89974057598533;60466.68241533689;-1.7207958782023975
29.0;2020.0;479.0;-228.78125;52340.8603515625;-1.6010014125587888;555.3437278440641;-76.34372784406412;5828.364781128531;-0.534250145579458
30.0;2021.0;568.0;-139.78125;19538.7978515625;-0.9781832151858302;560.6804927153271;7.319507284672909;53.57518689037978;0.05122159924380024
31.0;2022.0;564.0;-143.78125;20673.0478515625;-1.006175044281244;703.0360010416878;-139.03600104168777;19331.009585664204;-0.9729679948171773
32.0;2023.0;1038.0;330.21875;109044.4228515625;2.3108567035253;828.8808261324948;209.1191738675052;43730.82887902787;1.4634070438683362
Сумма;;22649.0
Средний;;707.78125
Высший;;1098.0
Низший;;370.0

σ = ;;212.0160880041433;;σ -;среднеквадратическое отклонение (см)
δдоп =;;142.8988433147926;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;71.875;;Pм -;обеспеченность метода в %
S =;;131.57535404390578;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6205913677708008;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.38513364575163334;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7841341430191435;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
