Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; S_2802, Smax, X, X3, L_2802
Уравнение:;; 73.136 + 0.319*S_2802 + 0.158*Smax + 0.437*X + 0.301*X3 + 0.761*L_2802
Модель:;; Lars5

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;261.22119659945304;-1.2211965994530374;1.4913211345156623;-0.020284405361690086
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;285.79798620057585;-1.7979862005758491;3.2327543774611778;-0.029865036427009866
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;270.15220248646534;98.84779751353466;9770.887073276748;1.6418886154554067
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;278.671226747452;92.32877325254799;8524.602370320421;1.5336058616942412
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;167.18970408409317;-34.189704084093165;1168.9358653578568;-0.5679002194639233
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;239.9527774972906;-50.95277749729061;2596.1855346884045;-0.8463393965574091
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;196.13803585926155;-60.13803585926155;3616.583357009828;-0.9989090188848229
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;213.69907222787617;-83.69907222787617;7005.534691807233;-1.3902641967952087
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;263.41520034358064;152.58479965641936;23282.121086189636;2.5344747353942383
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;273.4240806569943;-3.424080656994306;11.724328345602558;-0.05687490455566537
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;184.50362705424797;4.496372945752029;20.217369667290775;0.07468596909770395
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;283.4039246716642;44.596075328335814;1988.8099346906024;0.7407528565880335
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;183.75767421469018;-34.757674214690184;1208.095916814539;-0.5773343567416738
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;267.8732608484863;-3.873260848486325;15.002149600417006;-0.06433590885976069
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;216.78569887359416;85.21430112640584;7261.477116461772;1.4154325580625828
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;229.52806945029343;-44.52806945029343;1982.748968970155;-0.7396232605853855
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;255.37995033173465;-7.379950331734648;54.463666898870336;-0.12258296833212041
18.0;2007.0;192.0;-39.866666666666674;1589.3511111111118;-0.6621961013060808;219.30524051208607;-27.305240512086073;745.5761594228665;-0.4535474200416784
19.0;2008.0;164.0;-67.86666666666667;4605.884444444446;-1.1272836640963046;180.82875863731175;-16.82875863731175;283.20711727289483;-0.2795302264075804
20.0;2009.0;134.0;-97.86666666666667;9577.884444444446;-1.6255917670858302;206.1102469448547;-72.11024694485471;5199.8877144479275;-1.1977706787065594
21.0;2010.0;439.0;207.13333333333333;42904.217777777776;3.4405406133076797;290.33169269159805;148.66830730840195;22102.26559794544;2.4694207396504533
22.0;2011.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;242.91285391138675;-70.91285391138675;5028.632849857679;-1.1778816570052162
23.0;2012.0;207.0;-24.866666666666674;618.3511111111114;-0.413042049811318;209.09249037778017;-2.092490377780166;4.3785159811025816;-0.034756830355849005
24.0;2013.0;320.0;88.13333333333333;7767.484444444443;1.4639184714492284;243.0500017472843;76.94999825271569;5921.302231092947;1.2781602551452687
25.0;2015.0;123.0;-108.86666666666667;11851.951111111113;-1.8083047381819897;200.6924328499235;-77.6924328499235;6036.114122139873;-1.290492294336216
26.0;2017.0;238.0;6.133333333333326;37.61777777777768;0.10187632327785844;239.29249505462448;-1.2924950546244816;1.6705434662287415;-0.02146869195977562
27.0;2018.0;202.0;-29.866666666666674;892.0177777777782;-0.4960934003095723;233.39769703965538;-31.397697039655384;985.8153793939845;-0.5215242283356839
28.0;2019.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;194.35985353762564;-61.35985353762564;3765.0316261588696;-1.0192037405349788
29.0;2021.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;170.60821766403956;1.3917823359604427;1.9370580706915064;0.023117880520225956
