Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; Smax, H_2802, X, X1, X2, X3, Xs, L_2802, Q12
Уравнение:;;  - 81.126 + 0.79*Smax + 0.419*H_2802 - 0.705*X - 1.081*X1 + 1.341*X2 + 0.559*X3 + 1.217*Xs + 1.454*L_2802 - 0.444*Q12
Модель:;; OMP9

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;262.2337585022997;-2.233758502299679;4.989677046596105;-0.03710333206058923
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;352.8816308130449;-68.88163081304492;4744.6790634646195;-1.1441424927091088
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;261.36267491610386;107.63732508389614;11585.793751216339;1.7878850424474388
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;333.1944246032306;37.80557539676943;1429.2615310808178;0.6279608186130551
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;185.1001129761626;-52.10011297616259;2714.4217721289056;-0.8653969487563848
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;239.9648326508777;-50.964832650877696;2597.4141671319694;-0.8465396359145833
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;160.26347724605435;-24.26347724605435;588.7163280697972;-0.4030229106136954
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;145.6409926616627;-15.640992661662693;244.64065144218623;-0.25980111273687423
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;372.66685534340183;43.333144656598165;1877.7614258296621;0.7197752370133376
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;346.2018671497174;-76.20186714971737;5806.724557103175;-1.265733595454517
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;212.59565194714557;-23.59565194714557;556.7547908108345;-0.3919301520194405
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;365.5534028545568;-37.55340285455679;1410.2580659566343;-0.6237721645751877
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;115.07794137348765;33.92205862651235;1150.7060614605412;0.5634545561225615
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;225.30132565842493;38.69867434157507;1497.5873957952808;0.6427954333119901
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;255.9833487405368;46.0166512594632;2117.5321931350563;0.7643490065011224
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;242.20180214361616;-57.20180214361616;3272.046168477411;-0.9501373837922515
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;247.545356538474;0.4546434615259898;0.20670067710833415;0.00755175069498691
