Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; Smax, H_2802, X, X1, X3, L_max, Y_sum
Уравнение:;;  - 161.829 + 1.096*Smax + 0.883*H_2802 + 0.301*X + 0.141*X1 + 0.492*X3 + 1.261*L_max + 0.314*Y_sum
Модель:;; HuberRegressorCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;236.8128511893413;23.187148810658698;537.6438699676311;0.385144804585839
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;294.97661030683435;-10.976610306834345;120.48597382810199;-0.1823244619751299
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;248.30191421656423;120.69808578343577;14568.02791178562;2.0048278053736968
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;238.49295794374507;132.50704205625493;17558.116194498114;2.2009777586601893
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;184.63685396910398;-51.63685396910398;2666.3646878265695;-0.8577020915230453
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;308.5138341129461;-119.51383411294609;14283.556544376796;-1.9851570652609005
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;143.31690177628388;-7.316901776283885;53.53705160378627;-0.12153571479669042
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;152.39432204537906;-22.394322045379056;501.5056598721504;-0.37197573787231164
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;287.01883561870505;128.98116438129495;16636.14076515463;2.142411978140775
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;352.5301784925965;-82.53017849259652;6811.230362019841;-1.370848556134424
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;209.7374109991071;-20.737410999107112;430.04021494588864;-0.3444539978626396
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;303.9668505628081;24.033149437191923;577.5922718703985;0.3991971034970297
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;194.47731093891645;-45.477310938916446;2068.1858102348892;-0.7553904181012084
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;190.2948381766289;73.7051618233711;5432.450879409321;1.2242626456246686
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;295.6265484597792;6.373451540220799;40.62088453554288;0.1058647515501032
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;238.95558335684495;-53.955583356844954;2911.204975377444;-0.896216812941421
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;199.0311323872075;48.96886761279251;2397.949995279199;0.8133861175225284
18.0;2007.0;192.0;-39.866666666666674;1589.3511111111118;-0.6621961013060808;228.38085813630823;-36.380858136308234;1323.566838734185;-0.6042958801011601
19.0;2008.0;164.0;-67.86666666666667;4605.884444444446;-1.1272836640963046;157.8913674531234;6.108632546876606;37.31539159276017;0.10146603654313853
20.0;2009.0;134.0;-97.86666666666667;9577.884444444446;-1.6255917670858302;172.94176393256078;-38.941763932560775;1516.4609781792913;-0.6468332170766763
21.0;2010.0;439.0;207.13333333333333;42904.217777777776;3.4405406133076797;359.71591820158017;79.28408179841983;6285.9656266185275;1.3169300132745654
22.0;2011.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;321.733907065212;-149.733907065212;22420.242925013546;-2.4871206394291905
23.0;2012.0;207.0;-24.866666666666674;618.3511111111114;-0.413042049811318;217.15248551453703;-10.152485514537034;103.0729621228843;-0.1686355265792529
24.0;2013.0;320.0;88.13333333333333;7767.484444444443;1.4639184714492284;343.7194362347214;-23.7194362347214;562.6116552930145;-0.3939862424701679
25.0;2015.0;123.0;-108.86666666666667;11851.951111111113;-1.8083047381819897;156.3198589825023;-33.319858982502296;1110.2130026138389;-0.5534518573816408
26.0;2017.0;238.0;6.133333333333326;37.61777777777768;0.10187632327785844;272.55082430039045;-34.550824300390445;1193.759459836451;-0.5738985237950655
27.0;2018.0;202.0;-29.866666666666674;892.0177777777782;-0.4960934003095723;241.50772582004697;-39.50772582004697;1560.860399472006;-0.6562339968939301
28.0;2019.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;208.9647112049613;-75.9647112049613;5770.637348453173;-1.2617943711563808
29.0;2021.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;226.79674432615786;-54.796744326157864;3002.683188746314;-0.9101887238389925
30.0;2023.0;237.0;5.133333333333326;26.351111111111035;0.08526605317820758;259.3509050342392;-22.35090503423919;499.56295584957877;-0.3712545695903589
Сумма;;6956.0
Средний;;231.86666666666667
Высший;;439.0
Низший;;123.0

σ = ;;89.32302222188059;;σ -;среднеквадратическое отклонение (см)
δдоп =;;60.20371697754752;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;70.0;;Pм -;обеспеченность метода в %
S =;;67.71685645216016;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7581120160035542;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5747338288089732;;S/σ -;критерий эффективности метода прогнозирования
