Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; S_2802, H_2802, X2, X3, Xs, L_2802
Уравнение:;;  - 58.01 + 1.038*S_2802 + 0.374*H_2802 + 0.452*X2 + 0.342*X3 + 0.444*Xs + 1.42*L_2802
Модель:;; Lars6

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;289.3227270958481;-29.32272709584811;859.8223243375849;-0.4870584171203877
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;353.08255515578907;-69.08255515578907;4772.3994268526385;-1.147479900311684
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;297.0950165557502;71.90498344424981;5170.326644117839;1.1943611965199121
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;319.9149932034894;51.085006796510584;2609.6779193995326;0.8485357609325404
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;122.67672209311414;10.323277906885863;106.57006674279778;0.1714724343471325
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;253.3659158203708;-64.36591582037079;4142.971119395059;-1.0691352469877486
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;160.74454387787242;-24.744543877872417;612.2924517239533;-0.41101355730412276
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;170.16736199574163;-40.16736199574163;1613.4169696969489;-0.6671907319397192
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;322.5427412696076;93.45725873039243;8734.259209399512;1.5523503102847709
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;332.976512580793;-62.976512580792985;3966.041136838777;-1.0460568839010314
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;149.97225937019584;39.02774062980416;1523.1645386672662;0.6482613132401647
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;340.36598079340644;-12.365980793406436;152.91748098289688;-0.20540228102557564
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;149.490401343221;-0.49040134322100926;0.24049347743297012;-0.008145698768132545
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;260.9272991188928;3.0727008811072096;9.441490704757022;0.05103839157062591
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;241.84895566044162;60.15104433955838;3618.1481351395187;0.9991250932561393
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;218.1672965711071;-33.1672965711071;1100.069561835773;-0.5509177545213125
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;272.73824776512373;-24.73824776512373;611.9809024886492;-0.4109089771707892
18.0;2007.0;192.0;-39.866666666666674;1589.3511111111118;-0.6621961013060808;188.00640771075146;3.9935922892485394;15.94877937274539;0.06633464659230122
19.0;2008.0;164.0;-67.86666666666667;4605.884444444446;-1.1272836640963046;111.21989095550745;52.78010904449255;2785.739910748524;0.8766918671180461
