Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; 
Уравнение:;; 
Модель:;; BaggingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;278.7496461965905;2.250353803409496;5.064092240519584;0.07863973741483204
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;288.81212825157115;3.1878717484288472;10.162526284430795;0.11140177016999825
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;275.2809184328813;-0.2809184328813217;0.07891516593249763;-0.009816834918714915
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;253.81589109068017;37.18410890931983;1382.6579553801585;1.2994172543904299
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;243.4300317840813;-75.43003178408131;5689.689694947517;-2.6359401280391386
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;222.3109443394265;-27.3109443394265;745.8876807112523;-0.9543945881530225
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;213.88034170854516;-47.88034170854516;2292.527122127049;-1.6732024509157828
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;218.01154405410344;-20.01154405410344;400.4618954293227;-0.699313400095457
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;269.40480591782307;16.59519408217693;275.40046662512026;0.5799273443106185
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;275.23059315497557;1.7694068450244345;3.130800583219323;0.061832805784543414
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;228.48350176248337;-21.48350176248337;461.5408479786261;-0.7507516972633765
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;272.3611550704067;19.63884492959329;385.6842301686121;0.6862892430754318
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;232.56616345211688;-16.566163452116882;274.4377715222531;-0.5789128544462023
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;224.14233980249043;-26.142339802490426;683.4219303488752;-0.9135571190460763
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;277.4587236359895;18.541276364010514;343.778929206615;0.6479341614605179
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;262.82068746403615;-42.820687464036155;1833.611274892663;-1.4963903067119744
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;270.6666650306659;8.33333496933409;69.44447171112638;0.29121255190423045
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;256.76050464102974;-20.76050464102974;430.9985529502174;-0.72548620181255
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;221.96479940302365;5.0352005969763525;25.353245051791017;0.17595759927941074
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;250.808824380507;-17.80882438050699;317.1542258157402;-0.6223382611339021
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;305.08717276548566;15.912827234514339;253.21807059550125;0.5560816940668785
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;271.2746519919614;-29.274651991961377;857.0052492504483;-1.0230173326836247
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;245.67967659293535;-10.679676592935351;114.05549212969123;-0.37320663162890994
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;271.8239242393854;9.176075760614594;84.20036636453871;0.3206625496933146
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;221.59521891632704;-21.595218916327042;466.3534800440893;-0.7546557089924157
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;229.7705090675657;37.22949093243429;1386.0349950882069;1.301003151850495
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;264.59449522772195;1.40550477227805;1.9754436648963734;0.04911606613136927
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;228.29876217425613;-28.298762174256126;800.8199405951093;-0.9889143756757643
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;230.16440105731718;-18.16440105731718;329.9454657710654;-0.6347640656686495
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;261.3914177980952;19.608582201904824;384.4964959688586;0.6852316969441204
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;80.0;;Pм -;обеспеченность метода в %
S =;;26.46311136385206;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6232927163311753;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.388493810231495;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7819886123010392;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
