Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; S_2802, X, X2, X3, L_2802
Уравнение:;; 171.878 + 0.508*S_2802 + 0.28*X + 0.122*X2 + 0.059*X3 + 0.086*L_2802
Модель:;; Lars5

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;272.1981630366043;8.801836963395715;77.4723339301991;0.30758458804161964
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;276.2756072627629;15.72439273723711;247.2565269548752;0.5494967564613669
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;277.9110495726111;-2.911049572611091;8.474209614199216;-0.10172808099990935
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;239.88102144151372;51.118978558486276;2613.1499688629797;1.7863782329085947
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;211.70766144281032;-43.70766144281032;1910.359668799328;-1.527386055326663
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;227.60908805953952;-32.609088059539516;1063.3526240748026;-1.1395408661758266
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;216.99017366447143;-50.99017366447143;2599.9978103329554;-1.781877081566203
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;231.9954512518588;-33.99545125185881;1155.6907058175088;-1.1879880202368445
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;249.73809947964867;36.26190052035133;1314.9254293478562;1.2671902217165631
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;279.29945461817215;-2.299454618172149;5.287491541033223;-0.08035558990608882
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;220.22112479188422;-13.221124791884222;174.7981407625756;-0.46201880805909273
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;260.9372137552367;31.062786244763288;964.8966892878553;1.0855045770848204
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;231.7337882903866;-15.733788290386599;247.55209396670645;-0.5498250887580144
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;242.66080256067332;-44.66080256067332;1994.5872853634444;-1.5606940476585631
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;259.4764762092509;36.523523790749095;1333.9677900934153;1.2763327775469033
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;245.4786766706519;-25.478676670651907;649.1629648876218;-0.8903650794918457
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;247.33991728466452;31.660082715335477;1002.3608375418843;1.1063774005197118
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;251.7911625726992;-15.791162572699193;249.3608153974158;-0.5518300617043088
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;216.31254346283083;10.687456537169169;114.22172723388;0.37347850566521595
