Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; 
Уравнение:;; 
Модель:;; OMPCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;295.7654181867724;-14.765418186772422;218.0175742302698;-0.5159849119141712
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;297.4484210997363;-5.448421099736322;29.685292480051952;-0.19039779609745558
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;300.7269592116608;-25.726959211660812;661.8764302784591;-0.8990414368717589
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;244.26121023364624;46.73878976635376;2184.514468823415;1.6333103482413895
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;200.08853902201272;-32.088539022012725;1029.6743365672335;-1.121350020113919
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;239.73553996991131;-44.735539969911315;2001.2685363995329;-1.5633057837458557
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;197.61622411163563;-31.61622411163563;999.5856270771702;-1.1048447397118373
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;206.65621500653722;-8.656215006537224;74.93005823940022;-0.3024957560402537
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;270.14076662590924;15.859233374090763;251.5152832138743;0.5542088298513175
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;293.6219784696492;-16.621978469649207;276.29016824548177;-0.5808633381061032
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;206.33123712907872;0.6687628709212845;0.44724377752287864;0.02337025248312432
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;282.6677428679668;9.332257132033192;87.09102317838438;0.3261203857095172
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;212.9781195034706;3.0218804965294055;9.131761735304806;0.1056011229816521
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;226.13761595476356;-28.13761595476356;791.7254316177649;-0.9832830405643307
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;286.15344031889833;9.846559681101667;96.95473755349695;0.34409294511295246
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;231.64960954316362;-11.64960954316362;135.7134025081689;-0.40710142292811824
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;258.58022282371564;20.419777176284356;416.9672999291035;0.7135793104086284
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;236.71087945216135;-0.7108794521613504;0.5053495955052216;-0.024842037446231535
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;186.9321766618972;40.06782333810281;1605.4304670534164;1.4001900951389696
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;237.00033708805177;-4.000337088051765;16.002696818042473;-0.13979377718231611
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;280.93253045495123;40.067469545048766;1605.4021157434104;1.4001777316640232
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;279.58678570438985;-37.586785704389854;1412.7664595877254;-1.3134889960780594
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;250.60096610364985;-15.600966103649853;243.39014336723167;-0.5451835511153486
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;259.8214557482726;21.178544251727374;448.5307366223746;0.7400948047639847
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;229.16416853310355;-29.16416853310355;850.5487262272673;-1.0191564330419336
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;245.57943520253284;21.420564797467165;458.84059624248954;0.7485523335921785
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;241.611020609365;24.388979390635;594.8223157168188;0.8522850638816992
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;199.17014816914943;0.829851830850572;0.6886540611660464;0.028999586630525667
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;205.95025011955317;6.049749880446825;36.599473615966374;0.2114115306237371
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;266.8716285191666;14.12837148083338;199.61088070042598;0.4937229966543893
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;73.33333333333333;;Pм -;обеспеченность метода в %
S =;;24.02479128418183;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.5658623135018809;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.3202001578417009;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.8244997526732796;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
