Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; 
Уравнение:;; 
Модель:;; Lars6

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;269.49546169677683;11.504538303223171;132.3544015703291;0.4020318360044637
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;270.3570081655587;21.642991834441318;468.41909554569355;0.7563251574721859
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;275.80590268594653;-0.8059026859465348;0.6494791392158391;-0.028162671802417397
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;239.88714940182217;51.11285059817783;2612.5234962716477;1.7861640882755088
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;219.98161509589426;-51.981615095894256;2702.088307977702;-1.8165234974814024
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;225.7332765806148;-30.733276580614813;944.534289380567;-1.0739896973245686
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;221.57711294014723;-55.57711294014723;3088.815482761881;-1.9421699651254047
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;231.31997730287628;-33.31997730287628;1110.2208874641906;-1.1643832457795724
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;248.77454934889644;37.22545065110356;1385.7341761777463;1.3008619622018054
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;276.4045221782729;0.5954778217271155;0.35459383616887036;0.020809269842825343
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;221.24069432628127;-14.240694326281272;202.7973748945796;-0.497648174579001
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;256.0788241250046;35.92117587499541;1290.3308762423524;1.2552834288376145
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;236.2688660695209;-20.268866069520897;410.82693174417545;-0.7083056464226012
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;240.10402904286073;-42.10402904286073;1772.74926164206;-1.4713463203077137
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;260.6003088588716;35.399691141128415;1253.1381328872856;1.2370598843998415
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;244.53663556523006;-24.536635565230057;602.0464848609125;-0.8574449826376926
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;249.8125319579728;29.187468042027206;851.9082907043594;1.0199706460163
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;253.33161704517306;-17.33161704517306;300.3849494005334;-0.6056620124985834
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;220.48119777353176;6.518802226468239;42.49478246780727;0.22780279908518922
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;252.96397255726384;-19.963972557263844;398.56020026718386;-0.6976509903827138
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;264.9437346667448;56.056265333255226;3142.3048831123115;1.9589141847759377
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;262.8436044767625;-20.843604476762494;434.4558475837135;-0.7283901670696301
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;247.54920371219617;-12.549203712196174;157.48251381019824;-0.4385381903935055
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;267.7099084208193;13.290091579180682;176.62653418300928;0.46442888688097445
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;223.3677095498722;-23.36770954987219;546.0498496071879;-0.8165962793067607
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;223.21158169292477;43.78841830707523;1917.4255778354013;1.5302081442757944
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;242.19400771000068;23.805992289999324;566.7252689115072;0.8319122885248806
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;222.1370234390335;-22.1370234390335;490.0478067403185;-0.773589338598236
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;220.5713553804739;-8.571355380473904;73.46813305837894;-0.2995302940312889
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;237.16339702247868;43.83660297752132;1921.6477606088313;1.5318919816464158
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;56.666666666666664;;Pм -;обеспеченность метода в %
S =;;31.62123123008427;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.744783288561367;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5547021469202844;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6673064161835368;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
