Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Q02, Y_sum
Уравнение:;; 86.726 + 0.568*S_2802 + 0.24*Smax + 0.443*H_2802 - 1.798*X - 1.943*X1 + 2.667*X2 - 0.007*X3 + 2.084*Xs - 0.502*L_max + 0.703*L_2802 + 3.45*Q01 - 0.427*Q02 - 0.779*Y_sum
Модель:;; OMP13

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;350.56650697691373;-69.56650697691373;4839.498892968986;-2.431036325595988
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;338.8475289955323;-46.847528995532286;2194.690972987238;-1.6371102949059249
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;280.0786817831955;-5.07868178319552;25.79300865496203;-0.17747707104495275
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;271.023432876334;19.976567123665973;399.0632340463322;0.6980911137949597
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;282.37266530905544;-114.37266530905544;13081.106569897212;-3.9968099032745354
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;195.38479098322836;-0.38479098322835625;0.14806410077384513;-0.01344671306122018
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;193.31262363136565;-27.312623631365653;745.9794096286336;-0.9544532718484209
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;165.08421227351215;32.91578772648785;1083.4490816552081;1.1502586391933365
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;395.659846128131;-109.659846128131;12025.281852845366;-3.832118083566023
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;329.020438008592;-52.02043800859201;2706.125970605764;-1.8178801835525458
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;257.3279759067275;-50.32797590672749;2532.9051588681427;-1.7587362502414685
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;353.52020371646995;-61.52020371646995;3784.735465315963;-2.149854240093381
