Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; 
Уравнение:;; 
Модель:;; HuberRegressorCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;352.6469083348606;-71.6469083348606;5133.279473943917;-2.503736989935315
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;341.14859692378604;-49.148596923786044;2415.584579576791;-1.717522262738451
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;275.123264830545;-0.12326483054499704;0.015194218449286836;-0.00430755105790732
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;267.2418061149024;23.758193885097626;564.4517766818902;0.8302419493965968
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;288.56235311190244;-120.56235311190244;14535.280987879052;-4.213111634477068
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;191.22233164958476;3.77766835041524;14.270778165729002;0.13201250695196468
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;195.32731692022455;-29.327316920224547;860.091517739289;-1.0248577349009613
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;165.12261410837198;32.87738589162802;1080.9225030670214;1.1489166678975122
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;400.5209726031756;-114.52097260317561;13115.053165977299;-4.001992575727482
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;332.65384645921586;-55.653846459215856;3097.3506257059735;-1.944851456267522
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;263.82935346589113;-56.82935346589113;3229.5754153511925;-1.9859301356263772
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;359.06278391705706;-67.06278391705706;4497.416986705887;-2.3435424729901095
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;177.84059446776757;38.15940553223243;1456.1402305733707;1.3334994819100385
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;163.8636712786465;34.13632872135349;1165.2889385723033;1.192911053758037
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;324.9050598793028;-28.905059879302826;835.5024866260819;-1.010101751744296
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;248.5493277545732;-28.5493277545732;815.0641152380435;-0.9976705150043782
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;232.47354006572067;46.52645993427933;2164.7114740160996;1.6258903762288242
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;102.34370765116964;133.65629234883036;17864.00448443601;4.6706858798058155
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;103.378019991788;123.621980008212;15282.393941150769;4.320031824248382
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;160.9511292386168;72.0488707613832;5191.039777990499;2.517783767657322
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;279.31103272052724;41.68896727947276;1737.9699928289506;1.456841779717557
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;314.22519580627005;-72.22519580627005;5216.478909254049;-2.5239455344019786
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;162.42064688487983;72.57935311512017;5267.762498609304;2.5363217384145744
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;275.5922798791138;5.407720120886211;29.243436905837573;0.18897548006677187
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;252.20816775085925;-52.208167750859246;2725.6927799018595;-1.8244404931423013
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;296.5266984865824;-29.526698486582404;871.8259235175476;-1.0318252233021115
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;135.93545858134888;130.06454141865112;16916.78493444401;4.545170349945209
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;214.45860192085357;-14.458601920853567;209.05116950571048;-0.5052630642874105
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;187.8581349245413;24.141865075458696;582.8296493216524;0.8436495307368809
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;490.0525336978736;-209.05253369787363;43702.96184550059;-7.305445184218688
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;23.333333333333332;;Pм -;обеспеченность метода в %
S =;;76.69420685612332;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;1.8063990987664345;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;3.2630777040241865;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
