Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum
Уравнение:;; 68.645 + 0.716*S_2802 + 0.368*H_2802 + 0.593*X2 + 0.073*X3 + 0.221*Xs + 0.372*L_2802 + 0.191*Y_sum
Модель:;; HuberRegressorCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;286.92508154730467;-5.925081547304671;35.10659134221032;-0.20705493346670784
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;293.475664926891;-1.4756649268909996;2.1775869764562192;-0.051567847770055165
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;288.6677568764045;-13.667756876404496;186.8075780325024;-0.4776265892864263
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;244.03097990437294;46.96902009562706;2206.0888487434186;1.6413558620675048
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;201.43761518390113;-33.43761518390113;1118.0741091866555;-1.1684941602765795
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;245.10837606126069;-50.108376061260685;2510.849351496723;-1.7510622239804945
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;198.50096880622976;-32.500968806229764;1056.31297334352;-1.1357625848776216
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;214.4144628455391;-16.414462845539106;269.4345905075838;-0.5736116009949128
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;270.0535690709271;15.946430929072903;254.2886593756929;0.5572559919538373
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;286.29625502402774;-9.296255024027744;86.42035747176106;-0.324862274066966
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;215.35149425943098;-8.351494259430979;69.7474563653086;-0.2918471373648347
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;285.76589504616925;6.234104953830752;38.864064575377114;0.21785391072416344
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;211.63187050318157;4.368129496818426;19.080555300975195;0.15264646657042816
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;228.57332731074527;-30.57332731074527;934.7283428499626;-1.0684001902154299
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;277.92658815011873;18.073411849881268;326.6482158954286;0.6315844023777027
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;238.8673875444842;-18.86738754448419;355.9783127537571;-0.6593302795116597
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;251.3027935633648;27.697206436635213;767.1352443935871;0.9678927100269135
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;241.46528248160448;-5.465282481604476;29.869312603732777;-0.1909870255068728
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;191.3024193746432;35.69758062535681;1274.3172625038496;1.2474697811826798
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;232.53636300017973;0.46363699982026674;0.21495926760233802;0.016202026484202426
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;282.20292211940716;38.79707788059284;1505.213252072786;1.3557832605566609
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;272.819880643307;-30.819880643306988;949.8650428676888;-1.0770161195426446
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;244.3131427897486;-9.31314278974861;86.73462862224653;-0.32545242547329156
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;256.9804177234039;24.01958227659611;576.94033274217;0.8393762972665106
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;230.32611700025697;-30.32611700025697;919.6733723132749;-1.059761302466497
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;245.58568935161998;21.414310648380024;458.57270054532205;0.7483337792292065
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;247.81538042539637;18.18461957460363;330.6803890730575;0.6354706118517052
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;202.6287836769988;-2.6287836769988076;6.910503620455371;-0.09186415832318119
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;204.72956593655144;7.270434063448562;52.85921147095316;0.25406894896935683
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;260.70127975558967;20.298720244410333;412.0380435608339;0.7093489154723323
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;70.0;;Pм -;обеспеченность метода в %
S =;;24.098670624284548;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.5676024132936339;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.3221724995767572;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.8233027999607695;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
