Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum
Уравнение:;; 68.554 + 0.901*S_2802 + 0.366*H_2802 + 0.535*X2 + 0.037*X3 + 0.231*Xs + 0.171*L_2802 + 0.247*Y_sum
Модель:;; QuantileRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;282.8506096311263;-1.8506096311263036;3.4247560068174336;-0.06467047769494645
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;287.5921213400094;4.407878659990615;19.42939428120066;0.1540355209269406
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;284.0397992911458;-9.039799291145812;81.71797122420033;-0.3159003004156194
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;224.06673654432336;66.93326345567664;4480.061756827018;2.3390163157887964
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;201.91519822426147;-33.915198224261474;1150.2406705909486;-1.1851835381116613
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;222.6166786724628;-27.616678672462797;762.6809408980615;-0.9650786270949195
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;188.08490997761274;-22.08490997761274;487.7432487192587;-0.7717682076650922
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;203.77949817384587;-5.779498173845866;33.4025991414877;-0.20196744978151127
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;259.85973885019405;26.14026114980595;683.3132529800544;0.9134844794900047
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;294.10664401037303;-17.10664401037303;292.6372692976315;-0.597800217453161
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;207.99066506848868;-0.9906650684886813;0.9814172779236836;-0.034619285524774904
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;280.6550590854338;11.344940914566223;128.7076843549987;0.3964546255600172
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;208.69758206042306;7.302417939576941;53.325307764255136;0.2551866414923874
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;207.7930385904791;-9.793038590479114;95.90360483461315;-0.34222262387442715
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;287.3244979045638;8.675502095436173;75.26433660791741;0.30316975299318255
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;235.17817016110018;-15.178170161100184;230.37684943931197;-0.5304087357721844
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;236.93933450416165;42.06066549583835;1769.0995819528068;1.4698309595026489
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;247.34494084641972;-11.344940846419718;128.70768280876254;-0.3964546231786036
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;185.41972138276452;41.58027861723548;1728.91956988693;1.4530436001400346
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;236.3713739213548;-3.3713739213548024;11.366162117591257;-0.11781434523800959
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;275.96656751157013;45.03343248842987;2028.0100416899706;1.573715786563479
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;279.19867966246363;-37.19867966246363;1383.7417686305855;-1.299926436635208
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;241.36841755702858;-6.368417557028579;40.55674218066985;-0.2225475317143281
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;266.4239141977812;14.576085802218813;212.46227731364485;0.5093685971894103
