Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Витебск
Предикторы:;; Smax, H_2802, X, X1, Y_sum
Уравнение:;; 212.117 + 2.536*Smax + 0.066*H_2802 + 1.033*X - 0.784*X1 + 1.998*Y_sum
Модель:;; LassoLarsCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;520.0;-87.75757575757575;7701.3921028466475;-0.6994776996672722;539.7975004709976;-19.797500470997647;391.94102489915207;-0.15779731799872262
2.0;1992.0;687.0;79.24242424242425;6279.361799816346;0.6316071079523194;570.565006845784;116.43499315421604;13557.107630822336;0.9280529967836415
3.0;1993.0;604.0;-3.7575757575757507;14.119375573920976;-0.0299500120023279;525.8350847517397;78.16491524826029;6109.753975767713;0.6230187495558817
4.0;1994.0;941.0;333.24242424242425;111050.51331496786;2.656131306367746;667.2926756198765;273.7073243801235;74915.69941932615;2.181602761775987
5.0;1995.0;610.0;2.2424242424242493;5.028466483011968;0.017873394259453834;477.89798250983813;132.10201749016187;17450.94302497103;1.052928075072168
6.0;1996.0;483.0;-124.75757575757575;15564.452708907253;-0.9943887049482596;604.375060008245;-121.37506000824499;14731.905192005072;-0.9674281341370728
7.0;1997.0;374.0;-233.75757575757575;54642.60422405876;-1.8631805853706278;516.4624520423981;-142.46245204239813;20295.550241932586;-1.135506620178867
8.0;1998.0;484.0;-123.75757575757575;15315.9375573921;-0.9864181372379626;589.3376799798621;-105.33767997986206;11096.026823539833;-0.8396011107250826
9.0;1999.0;838.0;230.24242424242425;53011.57392102847;1.8351628322071598;707.4925711366393;130.5074288633607;17032.188988525155;1.0402182984521797
10.0;2000.0;764.0;156.24242424242425;24411.695133149682;1.2453408216451851;558.2821119917097;205.7178880082903;42319.84944659146;1.639688355589364
11.0;2001.0;654.0;46.24242424242425;2138.361799816346;0.3685783735125199;676.6770544929589;-22.67705449295886;514.2488004766255;-0.1807489983062224
12.0;2002.0;507.0;-100.75757575757575;10152.089072543617;-0.8030950799011326;598.225268998415;-91.225268998415;8322.049703833178;-0.7271171834419206
13.0;2003.0;378.0;-229.75757575757575;52788.54361799816;-1.83129831452944;549.8678205002049;-171.86782050020486;29538.547723490636;-1.369884100518046
14.0;2004.0;879.0;271.24242424242425;73572.45270890727;2.161956108329335;825.6670392329843;53.33296076701572;2844.404704176038;0.4250939749841099
15.0;2005.0;672.0;64.24242424242425;4127.089072543619;0.5120485922978651;595.9323351874136;76.06766481258637;5786.289630039991;0.6063024729528929
