Predictors;Equations;Method;Criterion;Correlation;Pm
;;StackingRegressorRidge;0.4664360067633385;0.8845549454921785;87.87878787878788
;;KNeighborsRegressor;0.46757544435975357;0.8839531683476105;87.87878787878788
;;BaggingRegressor;0.47981313690845406;0.8773707048050265;81.81818181818183
;;HistGradientBoostingRegressor;0.5246257883784662;0.8513329443691656;75.75757575757575
;;VotingRegressor;0.5442165904958942;0.8389447554094513;75.75757575757575
;;AdaBoostRegressor;0.5664340637484141;0.8241070630843165;69.6969696969697
;;ExtraTreesRegressor;0.5848626966368772;0.8111323110828714;72.72727272727273
Smax, H_2802;255.091 + 3.453*Smax + 0.376*H_2802;OMP2;0.6894343534938624;0.724348170579936;66.66666666666666
Smax, H_2802, X;203.92 + 3.097*Smax + 0.411*H_2802 + 0.557*X;OMP3;0.6937815680441304;0.7201854871088612;69.6969696969697
Smax, H_2802, X, X1;222.245 + 2.809*Smax + 0.397*H_2802 + 0.918*X - 0.624*X1;OMP4;0.7033845152657333;0.710809555144266;69.6969696969697
Smax;338.923 + 3.276*Smax;OMP1;0.7078942199826501;0.7063184645152323;60.60606060606061
;;RandomForestRegressor;0.7101866168545532;0.7040134723431677;66.66666666666666
Smax, H_2802, X, X1;288.574 + 2.577*Smax + 0.228*H_2802 + 0.569*X - 0.171*X1;Lars4;0.7135173410106938;0.7006375697013609;60.60606060606061
Smax, H_2802, X;313.537 + 2.49*Smax + 0.165*H_2802 + 0.438*X;Lars3;0.7192891257941223;0.6947108416559563;63.63636363636363
Smax, H_2802, X, X1, Y_sum;211.167 + 2.569*Smax + 0.031*H_2802 + 1.027*X - 0.783*X1 + 2.073*Y_sum;ElasticNetCV;0.7202511338379243;0.6937134164805987;60.60606060606061
Smax, H_2802, X, X1, Y_sum;210.302 + 2.574*Smax + 0.026*H_2802 + 1.027*X - 0.785*X1 + 2.105*Y_sum;LassoCV;0.7203133434429312;0.6936488212763472;60.60606060606061
Smax, H_2802, X, X1, Y_sum;210.334 + 2.574*Smax + 0.026*H_2802 + 1.027*X - 0.785*X1 + 2.105*Y_sum;LassoLarsCV;0.7203148742510778;0.693647231618965;60.60606060606061
Smax, H_2802, X, X1, Y_sum;210.498 + 2.569*Smax + 0.029*H_2802 + 1.03*X - 0.788*X1 + 2.091*Y_sum;BayesianRidge;0.7203480402932804;0.693612788842327;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.5 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;RidgeCV;0.7204431621589945;0.693513986952209;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;LinearRegression;0.7204434026015267;0.6935137371731972;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;LarsCV;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars5;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars6;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars7;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars8;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars9;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars10;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars11;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars12;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars13;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;Lars14;0.7204434026015271;0.6935137371731969;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;OMPCV;0.7204434026015273;0.6935137371731966;60.60606060606061
Smax, H_2802, X, X1, Y_sum;209.498 + 2.574*Smax + 0.024*H_2802 + 1.032*X - 0.791*X1 + 2.127*Y_sum;OMP5;0.7204434026015273;0.6935137371731966;60.60606060606061
Smax, X;386.882 + 2.085*Smax + 0.358*X;Lars2;0.7511779072326217;0.660099804336904;63.63636363636363
Smax, H_2802, X, X1, Y_sum;207.835 + 2.049*Smax + 0.156*H_2802 + 0.999*X - 0.571*X1 + 1.872*Y_sum;QuantileRegressor;0.7592256297725942;0.6508275064073489;57.57575757575758
Smax;591.412 + 0.108*Smax;Lars1;0.9844011656316608;0.17593846965069215;51.515151515151516
