Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Витебск
Предикторы:;; Smax
Уравнение:;; 591.412 + 0.108*Smax
Модель:;; Lars1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;520.0;-87.75757575757575;7701.3921028466475;-0.6994776996672722;597.1198654682936;-77.1198654682936;5947.473649847703;-0.6146891095240262
2.0;1992.0;687.0;79.24242424242425;6279.361799816346;0.6316071079523194;598.6274856315171;88.37251436848294;7809.701295807724;0.7043791095031839
3.0;1993.0;604.0;-3.7575757575757507;14.119375573920976;-0.0299500120023279;596.6891168502298;7.310883149770234;53.44901242959434;0.05827188916731273
4.0;1994.0;941.0;333.24242424242425;111050.51331496786;2.656131306367746;602.7195975031235;338.2804024968765;114433.63071344876;2.6962868531678614
5.0;1995.0;610.0;2.2424242424242493;5.028466483011968;0.017873394259453834;594.4276866053946;15.57231339460543;242.4969444598077;0.12412017831766682
6.0;1996.0;483.0;-124.75757575757575;15564.452708907253;-0.9943887049482596;600.1351057947404;-117.13510579474041;13720.633009545028;-0.9336332919897757
7.0;1997.0;374.0;-233.75757575757575;54642.60422405876;-1.8631805853706278;596.15068107765;-222.15068107765;49350.92510326376;-1.770667045417994
8.0;1998.0;484.0;-123.75757575757575;15315.9375573921;-0.9864181372379626;598.9505470950648;-114.95054709506485;13213.628277454722;-0.9162211189568934
9.0;1999.0;838.0;230.24242424242425;53011.57392102847;1.8351628322071598;604.3349048208629;233.6650951791371;54599.3767050752;1.862443462658295
10.0;2000.0;764.0;156.24242424242425;24411.695133149682;1.2453408216451851;598.0890498589372;165.9109501410628;27526.44337671023;1.3224044619790434
11.0;2001.0;654.0;46.24242424242425;2138.361799816346;0.3685783735125199;602.9349718121554;51.06502818784463;2607.637103825367;0.4070172647994383
12.0;2002.0;507.0;-100.75757575757575;10152.089072543617;-0.8030950799011326;599.4889828676447;-92.48898286764472;8554.211951891479;-0.7371897004030574
13.0;2003.0;378.0;-229.75757575757575;52788.54361799816;-1.83129831452944;597.8736755499053;-219.87367554990533;48344.433199825035;-1.7525180186823848
14.0;2004.0;879.0;271.24242424242425;73572.45270890727;2.161956108329335;609.180826774081;269.81917322591903;72802.3862403185;2.150611989733531
15.0;2005.0;672.0;64.24242424242425;4127.089072543619;0.5120485922978651;599.4889828676447;72.51101713235528;5257.847605568721;0.5779539717959403
16.0;2006.0;555.0;-52.75757575757575;2783.3617998163445;-0.42050782980687873;603.796469048283;-48.79646904828303;2381.0953915800437;-0.38893556057274953
17.0;2007.0;594.0;-13.75757575757575;189.270890725436;-0.10965568910529747;596.4737425411978;-2.473742541197794;6.119402160131719;-0.019717132422459073
18.0;2008.0;475.0;-132.75757575757575;17624.573921028466;-1.0581532466306351;595.2891838415222;-120.28918384152223;14469.487749259533;-0.9587730846252115
19.0;2009.0;669.0;61.24242424242425;3750.6345270890733;0.48813688916697423;601.2119773399;67.78802266009995;4595.216016166225;0.540309024559471
20.0;2010.0;873.0;265.24242424242425;70353.54361799816;2.114132702067553;607.7808937653735;265.21910623462645;70341.17431189406;2.1139468443075318
21.0;2011.0;758.0;150.24242424242425;22572.78604224059;1.1975174153834034;609.3962010831129;148.60379891688706;22083.089052530602;1.1844566412744018
22.0;2012.0;825.0;217.24242424242425;47194.27089072544;1.7315454519732993;602.8272846576394;222.17271534236056;49360.715442597575;1.7708426710168161
23.0;2013.0;929.0;321.24242424242425;103196.69513314968;2.5604844938441826;605.4117763660224;323.5882236339776;104709.33847459308;2.579181846729332
24.0;2014.0;313.0;-294.75757575757575;86882.02846648301;-2.3493852156987423;592.5970049786233;-279.5970049786233;78174.48519301631;-2.228546859778352
25.0;2015.0;371.0;-236.75757575757575;56054.14967860422;-1.8870922885015187;597.0121783137777;-226.01217831377767;51081.50474613883;-1.8014453706016742
26.0;2016.0;386.0;-221.75757575757575;49176.42240587695;-1.7675337728470644;597.8736755499053;-211.87367554990533;44890.45439102655;-1.688753477000009
27.0;2017.0;497.0;-110.75757575757575;12267.240587695132;-0.8828007570041022;598.0890498589372;-101.08904985893719;10218.99600138269;-0.8057371166702438
28.0;2018.0;594.0;-13.75757575757575;189.270890725436;-0.10965568910529747;600.0274186402245;-6.027418640224482;36.32977546452555;-0.04804194839021524
29.0;2019.0;388.0;-219.75757575757575;48293.39210284664;-1.7515926374264703;603.3657204302192;-215.3657204302192;46382.393536427335;-1.7165870571659465
30.0;2020.0;416.0;-191.75757575757575;36770.9678604224;-1.5284167415381555;591.9508820515275;-175.95088205152751;30958.71289471055;-1.4024284190781735
31.0;2021.0;560.0;-47.75757575757575;2280.786042240587;-0.380654991255394;597.5506140863574;-37.55061408635743;1410.0486182625448;-0.29929971213854256
32.0;2022.0;518.0;-89.75757575757575;8056.4224058769505;-0.7154188350878661;600.5658544128042;-82.56585441280424;6817.120314916386;-0.6580967331557769
33.0;2023.0;940.0;332.24242424242425;110385.02846648301;2.6481607386574493;605.1964020569906;334.80359794300944;112093.44919558431;2.6685747470557954
Сумма;;20056.0
Средний;;607.7575757575758
Высший;;941.0
Низший;;313.0

σ = ;;186.14477401726697;;σ -;среднеквадратическое отклонение (см)
δдоп =;;125.46157768763794;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;48.484848484848484;;Pк -;климатическая обеспеченность в %
Pм =;;51.515151515151516;;Pм -;обеспеченность метода в %
S =;;183.2411325188397;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.9844011656316608;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.9690456548969725;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.17593846965069215;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
