Predictors;Equations;Method;Criterion;Correlation;Pm
;;KNeighborsRegressor;0.1622564224647842;0.9867486272445123;97.2972972972973
;;AdaBoostRegressor;0.17591143844624765;0.9844059964383456;97.2972972972973
;;VotingRegressor;0.23339977415850777;0.972380864385328;100.0
;;StackingRegressorRidge;0.2350179333709041;0.9719910344206212;100.0
;;ExtraTreesRegressor;0.23578352338547767;0.9718056030399959;100.0
;;RandomForestRegressor;0.24976711497345022;0.9683059373348071;97.2972972972973
;;BaggingRegressor;0.31562703103777334;0.9488833317527927;94.5945945945946
;;HistGradientBoostingRegressor;0.3527863121427902;0.935703915757912;94.5945945945946
Smax, H_2802, X, X1, X3;121.491 + 2.504*Smax - 0.193*H_2802 - 0.098*X + 0.486*X1 + 0.383*X3;ElasticNetCV;0.6856399971638697;0.7279407903731792;78.37837837837837
Smax, H_2802, X, X1, X3;121.241 + 2.507*Smax - 0.194*H_2802 - 0.099*X + 0.49*X1 + 0.385*X3;BayesianRidge;0.6856678557328508;0.7279145496654909;78.37837837837837
Smax, H_2802, X, X1, X3;121.134 + 2.51*Smax - 0.194*H_2802 - 0.099*X + 0.488*X1 + 0.384*X3;LassoCV;0.6857927344881712;0.7277968984017703;78.37837837837837
Smax, H_2802, X, X1, X3;120.803 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;RidgeCV;0.6858430945349172;0.7277494415516708;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;LinearRegression;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;LarsCV;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars5;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars6;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars7;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars8;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars9;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars10;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars11;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars12;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars13;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;Lars14;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;LassoLarsCV;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;OMPCV;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X, X1, X3;120.801 + 2.514*Smax - 0.195*H_2802 - 0.1*X + 0.493*X1 + 0.385*X3;OMP5;0.685843834466622;0.7277487442270998;78.37837837837837
Smax, H_2802, X3;123.966 + 2.415*Smax - 0.171*H_2802 + 0.454*X3;OMP3;0.6872185097510721;0.7264507690514999;75.67567567567568
Smax, H_2802, X1, X3;145.375 + 2.215*Smax - 0.124*H_2802 + 0.173*X1 + 0.261*X3;Lars4;0.6903619789918087;0.7234641234798816;83.78378378378379
Smax, H_2802, X1, X3;109.707 + 2.484*Smax - 0.188*H_2802 + 0.545*X1 + 0.399*X3;OMP4;0.6909679746104256;0.7228853699327206;72.97297297297297
Smax, H_2802, X3;161.903 + 2.091*Smax - 0.095*H_2802 + 0.197*X3;Lars3;0.6953496298995837;0.7186716163857537;83.78378378378379
Smax, H_2802, X, X3;137.139 + 2.085*Smax - 0.119*H_2802 - 0.251*X + 0.441*X3;QuantileRegressor;0.7059516287614476;0.7082600495927038;78.37837837837837
Smax, H_2802;178.321 + 2.374*Smax - 0.142*H_2802;OMP2;0.7138261030184976;0.7003229930892069;75.67567567567568
Smax;158.578 + 2.377*Smax;OMP1;0.7149696641599759;0.6991554757927391;83.78378378378379
Smax, H_2802;190.896 + 1.844*Smax - 0.036*H_2802;Lars2;0.7209507234117152;0.6929863306098646;78.37837837837837
Smax;195.202 + 1.662*Smax;Lars1;0.7339983608814844;0.6791512395801793;75.67567567567568
