Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Гродно
Предикторы:;; 
Уравнение:;; 
Модель:;; AdaBoostRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;241.0;-38.081081081081095;1450.1687363038725;-0.6012761376654464;237.4417305401741;3.558269459825908;12.661281548729761;0.05618281983701229
2.0;1978.0;340.0;60.918918918918905;3711.114682249816;0.9618711244129988;353.6108366480313;-13.610836648031295;185.25487425939178;-0.21490648526229375
3.0;1979.0;628.0;348.9189189189189;121744.4119795471;5.509208614095749;625.3771320862385;2.6228679137615245;6.879436093039732;0.04141342220393667
4.0;1980.0;342.0;62.918918918918905;3958.790357925491;0.9934498569802401;335.6164747094993;6.3835252905007;40.74939513446204;0.10079181899247151
5.0;1981.0;282.0;2.918918918918905;8.52008765522271;0.04608787996300062;283.3706831983065;-1.3706831983064944;1.8787724301197208;-0.021642219076865893
6.0;1982.0;399.0;119.9189189189189;14380.547114682246;1.8934437351466176;368.1608185998617;30.839181400138273;951.0551094306344;0.4869311310138046
7.0;1983.0;269.0;-10.081081081081095;101.62819576333118;-0.15917388172406793;234.29366259345798;34.70633740654202;1204.529856176738;0.547991073674817
8.0;1984.0;206.0;-73.0810810810811;5340.8444119795495;-1.1539039575921695;203.9423673902655;2.0576326097344975;4.233851956642798;0.032488714952220256
9.0;1985.0;336.0;56.918918918918905;3239.7633308984646;0.8987136592785162;336.4505801095662;-0.45058010956620365;0.20302243513669208;-0.007114374390054718
10.0;1986.0;329.0;49.918918918918905;2491.8984660335996;0.7881880952931716;332.5357269363566;-3.535726936356582;12.501364968477501;-0.055826887676997984
11.0;1987.0;350.0;70.9189189189189;5029.493060628194;1.1197647872492054;347.7462447685451;2.2537552314548748;5.079412643310216;0.03558536686306727
12.0;1988.0;401.0;121.9189189189189;14864.222790357922;1.925022467713859;288.4335130297529;112.56648697024713;12671.213988822816;1.7773534940336442
13.0;1989.0;161.0;-118.0810810810811;13943.141709276848;-1.864425440355099;232.20129230236392;-71.20129230236392;5069.624025526668;-1.1242232840291642
14.0;1991.0;243.0;-36.081081081081095;1301.844411979548;-0.5696974050982051;247.67542157623407;-4.675421576234072;21.859566915515096;-0.07382194379750281
15.0;1992.0;182.0;-97.0810810810811;9424.736303871441;-1.5328487483990652;178.35885885175233;3.6411411482476694;13.257908861462356;0.05749131128004556
16.0;1993.0;237.0;-42.081081081081095;1770.8173849525213;-0.664433602799929;244.03659583822497;-7.036595838224969;49.513680990524946;-0.11110338907953476
17.0;1994.0;378.0;98.9189189189189;9784.952520087652;1.561867043190584;374.8024869823551;3.1975130176448943;10.224089498008558;0.05048670423224044
18.0;1995.0;234.0;-45.081081081081095;2032.3038714390077;-0.7118017016507909;239.1488138558812;-5.148813855881201;26.510284122514243;-0.08129650789668952
19.0;1996.0;377.0;97.9189189189189;9588.114682249814;1.546077676906963;415.3052349524877;-38.305234952487694;1467.2910247652849;-0.6048153852449768
20.0;1999.0;305.0;25.918918918918905;671.7903579254923;0.40924330448627577;300.2719196904836;4.728080309516372;22.35474341323643;0.07465339182532853
21.0;2001.0;169.0;-110.0810810810811;12117.84441197955;-1.7381105100861338;174.39054853262553;-5.39054853262553;29.058013482591257;-0.08511334525125837
22.0;2003.0;256.0;-23.081081081081095;532.7363038714396;-0.3644356434111365;257.4903567712533;-1.490356771253289;2.2211633056205287;-0.023531788954592427
23.0;2004.0;272.0;-7.081081081081095;50.14170927684461;-0.11180578287320596;272.19295226173705;-0.19295226173704805;0.03723057530944229;-0.003046593935819295
24.0;2005.0;232.0;-47.081081081081095;2216.6281957633323;-0.7433804342180323;234.57750577634252;-2.5775057763425195;6.643536027079055;-0.04069718280082007
25.0;2006.0;289.0;9.918918918918905;98.38495252008738;0.15661344394834523;303.51352127133623;-14.51352127133623;210.64229969352922;-0.2291593034182475
26.0;2007.0;363.0;83.9189189189189;7042.384952520085;1.325026548936274;367.708997200591;-4.708997200591;22.174654635173873;-0.0743520816286756
27.0;2008.0;160.0;-119.0810810810811;14180.30387143901;-1.8802148066387196;151.212558500909;8.787441499090988;77.21912809994647;0.13874813252503623
28.0;2009.0;186.0;-93.0810810810811;8664.087655222793;-1.4696912832645825;228.00657844925294;-42.00657844925294;1764.5526330132416;-0.6632572534569006
29.0;2010.0;327.0;47.918918918918905;2296.222790357924;0.7566093627259303;277.5491623477784;49.450837652221594;2445.385344506377;0.7807973887227866
30.0;2011.0;261.0;-18.081081081081095;326.9254930606287;-0.2854888119930332;269.73730766226385;-8.737307662263845;76.3405451850545;-0.1379565510121692
31.0;2012.0;205.0;-74.0810810810811;5488.006574141711;-1.16969332387579;207.69400769626358;-2.694007696263583;7.257677467527417;-0.042536674287198775
32.0;2013.0;314.0;34.918918918918905;1219.3308984660325;0.5513476010388617;283.6752330619196;30.324766938080415;919.5914898488951;0.4788088526507814
33.0;2015.0;143.0;-136.0810810810811;18518.060628195766;-2.148634033460271;151.98305871758257;-8.983058717582566;80.69534392353613;-0.14183680443918278
34.0;2017.0;296.0;16.918918918918905;286.24981738495205;0.26713900793368983;299.2940526943222;-3.294052694322204;10.85078315297137;-0.0520110045482008
35.0;2018.0;249.0;-30.081081081081095;904.871439006575;-0.4749612073964811;247.19855005895107;1.8014499410489293;3.245221890105191;0.02844375296082839
36.0;2019.0;171.0;-108.0810810810811;11681.520087655226;-1.7065317775188924;143.02985756551908;27.97014243448092;782.3288678051503;0.44163082390306047
37.0;2021.0;193.0;-86.0810810810811;7409.952520087658;-1.359165719279238;187.36769373842702;5.632306261572978;31.722873824154178;0.08893054658550589
Сумма;;10326.0
Средний;;279.0810810810811
Высший;;628.0
Низший;;143.0

σ = ;;93.96700909786794;;σ -;среднеквадратическое отклонение (см)
δдоп =;;63.333764131963;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;54.054054054054056;;Pк -;климатическая обеспеченность в %
Pм =;;94.5945945945946;;Pм -;обеспеченность метода в %
S =;;28.011328311768683;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.2980974767707515;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.08886210565708873;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.9545354337807012;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
