Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Верхнедвинск
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs
Уравнение:;; 260.243 + 5.088*S_2802 - 1.42*Smax + 0.577*H_2802 + 4.17*X + 2.646*X1 - 2.069*X2 - 3.345*Xs
Модель:;; RidgeCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;793.637131407182;-165.63713140718198;27435.65930080007;-1.159121568551112
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;662.6642431600645;82.33575683993547;6779.176854404981;0.576182108476257
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;705.0074893394346;-48.00748933943464;2304.719032675931;-0.3359543592223395
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;667.3896668532249;386.61033314677513;149467.54969586045;2.705482592991388
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;594.188397807702;79.81160219229798;6369.891844501624;0.5585181820994911
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;793.4476427166437;-76.44764271664371;5844.242076931609;-0.534977337417888
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;786.7685426463787;-257.7685426463787;66444.62157803796;-1.803853247982834
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;641.4560973187075;-82.45609731870752;6799.007985032165;-0.5770242460050188
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;831.3808388915002;139.61916110849984;19493.510148641235;0.9770489240485458
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;710.991362830274;97.00863716972594;9410.675685527534;0.6788622981084956
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;800.6403722713782;-42.64037227137817;1818.2013474417163;-0.2983955032963106
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;785.4622474301274;-337.4622474301274;113880.76844059251;-2.361546389054599
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;893.4800548073538;155.51994519264622;24186.453352723685;1.0883219316901713
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;514.5675295616081;244.43247043839187;59747.23260461532;1.7105279844703174
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;576.4961093044701;62.50389069552989;3906.736352078748;0.4373995565369255
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;1049.0328079434144;-350.03280794341435;122522.9666367512;-2.4495146344349705
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;692.2992988883252;-78.29929888832521;6130.780206403286;-0.5479351481931822
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;813.0838963252346;-72.0838963252346;5196.088109427171;-0.5044400266168748
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;886.5731250742094;177.42687492579057;31480.295945932132;1.2416256899640257
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;820.444496944872;104.55550305512804;10931.85321911089;0.7316749431260419
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;829.7410195006411;16.258980499358927;264.35444687853385;0.1137796508509305
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;795.7094896348397;302.29051036516034;91379.55265682911;2.1154160758267513
23.0;2014.0;370.0;-337.78125;114096.1728515625;-2.3637787554088168;883.4726056628061;-513.4726056628061;263654.1167661516;-3.593259355722528
24.0;2015.0;403.0;-304.78125;92891.6103515625;-2.1328461653716526;494.3607786600434;-91.36077866004342;8346.791877369446;-0.6393388255689676
25.0;2016.0;415.0;-292.78125;85720.8603515625;-2.048870678085411;551.5929038494484;-136.59290384944836;18657.621382024645;-0.9558713050500146
26.0;2017.0;723.0;15.21875;231.6103515625;0.10650016226145748;448.9024543644332;274.0975456355668;75129.46452344162;1.9181229132257978
27.0;2018.0;690.0;-17.78125;316.1728515625;-0.124432427775707;983.1394041590837;-293.1394041590837;85930.71027074262;-2.0513770255881316
28.0;2019.0;417.0;-290.78125;84553.7353515625;-2.034874763537704;624.5665540719551;-207.56655407195512;43083.87436930587;-1.4525418768765377
29.0;2020.0;479.0;-228.78125;52340.8603515625;-1.6010014125587888;240.29812288972948;238.70187711027052;56978.58613596669;1.6704255372062944
30.0;2021.0;568.0;-139.78125;19538.7978515625;-0.9781832151858302;593.8001017897053;-25.80010178970531;665.645252359155;-0.18054800998542817
31.0;2022.0;564.0;-143.78125;20673.0478515625;-1.006175044281244;737.298298562569;-173.29829856256902;30032.30028468131;-1.21273408897236
32.0;2023.0;1038.0;330.21875;109044.4228515625;2.3108567035253;413.4952079627368;624.5047920372632;390006.23527750536;4.370257851993514
Сумма;;22649.0
Средний;;707.78125
Высший;;1098.0
Низший;;370.0

σ = ;;212.0160880041433;;σ -;среднеквадратическое отклонение (см)
δдоп =;;142.8988433147926;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;50.0;;Pм -;обеспеченность метода в %
S =;;237.2068434293191;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;1.1188153015288325;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;1.2517476789350523;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
