Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Верхнедвинск
Предикторы:;; 
Уравнение:;; 
Модель:;; HistGradientBoostingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;628.0;-79.78125;6365.0478515625;-0.5583057787546221;645.3946913927546;-17.394691392754567;302.5752886491698;-0.12172730715836315
2.0;1992.0;745.0;37.21875;1385.2353515625;0.2604552222862338;608.3320477908234;136.66795220917663;18678.129161049786;0.9563964902648658
3.0;1993.0;657.0;-50.78125;2578.7353515625;-0.35536501781287144;643.011389488762;13.988610511237994;195.68122403511808;0.097891698678221
4.0;1994.0;1054.0;346.21875;119867.4228515625;2.4228240199069555;670.1835784109977;383.8164215890023;147315.04548138674;2.685930919283168
5.0;1995.0;674.0;-33.78125;1141.1728515625;-0.23639974415736248;584.9271070940994;89.07289290590063;7933.980250626043;0.6233282988140183
6.0;1996.0;717.0;9.21875;84.9853515625;0.06451241861833666;736.946356043617;-19.946356043617016;397.85711941873706;-0.13958374736230078
7.0;1997.0;529.0;-178.78125;31962.7353515625;-1.2511035488661155;640.205223391631;-111.20522339163097;12366.601709582546;-0.7782094019239638
8.0;1998.0;559.0;-148.78125;22135.8603515625;-1.0411648306505115;605.0638088285775;-46.06380882857752;2121.8744837957365;-0.3223525660533397
9.0;1999.0;971.0;263.21875;69284.1103515625;1.8419935661771176;849.5689383868439;121.43106161315609;14745.50272449811;0.8497693808875344
10.0;2000.0;808.0;100.21875;10043.7978515625;0.7013265305390023;705.4256540317114;102.57434596828864;10521.496450822171;0.7178108904795477
11.0;2001.0;758.0;50.21875;2521.9228515625;0.3514286668463289;773.6461393960308;-15.646139396030776;244.8016780000263;-0.10949101499417889
12.0;2003.0;448.0;-259.78125;67486.2978515625;-1.8179380880482465;636.4931744405102;-188.4931744405102;35529.6768106606;-1.319067181147699
13.0;2004.0;1049.0;341.21875;116430.2353515625;2.387834233537688;926.4222103259494;122.57778967405056;15025.314521375776;0.8577941348624027
14.0;2005.0;759.0;51.21875;2623.3603515625;0.35842662412018234;676.5005006454886;82.49949935451139;6806.167393745024;0.5773279715971725
15.0;2006.0;639.0;-68.78125;4730.8603515625;-0.4813282487422339;705.0215633864702;-66.02156338647023;4358.846831993707;-0.46201607973152725
16.0;2007.0;699.0;-8.78125;77.1103515625;-0.061450812311025775;729.457788379421;-30.457788379421004;927.6768729655931;-0.21314230173525886
17.0;2008.0;614.0;-93.78125;8794.9228515625;-0.6562771805885707;499.69717730392404;114.30282269607596;13065.135276290579;0.7998862695079881
18.0;2009.0;741.0;33.21875;1103.4853515625;0.2324633931908199;659.5551226221855;81.44487737781446;6633.268051087234;0.5699477720641806
19.0;2010.0;1064.0;356.21875;126891.7978515625;2.4928035926454903;896.6518304202677;167.34816957973226;28005.409861686825;1.1710953405765512
20.0;2011.0;925.0;217.21875;47183.9853515625;1.520087531579858;901.8387020141477;23.161297985852343;536.4457243894478;0.1620817737119831
21.0;2012.0;846.0;138.21875;19104.4228515625;0.9672489069454341;673.7597098872297;172.24029011277025;29666.717538131263;1.2053301910452923
22.0;2013.0;1098.0;390.21875;152270.6728515625;2.730734139956508;866.1501307763506;231.84986922364942;53754.36185902334;1.622475478775613
23.0;2014.0;370.0;-337.78125;114096.1728515625;-2.3637787554088168;429.7636266102616;-59.76362661026161;3571.69106561077;-0.41822330554914294
24.0;2015.0;403.0;-304.78125;92891.6103515625;-2.1328461653716526;628.5551526397197;-225.55515263971972;50875.12688232726;-1.5784253210702561
25.0;2016.0;415.0;-292.78125;85720.8603515625;-2.048870678085411;670.9125659514477;-255.91256595144773;65491.241411854084;-1.7908652023704392
26.0;2017.0;723.0;15.21875;231.6103515625;0.10650016226145748;727.2878410912385;-4.287841091238533;18.385581223713658;-0.03000612875356049
27.0;2018.0;690.0;-17.78125;316.1728515625;-0.124432427775707;740.7739464948547;-50.77394649485473;2577.9936426623703;-0.35531390819591546
28.0;2019.0;417.0;-290.78125;84553.7353515625;-2.034874763537704;784.2244898821634;-367.2244898821634;134853.82596921516;-2.569821290108015
29.0;2020.0;479.0;-228.78125;52340.8603515625;-1.6010014125587888;427.30017308708346;51.699826912916535;2672.872102825529;0.3617931798022096
30.0;2021.0;568.0;-139.78125;19538.7978515625;-0.9781832151858302;614.2655894832071;-46.26558948320712;2140.5047702286456;-0.3237646184531278
31.0;2022.0;564.0;-143.78125;20673.0478515625;-1.006175044281244;646.3005348935285;-82.30053489352849;6773.378043760901;-0.5759356268001989
32.0;2023.0;1038.0;330.21875;109044.4228515625;2.3108567035253;857.8322926196286;180.16770738037144;32460.402782699148;1.2608059183759737
Сумма;;22649.0
Средний;;707.78125
Высший;;1098.0
Низший;;370.0

σ = ;;212.0160880041433;;σ -;среднеквадратическое отклонение (см)
δдоп =;;142.8988433147926;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;71.875;;Pм -;обеспеченность метода в %
S =;;151.39863942006164;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7140903355272876;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5099250072934742;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7000535641695753;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
