Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; S_2802, H_2802, X, X2, Q12, Q01, Q02
Уравнение:;; 178.434 + 2.855*S_2802 + 0.637*H_2802 + 1.142*X + 1.113*X2 + 0.302*Q12 - 0.047*Q01 - 0.125*Q02
Модель:;; OMP7

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;750.6158322048177;-78.6158322048177;6180.4490732560525;-0.5938227968496211
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;657.7656499139816;154.23435008601837;23788.234746456474;1.1650054520792872
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;714.508749836252;26.491250163747964;701.7863352382765;0.2001010206607693
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;759.5242456256796;340.47575437432045;115923.73931676259;2.5717754178992656
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;722.6898583232995;23.310141676700482;543.3627049878488;0.1760725942499268
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;748.8644520929422;-64.8644520929422;4207.397145317594;-0.48995207806995333
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;737.129698969108;-186.12969896910795;34644.264838330746;-1.4059262023793775
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;784.7576751187162;-128.75767511871618;16578.538901976863;-0.9725680007514487
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;860.719665550708;143.280334449292;20529.254239900976;1.0822645585505062
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;685.1032552724612;213.89674472753882;45751.8174050379;1.615663914365493
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;873.2975924536829;-33.29759245368291;1108.729663211561;-0.2515125633687957
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;637.7487162870209;-112.7487162870209;12712.273024371132;-0.8516447154350699
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;1068.0009148473398;13.9990851526602;195.97438511143125;0.10574175284478197
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;765.5656586224167;52.43434137758334;2749.360155700948;0.3960615358835602
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;670.3271152429927;69.6728847570073;4854.31087036322;0.526272458494079
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;832.8808051633956;-73.88080516339562;5458.373371591625;-0.5580568840297917
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;670.3143549334478;18.685645066552183;349.15333155316597;0.1411415703830629
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;914.8507223590968;-87.85072235909684;7717.7494190151165;-0.6635783174135439
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;1014.4334754685027;69.5665245314973;4839.501335391415;0.5254690690900038
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;981.9054558347704;-34.90545583477035;1218.3908470331035;-0.26365752072829973
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;853.6644714052878;82.33552859471217;6779.139268970666;0.6219194340247373
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;877.3912676140725;222.6087323859275;49554.647734469494;1.681469703509155
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;677.0069073233038;-224.00690732330384;50179.094528551235;-1.692030784254758
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;583.43903230988;-89.43903230987996;7999.340500527752;-0.6755755784077526
