Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; Smax, H_2802, X, X1, Y_sum
Уравнение:;; 231.987 + 2.99*Smax + 0.282*H_2802 + 1.216*X + 0.411*X1 + 1.612*Y_sum
Модель:;; LinearRegression

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;720.5949913638582;-48.594991363858185;2361.4731856534518;-0.36706109794002867
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;646.4141492694989;165.58585073050108;27418.673962143785;1.2507487390495917
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;691.0918868392375;49.90811316076247;2490.819759267472;0.37697973183568456
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;789.6999943568941;310.3000056431059;96286.09350211156;2.3438436259681343
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;679.7525532611826;66.24744673881742;4388.724199412451;0.5003984948489816
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;783.212755687177;-99.21275568717704;9843.170891043479;-0.7494011627559573
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;685.6198612014799;-134.61986120147992;18122.50702990572;-1.0168478822675584
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;781.3493465633395;-125.34934656333951;15712.458683856194;-0.9468232730220109
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;846.4497725644945;157.55022743550546;24822.074164979498;1.1900518518496639
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;711.3439413949943;187.65605860500568;35214.79633116533;1.4174555231607915
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;850.4543495563754;-10.454349556375405;109.29342464688662;-0.0789666778141668
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;693.2927207203423;-168.29272072034234;28322.439847455145;-1.2711950163832475
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;1004.401966005607;77.59803399439295;6021.454879794964;0.5861348825581544
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;787.668438000607;30.33156199939299;920.0036533230208;0.2291087237030285
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;798.7259437819306;-58.725943781930596;3448.736473078473;-0.4435850032518333
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;740.3954884811185;18.60451151888151;346.12784885619476;0.140528730083025
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;669.8808943874782;19.11910561252182;365.5401994227634;0.14441570418681193
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;819.6537520861166;7.346247913883417;53.96735841223646;0.05548970684693219
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;961.7551066167346;122.24489338326543;14943.813958285933;0.9233738606278581
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;993.5711431774263;-46.57114317742628;2168.8713768523385;-0.35177400936307435
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;820.1055355830867;115.89446441691325;13431.526882483171;0.8754060482390069
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;926.3849202102901;173.61507978970985;30142.19593038732;1.3113973275433661
