Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; Smax, H_2802, X, Y_sum
Уравнение:;; 183.691 + 3.689*Smax + 0.697*H_2802 + 0.458*X + 0.597*Y_sum
Модель:;; QuantileRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;702.0301832437747;-30.030183243774673;901.8119056546851;-0.22683226652445324
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;574.1929842071072;237.8070157928928;56552.17676032116;1.7962695715118784
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;651.3135901827213;89.68640981727867;8043.65210591286;0.6774441384573171
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;724.7992185098484;375.2007814901516;140775.6264308205;2.834070074640661
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;686.2016967608929;59.7983032391071;3575.8370702762068;0.4516850446077482
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;708.7649006213256;-24.764900621325637;613.3003027841349;-0.18706108093271961
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;652.5921223618299;-101.59212236182987;10320.959325981012;-0.7673736516789523
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;855.8958386775581;-199.89583867755812;39958.34632060434;-1.5099084074166162
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;820.6552505837733;183.3447494162267;33615.297138498965;1.3848901529451048
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;653.2583728408174;245.7416271591826;60388.94731884271;1.8562034675389467
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;878.664873943632;-38.66487394363196;1494.9724770769496;-0.29205419495182217
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;590.1372270229258;-65.1372270229258;4242.858344236175;-0.49201247693988215
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;1044.5208130645701;37.47918693542988;1404.6894533408977;0.2830981366662028
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;782.6930855367702;35.30691446322976;1246.5782089138227;0.26668992881818787
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;728.6039212701389;11.396078729861074;129.87061041719198;0.08608000646554083
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;725.0642312111587;33.9357687888413;1151.6364032896954;0.25633301296016664
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;643.2977343676605;45.702265632339504;2088.6970839289206;0.3452109637338042
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;828.4421999913613;-1.442199991361349;2.0799408150826753;-0.010893622931517011
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;965.018080359345;118.98191964065495;14156.697201375273;0.8987270669790198
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;1014.04969094681;-67.04969094680996;4495.66105606273;-0.5064582271698886
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;788.8490212496366;147.15097875036338;21653.410547189895;1.1115013771404822
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;929.4071482649179;170.59285173508215;29101.921063107722;1.2885690006557138
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;539.9480531060916;-86.9480531060916;7559.963938939726;-0.6567600269316316
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;591.6498781263094;-97.64987812630943;9535.498698083085;-0.7375960047070034
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;644.6302353256357;-131.63023532563568;17326.51885188223;-0.9942658151528503
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;714.7228237037547;-14.72282370375467;216.76153781184038;-0.11120849457536781
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;771.4795961447375;-11.479596144737457;131.78112764627107;-0.08671085324915478
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;759.190799720836;-237.19079972083603;56259.47547220975;-1.791614998239422
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;586.5409619266777;-22.54096192667771;508.09496457993407;-0.17026261351667416
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;643.6450033664712;43.3549966335288;1879.6557330932935;0.32748092383292576
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;805.9020711327603;-150.90207113276028;22771.435072156644;-1.139835163189493
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;860.7114546572457;257.28854534275433;66197.39556459055;1.943422836188486
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;68.75;;Pм -;обеспеченность метода в %
S =;;141.22752267979635;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.718995359921684;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5169543275889118;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6950148720790715;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
