Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; S_2802
Уравнение:;; 581.437 + 3.811*S_2802
Модель:;; OMP1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;627.1743873830413;44.825612616958665;2009.3355464856438;0.3385891862767667
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;688.1579893418341;123.84201065816592;15336.843603857282;0.9354376475328593
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;722.4612654436551;18.538734556344934;343.6846789506178;0.14003188537927652
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;886.3546957079107;213.64530429208935;45644.31604605945;1.613764665086662
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;623.3629122606168;122.63708773938322;15039.855289197178;0.9263362912595372
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;878.7317454630615;-194.73174546306154;37920.45269109059;-1.4709015535829608
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;611.9284868933432;-60.92848689334323;3712.2805151122984;-0.4602218596447466
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;592.8711112812205;63.128888718779535;3985.25659086805;0.47684254188556274
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;943.5268225442788;60.47317745572116;3657.0051915911417;0.45678269076364425
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;730.0842156885042;168.91578431149583;28532.54218956778;1.2759013122264307
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;791.0678176472969;48.93218235270308;2394.358469798187;0.36960806196054174
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;772.0104420351742;-247.01044203517415;61014.15847441213;-1.8657874301736326
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;1107.4202528085343;-25.420252808534315;646.1892528497967;-0.1920112679092549
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;737.7071659333533;80.29283406664672;6446.939202454064;0.6064899900597478
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;783.4448674024478;-43.44486740244781;1887.4565036162726;-0.32815976052342183
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;772.0104420351742;-13.010442035174151;169.2716019506265;-0.09827406084627742
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;581.4366859139468;107.5633140860532;11569.86653717493;0.8124769046848567
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;844.4284693612406;-17.42846936124056;303.7515442757009;-0.13164552394403795
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;1042.6251757273171;41.37482427268287;1711.8760835953879;0.31252373955357665
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;1088.3628771964115;-141.36287719641155;19983.46304924773;-1.0677810913300791
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;882.5432205854861;53.4567794145139;2857.6272653719975;0.40378449699289176
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;855.8628947285142;244.13710527148578;59602.92617034053;1.8440837500693634
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;585.2481610363714;-132.24816103637136;17489.576097502013;-0.998933302139929
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;630.9858625054659;-136.9858625054659;18765.126526366406;-1.0347194161848283
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;650.0432381175887;-137.04323811758866;18780.849113754106;-1.0351528014903852
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;699.5924147091077;0.40758529089225704;0.1661257693517258;0.0030786856871506127
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;787.2563425248724;-27.256342524872366;742.9082078331658;-0.20588012740033174
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;768.1989669127496;-246.1989669127496;60613.93130890517;-1.859657972362684
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;589.0596361587959;-25.05963615879591;627.9853644112314;-0.18928735872286745
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;608.1170117709187;78.88298822908132;6222.525831949382;0.5958407534504001
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;745.3301161782024;-90.33011617820239;8159.529888767541;-0.6823063589652391
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;924.4694469321561;193.53055306784393;37454.074970745554;1.461828375729621
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;68.75;;Pм -;обеспеченность метода в %
S =;;126.18804834949273;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6424287526912612;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.4127147022844497;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.76634541671204;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
