Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Сураж
Предикторы:;; 
Уравнение:;; 
Модель:;; ExtraTreesRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;545.0;-64.12121212121212;4111.529843893481;-0.671531324889075;568.1736804456772;-23.173680445677178;537.0194653983608;-0.24269429440641507
2.0;1992.0;683.0;73.87878787878788;5458.075298438935;0.7737208743287168;628.3846294608738;54.61537053912616;2982.83869912605;0.5719781477012078
3.0;1993.0;614.0;4.878787878787875;23.802571166207496;0.051094774719820886;562.6986771584436;51.301322841556384;2631.825725293595;0.537270649706821
4.0;1994.0;876.0;266.8787878787879;71224.28741965105;2.7949793848289617;779.2329437274326;96.7670562725674;9363.863179658227;1.0134260934040569
5.0;1995.0;625.0;15.878787878787875;252.13590449954074;0.16629603697631154;566.083554246791;58.91644575320902;3471.147580190821;0.6170226289487034
6.0;1996.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;625.8676755794812;-143.86767557948122;20697.908076642856;-1.5067034386057756
7.0;1997.0;464.0;-145.12121212121212;21060.166207529845;-1.5198315287777788;554.3476447150925;-90.34764471509254;8162.6969055645895;-0.9461966102799653
8.0;1998.0;522.0;-87.12121212121212;7590.1056014692385;-0.9124066914253737;544.2599622332232;-22.259962233223177;495.50591862452217;-0.23312506791355642
9.0;1999.0;824.0;214.87878787878788;46172.89348025712;2.2503915996164605;775.4907076178592;48.50929238214076;2353.1514474160194;0.508030155781071
10.0;2000.0;754.0;144.87878787878788;20989.863177226813;1.5172926579842474;648.550175533027;105.44982446697304;11119.665480115425;1.1043593530291513
11.0;2001.0;664.0;54.878787878787875;3011.681359044995;0.5747368758856874;646.995871953078;17.004128046922006;289.1403706361196;0.17808154677967364
12.0;2002.0;536.0;-73.12121212121212;5346.711662075299;-0.765786903098931;603.2796709637688;-67.27967096376881;4526.554124992996;-0.7046093653843208
13.0;2003.0;423.0;-186.12121212121212;34641.10560146924;-1.9492180517337896;617.9635110094642;-194.96351100946424;38010.770625137484;-2.0418220511134084
14.0;2004.0;814.0;204.87878787878788;41975.31772268136;2.145663179383287;742.2621989510444;71.73780104895559;5146.312099339533;0.7512986574858803
15.0;2005.0;668.0;58.878787878787875;3466.711662075298;0.6166282439789568;618.6646212138139;49.335378786186084;2433.9795999764597;0.516681628188248
16.0;2006.0;579.0;-30.121212121212125;907.2874196510562;-0.31545469609628574;619.748439414487;-40.74843941448705;1660.4353147161219;-0.42675196868464027
