Predictors;Equations;Method;Criterion;Correlation;Pm
;;StackingRegressorRidge;0.5774207617659948;0.8164467305841688;81.81818181818183
;;KNeighborsRegressor;0.578967480952868;0.8153506337761015;75.75757575757575
;;HistGradientBoostingRegressor;0.5933500134021624;0.8049445705113202;78.78787878787878
;;BaggingRegressor;0.6182797004948261;0.7859581489850641;75.75757575757575
;;VotingRegressor;0.6555415462849697;0.755159109787011;78.78787878787878
Smax, H_2802, X;392.756 + 2.078*Smax + 0.004*H_2802 + 0.271*X;Lars3;0.777023389087057;0.6294717251884027;57.57575757575758
Smax, X;394.882 + 2.069*Smax + 0.268*X;Lars2;0.7770451621734863;0.6294448474193591;57.57575757575758
;;ExtraTreesRegressor;0.7773101860691224;0.6291175364216025;81.81818181818183
Smax, X;375.032 + 2.23*Smax + 0.315*X;OMP2;0.7777225938974403;0.6286076414914452;60.60606060606061
Smax, H_2802, X, X1;373.429 + 2.236*Smax + 0.086*H_2802 + 0.42*X - 0.663*X1;BayesianRidge;0.7790027230417281;0.6270205399295725;57.57575757575758
Smax, H_2802, X, X1;373.4 + 2.239*Smax + 0.085*H_2802 + 0.418*X - 0.658*X1;ElasticNetCV;0.7790091831477132;0.6270125138875082;57.57575757575758
Smax, H_2802, X;349.923 + 2.256*Smax + 0.08*H_2802 + 0.343*X;OMP3;0.7790366304024074;0.626978411503349;57.57575757575758
Smax, H_2802, X, X1;373.038 + 2.246*Smax + 0.086*H_2802 + 0.417*X - 0.664*X1;LassoCV;0.7790906620695495;0.6269112698588462;57.57575757575758
Smax, H_2802, X, X1;372.77 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;RidgeCV;0.7791507980684563;0.6268365288249302;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;OMPCV;0.7791510323384597;0.6268362376298234;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;OMP4;0.7791510323384597;0.6268362376298234;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;LinearRegression;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;LarsCV;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars4;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars5;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars6;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars7;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars8;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars9;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars10;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars11;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars12;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars13;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;Lars14;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax, H_2802, X, X1;372.769 + 2.248*Smax + 0.087*H_2802 + 0.419*X - 0.673*X1;LassoLarsCV;0.7791510323384598;0.6268362376298233;57.57575757575758
Smax;396.972 + 2.425*Smax;OMP1;0.7822694060919801;0.6229402670340878;57.57575757575758
Smax, H_2802, X, X1;374.581 + 1.79*Smax + 0.101*H_2802 + 0.65*X - 0.415*X1;QuantileRegressor;0.7901898883716082;0.612862089148338;54.54545454545454
Smax;507.331 + 1.158*Smax;Lars1;0.8274430704980638;0.5615496105285234;51.515151515151516
;;RandomForestRegressor;0.9090912433394955;0.4165970610595448;63.63636363636363
