Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; 
Уравнение:;; 
Модель:;; NuSVR

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;218.9219693333439;41.078030666656105;1687.4046034507394;0.6823171845348986
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;304.35955998017675;-20.359559980176755;414.5116825864149;-0.33817779038077805
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;243.75468691762546;125.24531308237454;15686.388449102018;2.0803584790135754
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;321.8391486528467;49.16085134715331;2416.7893051769056;0.816575019205001
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;209.29721665157;-76.29721665157001;5821.265268776612;-1.2673173764341565
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;218.88977086278194;-29.889770862781944;893.3984022296085;-0.4964771672474822
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;148.29400033002156;-12.29400033002156;151.14244411457025;-0.20420666608685484
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;152.17693187914136;-22.176931879141364;491.8163075720765;-0.3683648284940956
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;386.3436760137239;29.656323986276107;879.4975523789756;0.4925995515748004
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;265.4968377483408;4.503162251659205;20.2784702647684;0.0747987413026113
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;205.08610394961892;-16.086103949618916;258.7627402779453;-0.26719453145423055
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;354.5791242739232;-26.579124273923185;706.4498471686527;-0.44148643320205044
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;144.17716590372925;4.822834096270753;23.259728720151735;0.08010857698486273
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;230.59254256917328;33.407457430826724;1116.0582119924998;0.5549068912686198
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;220.19450355907918;81.80549644092082;6692.139247945509;1.3588113915197213
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;187.7482110501598;-2.748211050159796;7.5526639762204075;-0.04564852783399933
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;221.41475142796585;26.585248572034146;706.7754416368437;0.4415881594478443
18.0;2007.0;192.0;-39.866666666666674;1589.3511111111118;-0.6621961013060808;200.30517516376594;-8.305175163765938;68.97593450083457;-0.13795120269506422
19.0;2008.0;164.0;-67.86666666666667;4605.884444444446;-1.1272836640963046;125.792209388118;38.207790611882004;1459.8352634414186;0.6346417219742642
20.0;2009.0;134.0;-97.86666666666667;9577.884444444446;-1.6255917670858302;146.67400153040427;-12.674001530404269;160.63031479268975;-0.21051858866340317
21.0;2010.0;439.0;207.13333333333333;42904.217777777776;3.4405406133076797;364.40716988995655;74.59283011004345;5564.090303825805;1.2390070556251906
22.0;2011.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;291.8810738608974;-119.8810738608974;14371.471870041938;-1.9912570166656995
23.0;2012.0;207.0;-24.866666666666674;618.3511111111114;-0.413042049811318;202.139976464636;4.860023535364007;23.619828764292066;0.0807263036130562
24.0;2013.0;320.0;88.13333333333333;7767.484444444443;1.4639184714492284;223.85967441899518;96.14032558100482;9242.962202821609;1.5969167753688622
25.0;2015.0;123.0;-108.86666666666667;11851.951111111113;-1.8083047381819897;183.9174938769616;-60.9174938769616;3710.941060249654;-1.011856027090159
26.0;2017.0;238.0;6.133333333333326;37.61777777777768;0.10187632327785844;250.76769574916918;-12.767695749169178;163.0140547433527;-0.2120748749438641
27.0;2018.0;202.0;-29.866666666666674;892.0177777777782;-0.4960934003095723;191.3275012802152;10.672498719784812;113.90222892380845;0.17727308637380368
28.0;2019.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;160.554553878568;-27.554553878567987;759.2534394469061;-0.45768858239839627
29.0;2021.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;156.57002274712647;15.429977252873528;238.08419802419448;0.25629608980169793
30.0;2023.0;237.0;5.133333333333326;26.351111111111035;0.08526605317820758;352.324978186271;-115.32497818627098;13299.850593663878;-1.9155790369103036
Сумма;;6956.0
Средний;;231.86666666666667
Высший;;439.0
Низший;;123.0

σ = ;;89.32302222188059;;σ -;среднеквадратическое отклонение (см)
δдоп =;;60.20371697754752;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;73.33333333333333;;Pм -;обеспеченность метода в %
S =;;54.81949114125908;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6137218577880864;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.3766545187268602;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7895223120806275;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
