Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; S_2802, X, L_2802
Уравнение:;; 166.78 + 0.073*S_2802 + 0.452*X + 0.181*L_2802
Модель:;; Lars3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;238.06399661674584;21.93600338325416;481.18824443013796;0.3643629411027065
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;240.30792252791153;43.69207747208847;1908.9976338269807;0.7257372080262597
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;239.54562541928232;129.45437458071768;16758.435098084763;2.150272127367096
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;243.97159607006319;127.02840392993681;16136.215404987186;2.1099760996038004
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;219.26814454071277;-86.26814454071277;7442.1927624973105;-1.4329371818169592
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;231.05794303975512;-42.057943039755116;1768.8705727352858;-0.6985937937260631
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;227.36778743804342;-91.36778743804342;8348.072581323486;-1.5176436277533873
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;227.22997414144712;-97.22997414144712;9453.667871546475;-1.6150161322715046
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;235.27016826889394;180.72983173110606;32663.27207755391;3.001971320118121
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;235.25557648941492;34.74442351058508;1207.1749650828972;0.5771142589674775
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;219.26814454071277;-30.26814454071277;916.1605739374802;-0.5027620562365115
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;236.10515517718702;91.89484482281298;8444.662505008879;1.5263981932724255
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;225.1687185172825;-76.16871851728251;5801.673680565016;-1.2651829877163399
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;238.65821521785296;25.341784782147045;642.2060559446595;0.42093389003868403
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;226.45308525333888;75.54691474666112;5707.336327739283;1.2548546591373373
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;228.07252735247167;-43.07252735247167;1855.2426125294198;-0.7154463131991536
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;240.61894823309464;7.381051766905358;54.47992518573671;0.12260126346780316
18.0;2007.0;192.0;-39.866666666666674;1589.3511111111118;-0.6621961013060808;228.51055772613773;-36.51055772613773;1333.0208254736358;-0.606450225320042
19.0;2008.0;164.0;-67.86666666666667;4605.884444444446;-1.1272836640963046;221.79904649916824;-57.79904649916824;3340.7297762130124;-0.9600577738534636
20.0;2009.0;134.0;-97.86666666666667;9577.884444444446;-1.6255917670858302;227.85067480211433;-93.85067480211433;8807.949160812217;-1.5588850574976152
21.0;2010.0;439.0;207.13333333333333;42904.217777777776;3.4405406133076797;238.09561257737062;200.90438742262938;40362.57288566196;3.337076139294772
22.0;2011.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;230.1059501673772;-58.10595016737719;3376.301444853721;-0.9651555266769878
23.0;2012.0;207.0;-24.866666666666674;618.3511111111114;-0.413042049811318;230.34806922426213;-23.348069224262133;545.1323365009366;-0.3878177361203396
24.0;2013.0;320.0;88.13333333333333;7767.484444444443;1.4639184714492284;227.5807229359703;92.4192770640297;8541.322773037886;1.5351091544480004
25.0;2015.0;123.0;-108.86666666666667;11851.951111111113;-1.8083047381819897;225.74077903617916;-102.74077903617916;10555.667676960991;-1.706552090039482
26.0;2017.0;238.0;6.133333333333326;37.61777777777768;0.10187632327785844;228.8494162405799;9.150583759420101;83.73318313816291;0.1519936678134464
27.0;2018.0;202.0;-29.866666666666674;892.0177777777782;-0.4960934003095723;229.22421469299644;-27.22421469299644;741.1578656503633;-0.4522015593015542
28.0;2019.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;222.7775214311062;-89.77752143110621;8060.003354312735;-1.491228879847867
29.0;2021.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;219.7023917630131;-47.70239176301311;2275.518179911981;-0.7923496115830078
30.0;2023.0;237.0;5.133333333333326;26.351111111111035;0.08526605317820758;222.02279062520842;14.977209374791585;224.31680065634492;0.2487754930543111
Сумма;;6956.0
Средний;;231.86666666666667
Высший;;439.0
Низший;;123.0

σ = ;;89.32302222188059;;σ -;среднеквадратическое отклонение (см)
δдоп =;;60.20371697754752;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;53.333333333333336;;Pм -;обеспеченность метода в %
S =;;84.65697013000064;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.9477620441425576;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.8982528923172793;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.3189782244648068;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
