Predictors;Equations;Method;Criterion;Correlation;Pm
;;BaggingRegressor;0.7071938889127376;0.707019662728328;80.0
;;VotingRegressor;0.7239900152684031;0.6898104506251391;73.33333333333333
;;StackingRegressorRidge;0.7488728181461374;0.6627137407975349;73.33333333333333
Smax, H_2802, X, X1, X3, L_max; - 90.31 + 0.974*Smax + 0.549*H_2802 + 0.289*X - 0.016*X1 + 0.455*X3 + 1.449*L_max;QuantileRegressor;0.7512453385700456;0.6600230611704242;70.0
;;ExtraTreesRegressor;0.7525485105767885;0.6585368169120518;73.33333333333333
Smax, H_2802, X, X1, X3, L_max; - 87.917 + 0.898*Smax + 0.378*H_2802 + 0.411*X + 0.017*X1 + 0.48*X3 + 1.498*L_max;OMP6;0.7572209063427462;0.6531588619910703;73.33333333333333
Smax, H_2802, X, X3, L_max; - 85.949 + 0.893*Smax + 0.376*H_2802 + 0.402*X + 0.484*X3 + 1.49*L_max;OMPCV;0.7574310545100058;0.6529151534953531;73.33333333333333
Smax, H_2802, X, X3, L_max; - 85.949 + 0.893*Smax + 0.376*H_2802 + 0.402*X + 0.484*X3 + 1.49*L_max;OMP5;0.7574310545100058;0.6529151534953531;73.33333333333333
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 88.751 + 0.905*Smax + 0.362*H_2802 + 0.409*X + 0.01*X1 + 0.46*X3 + 1.498*L_max + 0.151*Y_sum;LassoCV;0.7596188096338534;0.6503685601645022;70.0
Smax, H_2802, X, X3, L_max, Y_sum; - 84.488 + 0.89*Smax + 0.363*H_2802 + 0.405*X + 0.471*X3 + 1.481*L_max + 0.076*Y_sum;Lars6;0.7596424045124289;0.6503410007577373;73.33333333333333
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars7;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars8;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars9;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars10;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars11;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars12;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars13;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;Lars14;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;LassoLarsCV;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;OMP7;0.7596448644816756;0.6503381273357858;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.374 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;LinearRegression;0.7596448644816759;0.6503381273357854;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 91.371 + 0.914*Smax + 0.362*H_2802 + 0.412*X + 0.016*X1 + 0.454*X3 + 1.509*L_max + 0.197*Y_sum;RidgeCV;0.7596456996447402;0.6503371517999361;70.0
Smax, H_2802, X, X3, L_max; - 81.376 + 0.878*Smax + 0.364*H_2802 + 0.405*X + 0.479*X3 + 1.468*L_max;Lars5;0.7596482922207;0.6503341234520714;73.33333333333333
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.29 + 0.905*Smax + 0.362*H_2802 + 0.411*X + 0.011*X1 + 0.458*X3 + 1.498*L_max + 0.166*Y_sum;ElasticNetCV;0.7598155829089868;0.6501386621088432;70.0
Smax, H_2802, X, X1, X3, L_max, Y_sum; - 90.288 + 0.908*Smax + 0.362*H_2802 + 0.412*X + 0.013*X1 + 0.456*X3 + 1.5*L_max + 0.187*Y_sum;BayesianRidge;0.7599237884559619;0.650012181223351;70.0
Smax, H_2802, X, X3, L_max; - 80.765 + 0.875*Smax + 0.363*H_2802 + 0.406*X + 0.478*X3 + 1.465*L_max;LarsCV;0.7599524663103635;0.6499786526869908;73.33333333333333
Smax, X, X3, L_max; - 52.394 + 0.964*Smax + 0.4*X + 0.584*X3 + 1.498*L_max;OMP4;0.7756630389454637;0.6311472490741665;66.66666666666666
;;HistGradientBoostingRegressor;0.7792362276357393;0.6267303260095384;60.0
;;KNeighborsRegressor;0.8014927822760408;0.5980044481100546;73.33333333333333
;;RandomForestRegressor;0.8211290164496179;0.5707426200525796;63.33333333333333
Smax, X, X3, L_max;55.891 + 0.408*Smax + 0.491*X + 0.299*X3 + 0.791*L_max;Lars4;0.8707783114003141;0.4916758407678961;53.333333333333336
;;AdaBoostRegressor;0.8899383058756968;0.45608092673898876;66.66666666666666
X, X3, L_max; - 48.671 + 0.771*X + 0.63*X3 + 1.548*L_max;OMP3;0.9053170708149872;0.4247363903540305;53.333333333333336
X, X3, L_max;135.298 + 0.557*X + 0.09*X3 + 0.272*L_max;Lars3;0.9813095342252103;0.19243595827885396;46.666666666666664
X;109.762 + 1.04*X;OMP1;1.0001399223149656;0;50.0
X, L_max;165.936 + 0.521*X + 0.06*L_max;Lars2;1.000275201586731;0;50.0
X;170.956 + 0.505*X;Lars1;1.0003361113544569;0;50.0
X, L_max;41.903 + 0.912*X + 1.534*L_max;OMP2;1.000702488020773;0;43.333333333333336
