Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, X, X2, X3
Уравнение:;; 166.045 + 1.573*S_2802 + 0.143*X + 0.015*X2 + 0.065*X3
Модель:;; Lars4

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;212.14463162601422;-10.144631626014217;102.91355082752786;-0.16540467838146855
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;324.6051783586107;-44.605178358610715;1989.6219364034737;-0.7272718667905732
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;376.63993626511046;176.36006373488954;31102.8720805743;2.87548929293806
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;268.44335573503713;44.55664426496287;1985.2945481544486;0.7264805353311072
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;213.3099039189803;66.6900960810197;4447.568915295639;1.0873587430443028
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;284.5591395313698;-37.559139531369794;1410.6889623369052;-0.6123886626440048
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;212.9235053084788;21.07649469152119;444.21862848172094;0.34364489065528403
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;246.48459075613656;-73.48459075613656;5399.98507859687;-1.1981406075745438
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;276.2365593544973;47.763440645502726;2281.3462622964616;0.7787662312057491
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;340.52776284969264;-20.527762849692635;421.3890476132211;-0.3346980094710943
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;279.5817121583758;49.41828784162419;2442.1671731976217;0.805747937228769
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;208.46937803143564;190.53062196856436;36301.91790772798;3.10653529968673
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;186.9715388672228;-59.97153886722279;3596.585474102814;-0.9778150123201749
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;223.66938665985444;-20.66938665985444;427.22354489456865;-0.33700713627180545
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;185.8595261633274;-21.859526163327388;477.8388840851946;-0.35641194554020933
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;234.6145437779424;-24.6145437779424;605.875765396243;-0.40133154629851864
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;247.98604030126427;132.01395969873573;17427.685555339423;2.152441542563207
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;189.9151019069459;6.0848980930541074;37.025984802853515;0.099212139895223
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.2986434203746864;357.11054892217464;-32.110548922174644;1031.0873520833711;-0.5235512942140681
