Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs
Уравнение:;; 37.822 + 1.825*S_2802 + 0.073*Smax + 0.162*H_2802 - 0.937*X - 0.975*X1 + 2.146*X2 + 0.295*X3 + 1.349*Xs
Модель:;; RidgeCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;148.37659084940879;53.623409150591215;2875.47000893171;0.8743109726652788
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;326.6072219000945;-46.60722190009449;2172.233133244647;-0.7599144880599003
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;408.756604615814;144.243395384186;20806.157111958608;2.3518382235773907
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;231.62170257522823;81.37829742477177;6622.427291754616;1.3268447400553254
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;259.65882735453897;20.34117264546103;413.763304592452;0.3316557213074789
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;299.84534805484464;-52.845348054844635;2792.6308110376717;-0.8616249580274402
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;97.92955941260713;136.07044058739285;18515.164801647206;2.2185810478192023
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;217.34871780255057;-44.34871780255057;1966.8087707302657;-0.723090366923798
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;255.1221157346445;68.8778842653555;4744.162940871707;1.1230298658940359
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;389.3570697782326;-69.35706977823259;4810.403128222624;-1.1308428184549988
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;247.11471660281805;81.88528339718195;6705.199637036802;1.3351109694071515
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;221.2063720295457;177.7936279704543;31610.574146896313;2.8988630575126866
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;195.99513595762184;-68.99513595762184;4760.328785810722;-1.1249416138178603
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;195.49684362167895;7.5031563783210515;56.29735563753988;0.12233634629172475
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;157.64022273274747;6.359777267252525;40.446766889062;0.1036939489030003
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;218.16425402692462;-8.164254026924624;66.65504381615494;-0.13311531274188276
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;344.54250209310214;35.457497906897856;1257.2341578176658;0.5781221293893649
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;191.3249897366326;4.675010263367398;21.855720962590503;0.07622441085582947
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.2986434203746864;394.5320742502498;-69.53207425024982;4834.709349542254;-1.133696205298056
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.3475573734325725;284.3905171610638;43.609482838936174;1901.7869934794687;0.7110373988208039
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;129.4501366240808;5.5498633759191875;30.80098349136912;0.09048858554913072
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41334493665132543;244.47256943984306;-24.472569439843056;598.9066549879403;-0.3990167042621134
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.4508015673713282;303.9854672250797;-30.985467225079674;960.0991791564867;-0.505207229774738
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;216.22115055108307;-20.22115055108307;408.89492960956716;-0.32969880294404136
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;292.26727996758905;-12.267279967589047;150.48615780321154;-0.20001371882753222
