Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; 
Уравнение:;; 
Модель:;; ExtraTreesRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;180.85530993531287;21.144690064687126;447.09791793167847;0.34475679241588525
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;286.84647084825576;-6.846470848255763;46.87416307601598;-0.11162931789458923
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;552.1751382114128;0.8248617885872136;0.6803969702712971;0.013449083602066298
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;314.3119230288236;-1.311923028823628;1.721142033557762;-0.021390447149146213
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;277.20712892014024;2.792871079859765;7.800128868717049;0.045536788298996024
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;258.9953179146997;-11.995317914699683;143.88765187471515;-0.19557947246468
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;205.26199410988903;28.73800589011097;825.8729825400527;0.46856315702871365
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;236.97930160841176;-63.97930160841176;4093.3510343001194;-1.0431601851833956
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;312.1509530596023;11.849046940397727;140.39991339574874;0.19319457527443426
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;316.61940324255977;3.3805967574402302;11.4284344364154;0.05511945036702441
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;286.44331839043497;42.55668160956503;1811.0711496178906;0.6938718421832223
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;324.4853772778674;74.51462272213257;5552.428999421756;1.2149349193188275
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;198.1331686708576;-71.1331686708576;5059.927685156677;-1.1598014910750065
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;204.1379667771592;-1.1379667771591926;1.2949683859180794;-0.018554151173132877
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;163.9778131092713;0.02218689072870461;0.0004922581202074786;0.00036174951053476824
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;206.71090921752113;3.2890907824788655;10.818118175387436;0.05362747737909898
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;378.48598131406254;1.514018685937458;2.292252581367787;0.024685546310902383
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;197.4688450150354;-1.4688450150354129;2.1575056781943824;-0.02394900537158404
