Predictors;Equations;Method;Criterion;Correlation;Pm
;;AdaBoostRegressor;0.36136783350306917;0.9324233421087752;91.8918918918919
;;KNeighborsRegressor;0.38373494135737507;0.9234432818432607;91.8918918918919
;;BaggingRegressor;0.4157247330676026;0.9094904872047154;89.1891891891892
;;VotingRegressor;0.44732470231815263;0.8943716289641438;86.48648648648648
;;ExtraTreesRegressor;0.4482386642483784;0.8939139219593962;89.1891891891892
;;StackingRegressorRidge;0.4496571255402508;0.8932012480123833;89.1891891891892
;;RandomForestRegressor;0.4907262581818766;0.87131380083803;89.1891891891892
;;HistGradientBoostingRegressor;0.5473310112373786;0.836916222890839;81.08108108108108
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;LinearRegression;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;LarsCV;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;Lars5;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;Lars6;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;Lars7;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;Lars8;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;Lars9;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;Lars10;0.6892289215186279;0.7245436451603651;75.67567567567568
S_2802, H_2802, X2, X3, Xs;29.993 + 1.908*S_2802 + 0.157*H_2802 + 1.228*X2 + 0.343*X3 + 0.412*Xs;Lars11;0.6892289215186279;0.7245436451603651;75.67567567567568
