Predictors;Equations;Method;Criterion;Correlation;Pm
S_2802, H_2802, X, X1, X2, X3;75.14 + 1.416*S_2802 + 0.298*H_2802 + 0.415*X + 0.148*X1 + 0.576*X2 + 0.199*X3;Lars6;0.6266486913674955;0.7793018783548552;78.37837837837837
S_2802, H_2802, X, X2, X3;115.558 + 1.341*S_2802 + 0.208*H_2802 + 0.322*X + 0.483*X2 + 0.192*X3;Lars5;0.6295348531010613;0.7769722445049277;72.97297297297297
S_2802, H_2802, X, X1, X2, X3, Xs;56.798 + 1.432*S_2802 + 0.345*H_2802 + 0.812*X + 0.571*X1 + 0.338*X2 + 0.196*X3 - 0.374*Xs;Lars7;0.6527006033278483;0.7576159465160845;64.86486486486487
S_2802, X, X2, X3;185.945 + 1.221*S_2802 + 0.24*X + 0.141*X2 + 0.158*X3;Lars4;0.6544248675833143;0.7561270347557754;81.08108108108108
S_2802, X, X3;198.99 + 1.173*S_2802 + 0.231*X + 0.123*X3;Lars3;0.6615809046692087;0.7498737937660386;75.67567567567568
S_2802, X;230.618 + 1.026*S_2802 + 0.154*X;Lars2;0.7019307656126236;0.712245182704998;70.27027027027027
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs;Lars8;0.7348498884632584;0.6782297851211908;56.75675675675676
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs;Lars9;0.7348498884632584;0.6782297851211908;56.75675675675676
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs;Lars10;0.7348498884632584;0.6782297851211908;56.75675675675676
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs;Lars11;0.7348498884632584;0.6782297851211908;56.75675675675676
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs;Lars12;0.7348498884632584;0.6782297851211908;56.75675675675676
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs;Lars13;0.7348498884632584;0.6782297851211908;56.75675675675676
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs;Lars14;0.7348498884632584;0.6782297851211908;56.75675675675676
S_2802;258.907 + 0.709*S_2802;Lars1;0.7884300023876041;0.6151244844217165;54.054054054054056
