Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, X
Уравнение:;; 230.618 + 1.026*S_2802 + 0.154*X
Модель:;; Lars2

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;260.7275946669021;20.27240533309788;410.97041798941535;0.41306645438273015
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;342.60282520536975;-31.602825205369754;998.7385609611539;-0.6439328112064951
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;381.07971736310776;112.92028263689224;12750.990230795627;2.3008409712765503
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;313.5626068556734;43.43739314432662;1886.8071231747933;0.8850715876552505
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;271.64705347416464;21.352946525835364;455.94832533518456;0.435083344434245
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;342.600484076985;-73.60048407698503;5417.031256366527;-1.4996686628447065
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;250.93284578122885;41.06715421877115;1686.5111556283332;0.8367760759519278
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;295.71065865540544;-46.71065865540544;2181.885632021803;-0.9517669874708377
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;313.6154326727527;48.38456732724728;2341.066355444925;0.9858742139531997
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;358.7606851380997;-4.760685138099689;22.664122984123253;-0.09700276302273864
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;316.5950494415026;44.404950558497376;1971.7996341025964;0.9047863429551912
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;273.8483297570334;120.15167024296659;14436.423862174583;2.448186270940204
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;242.46006331515392;-55.46006331515392;3075.8186229208814;-1.130043097354132
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;266.6246378737839;-21.62463787378391;467.62496317228954;-0.44061927270420437
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;240.76831617600055;-17.768316176000553;315.7130597303229;-0.36204363727815675
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;279.80522216614855;-27.805222166148553;773.1303797088789;-0.5665536153592665
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;306.32018594534634;85.67981405465366;7341.030536440027;1.745794661373769
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;231.84819489682832;-0.8481948968283177;0.7194345830056006;-0.01728264864980673
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;371.07132408073267;-26.071324080732666;679.7139393225909;-0.531224056649506
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;302.11957213438734;67.88042786561266;4607.752487218644;1.383117947757932
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;250.20967224081164;-52.20967224081164;2725.849875492978;-1.0638137824615481
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;282.5782179233507;-18.578217923350678;345.1501812075084;-0.3785460324147664
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;299.5625619022717;41.43743809772832;1717.0612761030663;0.844320905807229
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;296.69093789606507;-42.690937896065066;1822.5161784456843;-0.8698619656252798
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;310.2753996979865;35.72460030201353;1276.247066738625;0.7279172717063042
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;313.415835046359;-27.415835046359007;751.6280112891668;-0.558619541710336
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;255.3788596505068;-56.3788596505068;3178.5758154915434;-1.1487643067177011
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;253.44405358141924;-39.44405358141924;1555.833362933872;-0.8037041037630781
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;308.48502430982865;70.51497569017135;4972.361796585457;1.4367989644360797
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;269.34480781390675;-45.344807813906755;2056.151595680139;-0.9239366853905805
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;264.3200510851413;-10.320051085141301;106.50345439992616;-0.21027928559755887
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;346.7482720708648;16.2517279291352;264.1186606826331;0.331141940138725
