Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs
Уравнение:;; 33.594 + 1.551*S_2802 - 0.123*Smax + 0.418*H_2802 + 1.272*X + 1.049*X1 + 0.096*X2 + 0.187*X3 - 0.795*Xs
Модель:;; Lars8

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;223.8013234431243;57.19867655687571;3271.688599858083;1.1654687311405862
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;367.13031951663754;-56.13031951663754;3150.612769039821;-1.1437001029302223
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;434.1963858429813;59.80361415701873;3576.4722662415707;1.2185464158405155
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;330.83638344191803;26.16361655808197;684.534831398341;0.5331045896083964
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;271.2655023691536;21.73449763084642;472.38838726526865;0.44285775302183444
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;371.69066951911805;-102.69066951911805;10545.37360628472;-2.0924044315154178
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;234.2718982626976;57.72810173730241;3332.5337301923373;1.1762561921520702
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;291.47169416787773;-42.47169416787773;1803.8448054897392;-0.8653946995086076
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;324.84383948929917;37.15616051070083;1380.5802638969637;0.7570864546385548
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;398.27694476532696;-44.27694476532696;1960.4478377518144;-0.9021781226549082
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;302.34552879295995;58.65447120704005;3440.34699257749;1.1951317101789418
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;304.6097400343386;89.39025996566141;7990.61857672853;1.821397961103405
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;163.72069290708254;23.279307092917463;541.9261387263573;0.47433447996714495
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;270.78234684798633;-25.782346847986332;664.7294089898708;-0.5253359146670162
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;195.6770893140102;27.322910685989797;746.5414483545754;0.5567261336301007
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;298.24412981770706;-46.24412981770706;2138.519542596943;-0.9422610896906299
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;380.4032176981093;11.596782301890698;134.48535975744534;0.236293704125458
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;133.3413036255078;97.6586963744922;9537.220977565255;1.9898739586264325
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;419.589165323516;-74.589165323516;5563.543583658801;-1.5198138331049165
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;344.60605670803216;25.393943291967844;644.8523559156787;0.5174218819156948
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;208.17171670222208;-10.171716702222085;103.46382067026373;-0.20725685404053712
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;292.87961283314536;-28.87961283314536;834.0320373923741;-0.5884451835351309
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;247.26134676408088;93.73865323591912;8786.93511048389;1.9099999479369327
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;296.7407166293075;-42.740716629307485;1826.7688579867613;-0.8708762470835605
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;336.77575584503285;9.224244154967153;85.08668023044568;0.18795134394990187
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;340.7300478450144;-54.73004784501438;2995.3781371175637;-1.1151684489372142
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;279.4221327122674;-80.4221327122674;6467.71942998955;-1.6386652036360643
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;175.49392487731745;38.506075122682546;1482.7178213536718;0.7845920433108743
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;325.6881158709291;53.311884129070904;2842.156989391482;1.0862722302471408
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;235.18564578714904;-11.185645787149042;125.11867167556511;-0.2279164691786833
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;227.2990784305861;26.700921569413907;712.9392126559928;0.5440526084698089
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;445.5153656255068;-82.51536562550677;6808.785564311065;-1.6813164965370284
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;196.12272531409272;-15.122725314092719;228.69682092550073;-0.3081376098916855
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;220.53770581024023;54.462294189759774;2966.1414884119413;1.1097127543017353
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;297.13153394059685;-45.13153394059685;2036.8553558312458;-0.9195910598363813
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;227.65602821021758;-22.656028210217585;513.295614262175;-0.4616346747916766
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;269.7398789378325;-51.739878937832486;2677.015072501562;-1.054241368593248
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783783783784;;Pк -;климатическая обеспеченность в %
Pм =;;56.75675675675676;;Pм -;обеспеченность метода в %
S =;;53.50866185526535;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7348498884632584;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5400043585744633;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6782297851211908;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
