Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; 
Уравнение:;; 
Модель:;; ExtraTreesRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;240.78188841130043;40.21811158869957;1617.4964997610907;0.8194761540600316
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;313.9755836843638;-2.975583684363812;8.85409826265212;-0.06062989477684426
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;491.1469448507139;2.8530551492860923;8.139923684867886;0.058133277986007356
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;345.3295151755069;11.670484824493087;136.20021603872345;0.23779545190477686
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;294.22679114563505;-1.2267911456350475;1.5050165150085524;-0.024996849681584353
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;312.91600780435255;-43.916007804352546;1928.6157414719537;-0.8948237437208029
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;265.79466845861265;26.205331541387352;686.7194011940309;0.5339545657195417
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;317.80015890890144;-68.80015890890144;4733.46186589009;-1.4018582025424378
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;353.7118625632874;8.288137436712589;68.69322216983672;0.1688774217053639
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;329.3223510225928;24.677648977407216;608.9863590521275;0.5028268130055936
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;350.85322649021657;10.14677350978343;102.95701265884273;0.20674861656736465
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;372.1065176250842;21.893482374915777;479.32457050074777;0.44609719419591437
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;225.93255269181026;-38.93255269181026;1515.7436591005821;-0.793281864496806
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;238.5346806193798;6.465319380620201;41.80035469342318;0.13173604755448293
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;223.01390051481656;-0.013900514816555187;0.00019322431216527028;-0.0002832340945745895
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;272.45705214857065;-20.457052148570654;418.4909826093392;-0.4168287807632054
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;384.5395832420714;7.460416757928613;55.657818201982074;0.15201195160516062
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;247.28853601028513;-16.288536010285128;265.3164053583554;-0.33189193419830554
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;354.7173983743097;-9.71739837430971;94.42783116503699;-0.1979997551522535
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;348.95693807751576;21.04306192248424;442.8104550735062;0.42876919807268515
