Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, X2, X3, Xs
Уравнение:;; 171.344 + 1.294*S_2802 + 0.599*X2 + 0.194*X3 + 0.134*Xs
Модель:;; Lars4

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;244.92879337974864;36.07120662025136;1301.1319470408655;0.7349796523458332
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;351.9178977338603;-40.917897733860286;1674.2743549586487;-0.8337348558301546
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;406.62564536890125;87.37435463109875;7634.277847201009;1.7803222793953488
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;301.43202811220465;55.56797188779535;3087.7994997228147;1.1322418207303722
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;281.8294804176458;11.170519582354189;124.78050773975839;0.22760826067159134
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;353.4493444966079;-84.44934449660792;7131.691785906763;-1.7207228611006156
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;246.9726836484022;45.02731635159779;2027.4592178268656;0.9174675432005989
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;288.3987740335907;-39.39877403359071;1552.2633953499417;-0.8027814968020262
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;315.46040739324445;46.53959260675555;2165.933680002776;0.9482813800641178
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;377.3299826410411;-23.329982641041113;544.2880900312797;-0.4753670347451003
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;319.0913000524996;41.908699947500395;1756.3391312896197;0.853923242489664
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;258.04460073782224;135.95539926217776;18483.870588538168;2.770199875380771
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;240.11742612447983;-53.117426124479834;2821.4609580895726;-1.0823099930501747
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;269.950832274315;-24.95083227431502;622.5440311809999;-0.5083931409275229
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;228.87504874877789;-5.8750487487778855;34.5161978005166;-0.11970881186068574
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;278.78807700027414;-26.788077000274143;717.6010693726165;-0.5458284700024737
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;308.1195857324417;83.88041426755831;7035.923897697199;1.7091304531626688
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;245.96222737503672;-14.962227375036719;223.86824802229816;-0.30486733616085404
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;387.1628247516662;-42.16282475166622;1777.7037910397178;-0.8591012383960552
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;322.4286447214257;47.57135527857429;2263.0338430403376;0.9693043687825212
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;237.29708282552846;-39.29708282552846;1544.2607185964441;-0.8007094571961689
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;291.55550176119596;-27.555501761195956;759.3056773112734;-0.5614653626055404
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;316.28276711213675;24.717232887863247;610.9416016328685;0.5036333668049092
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;302.6402569143946;-48.64025691439463;2365.8745926983142;-0.9910840935629519
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;299.1485140893545;46.85148591064552;2195.061732035416;0.954636455303917
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;319.48870362050263;-33.48870362050263;1121.4932701818661;-0.6823590905520462
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;229.1121794958135;-30.112179495813507;906.7433539880914;-0.6135597139903526
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;256.2330955422261;-42.233095542226124;1783.6343590788001;-0.8605330618933814
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;323.4925747688424;55.50742523115758;3081.0742557925496;1.1310081342303664
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;264.1293101149064;-40.12931011490639;1610.3615302983283;-0.8176667530875765
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;255.1336866118732;-1.1336866118732019;1.2852453339405399;-0.023099770424532724
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;349.8143051266421;13.185694873357875;173.86254929329613;0.26866906715889816
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;215.75320063610036;-34.75320063610036;1207.7849544530463;-0.7081242274575187
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;243.844510713531;31.155489286468992;970.6645126792841;0.6348179844801027
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;273.84529308599764;-21.84529308599764;477.21683001313625;-0.4451152989355556
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;241.7731421125842;-36.773142112584196;1352.2639808323133;-0.7492821487817118
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;257.78932600681594;-39.78932600681594;1583.1904640766793;-0.8107393052703157
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783783783784;;Pк -;климатическая обеспеченность в %
Pм =;;81.08108108108108;;Pм -;обеспеченность метода в %
S =;;48.512822391538755;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6662405839990582;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.44387651576740605;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7457368733223495;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
