Predictors;Equations;Method;Criterion;Correlation;Pm
S_2802, Smax, H_2802, X1, X2, X3, Xs;148.138 + 2.029*S_2802 + 0.33*Smax - 0.125*H_2802 + 0.309*X1 + 0.136*X2 + 0.311*X3 + 0.102*Xs;Lars7;0.6117144276216865;0.7910786680472888;75.67567567567568
S_2802, Smax, H_2802, X1, X3, Xs;166.962 + 2.013*S_2802 + 0.292*Smax - 0.119*H_2802 + 0.25*X1 + 0.265*X3 + 0.034*Xs;Lars6;0.6147580443407514;0.78871575800052;78.37837837837837
S_2802, Smax, H_2802, X1, X3;175.069 + 1.99*S_2802 + 0.269*Smax - 0.106*H_2802 + 0.191*X1 + 0.241*X3;Lars5;0.6174188904215081;0.7866345490446461;78.37837837837837
S_2802, Smax, H_2802, X3;192.936 + 1.928*S_2802 + 0.187*Smax - 0.075*H_2802 + 0.17*X3;Lars4;0.6267767399251484;0.7791988952050708;75.67567567567568
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;110.463 + 1.54*S_2802 + 0.851*Smax - 0.082*H_2802 - 0.745*X - 0.505*X1 + 1.681*X2 + 0.325*X3 + 0.916*Xs;Lars8;0.6544242124130116;0.7561276018025063;75.67567567567568
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;110.463 + 1.54*S_2802 + 0.851*Smax - 0.082*H_2802 - 0.745*X - 0.505*X1 + 1.681*X2 + 0.325*X3 + 0.916*Xs;Lars9;0.6544242124130116;0.7561276018025063;75.67567567567568
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;110.463 + 1.54*S_2802 + 0.851*Smax - 0.082*H_2802 - 0.745*X - 0.505*X1 + 1.681*X2 + 0.325*X3 + 0.916*Xs;Lars10;0.6544242124130116;0.7561276018025063;75.67567567567568
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;110.463 + 1.54*S_2802 + 0.851*Smax - 0.082*H_2802 - 0.745*X - 0.505*X1 + 1.681*X2 + 0.325*X3 + 0.916*Xs;Lars11;0.6544242124130116;0.7561276018025063;75.67567567567568
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;110.463 + 1.54*S_2802 + 0.851*Smax - 0.082*H_2802 - 0.745*X - 0.505*X1 + 1.681*X2 + 0.325*X3 + 0.916*Xs;Lars12;0.6544242124130116;0.7561276018025063;75.67567567567568
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;110.463 + 1.54*S_2802 + 0.851*Smax - 0.082*H_2802 - 0.745*X - 0.505*X1 + 1.681*X2 + 0.325*X3 + 0.916*Xs;Lars13;0.6544242124130116;0.7561276018025063;75.67567567567568
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;110.463 + 1.54*S_2802 + 0.851*Smax - 0.082*H_2802 - 0.745*X - 0.505*X1 + 1.681*X2 + 0.325*X3 + 0.916*Xs;Lars14;0.6544242124130116;0.7561276018025063;75.67567567567568
S_2802, Smax, H_2802;217.932 + 1.871*S_2802 + 0.012*Smax - 0.022*H_2802;Lars3;0.6562026774678157;0.754584684501395;78.37837837837837
S_2802, H_2802;218.249 + 1.868*S_2802 - 0.019*H_2802;Lars2;0.6574365928516571;0.7535098714546509;78.37837837837837
S_2802;218.752 + 1.777*S_2802;Lars1;0.6661632893891278;0.745805921048001;78.37837837837837
