Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Гродно
Предикторы:;; Smax, H_2802, X, X1, X3
Уравнение:;; 0.057 + 0.871*Smax + 0.281*H_2802 + 0.58*X + 0.322*X1 + 0.819*X3
Модель:;; SGDRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;241.0;-38.081081081081095;1450.1687363038725;-0.6012761376654464;131.5592921081437;109.4407078918563;11977.26854387062;1.7279994232432532
2.0;1978.0;340.0;60.918918918918905;3711.114682249816;0.9618711244129988;299.67639972656883;40.32360027343117;1625.9927390114583;0.6366840945915109
3.0;1979.0;628.0;348.9189189189189;121744.4119795471;5.509208614095749;289.2066364464444;338.7933635535556;114780.9431879317;5.349332511606947
4.0;1980.0;342.0;62.918918918918905;3958.790357925491;0.9934498569802401;215.0460155854666;126.95398441453341;16117.314158725592;2.004522961086136
5.0;1981.0;282.0;2.918918918918905;8.52008765522271;0.04608787996300062;254.53555650002727;27.46444349997273;754.2956567631944;0.43364615819687397
6.0;1982.0;399.0;119.9189189189189;14380.547114682246;1.8934437351466176;242.37500248711942;156.62499751288058;24531.38984590985;2.473009454902046
7.0;1983.0;269.0;-10.081081081081095;101.62819576333118;-0.15917388172406793;146.51677178284308;122.48322821715692;15002.141194496146;1.933932553920992
8.0;1984.0;206.0;-73.0810810810811;5340.8444119795495;-1.1539039575921695;162.76464840384523;43.23535159615477;1869.295627643123;0.6826588027528108
9.0;1985.0;336.0;56.918918918918905;3239.7633308984646;0.8987136592785162;257.20334774304354;78.79665225695646;6208.9124069037225;1.2441492044081701
10.0;1986.0;329.0;49.918918918918905;2491.8984660335996;0.7881880952931716;337.67086422794523;-8.67086422794523;75.18388645946024;-0.1369074512905709
11.0;1987.0;350.0;70.9189189189189;5029.493060628194;1.1197647872492054;214.407895652845;135.592104347155;18385.218761289765;2.140913400704143
12.0;1988.0;401.0;121.9189189189189;14864.222790357922;1.925022467713859;242.2514840121439;158.7485159878561;25201.091328346607;2.5065384659134704
13.0;1989.0;161.0;-118.0810810810811;13943.141709276848;-1.864425440355099;220.18587562644035;-59.18587562644035;3502.967873668466;-0.934507469082683
14.0;1991.0;243.0;-36.081081081081095;1301.844411979548;-0.5696974050982051;257.5344298140973;-14.53442981409728;211.2496500209199;-0.22948943605835845
15.0;1992.0;182.0;-97.0810810810811;9424.736303871441;-1.5328487483990652;183.2593404815084;-1.2593404815083886;1.5859384483657801;-0.019884188138327156
16.0;1993.0;237.0;-42.081081081081095;1770.8173849525213;-0.664433602799929;230.54241615712175;6.45758384287825;41.70038908780223;0.10196115660239537
17.0;1994.0;378.0;98.9189189189189;9784.952520087652;1.561867043190584;283.9558029129479;94.04419708705211;8844.3110057483;1.4848982746564767
18.0;1995.0;234.0;-45.081081081081095;2032.3038714390077;-0.7118017016507909;201.21900922393922;32.780990776060776;1074.5933562601817;0.5175910705032138
19.0;1996.0;377.0;97.9189189189189;9588.114682249814;1.546077676906963;307.50758344719173;69.49241655280827;4829.19595834902;1.097241218886233
20.0;1999.0;305.0;25.918918918918905;671.7903579254923;0.40924330448627577;278.006437928018;26.993562071982012;728.6523933339458;0.42621123885417417
21.0;2001.0;169.0;-110.0810810810811;12117.84441197955;-1.7381105100861338;159.74992447143183;9.250075528568175;85.5638972842158;0.14605283067171887
22.0;2003.0;256.0;-23.081081081081095;532.7363038714396;-0.3644356434111365;293.16710597086774;-37.16710597086774;1381.3937662497121;-0.5868450498761751
23.0;2004.0;272.0;-7.081081081081095;50.14170927684461;-0.11180578287320596;281.1733545971787;-9.173354597178673;84.15043456557909;-0.1448414557843895
24.0;2005.0;232.0;-47.081081081081095;2216.6281957633323;-0.7433804342180323;248.6783555825214;-16.67835558252139;278.16754493702246;-0.2633406653008996
25.0;2006.0;289.0;9.918918918918905;98.38495252008738;0.15661344394834523;219.18692386930272;69.81307613069728;4873.8655988305345;1.102304230413874
26.0;2007.0;363.0;83.9189189189189;7042.384952520085;1.325026548936274;253.93995896996444;109.06004103003556;11894.09254947304;1.721988934729929
27.0;2008.0;160.0;-119.0810810810811;14180.30387143901;-1.8802148066387196;215.11837576893896;-55.11837576893896;3038.0353474059575;-0.8702842239740187
28.0;2009.0;186.0;-93.0810810810811;8664.087655222793;-1.4696912832645825;185.0958245133763;0.9041754866237;0.8175333106112046;0.014276357942972549
29.0;2010.0;327.0;47.918918918918905;2296.222790357924;0.7566093627259303;305.48543062694563;21.51456937305437;462.87669530796916;0.33970141626552236
30.0;2011.0;261.0;-18.081081081081095;326.9254930606287;-0.2854888119930332;304.2501520911496;-43.25015209114957;1870.5756559075699;-0.6828924931894625
31.0;2012.0;205.0;-74.0810810810811;5488.006574141711;-1.16969332387579;168.17955868668463;36.82044131331537;1355.7448985073013;0.5813714346204949
32.0;2013.0;314.0;34.918918918918905;1219.3308984660325;0.5513476010388617;349.6550733302295;-35.65507333022953;1271.2842541840448;-0.5629710126803482
33.0;2015.0;143.0;-136.0810810810811;18518.060628195766;-2.148634033460271;210.40094622717783;-67.40094622717783;4542.887552318917;-1.0642182278435306
34.0;2017.0;296.0;16.918918918918905;286.24981738495205;0.26713900793368983;293.3874250773711;2.6125749226288804;6.8255477263493;0.041250902396789295
35.0;2018.0;249.0;-30.081081081081095;904.871439006575;-0.4749612073964811;247.55623097577248;1.443769024227521;2.084468995318888;0.022796197952473916
