Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Гродно
Предикторы:;; 
Уравнение:;; 
Модель:;; StackingRegressorRidge

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;241.0;-38.081081081081095;1450.1687363038725;-0.6012761376654464;216.39067574014663;24.609324259853366;605.6188405266074;0.38856563473121664
2.0;1978.0;340.0;60.918918918918905;3711.114682249816;0.9618711244129988;336.04399115211476;3.9560088478852435;15.650006004546333;0.06246287272050427
3.0;1979.0;628.0;348.9189189189189;121744.4119795471;5.509208614095749;600.8168508173169;27.18314918268311;738.9235994880054;0.42920469918768717
4.0;1980.0;342.0;62.918918918918905;3958.790357925491;0.9934498569802401;341.70033596452345;0.2996640354765532;0.08979853415809293;0.004731505218167194
5.0;1981.0;282.0;2.918918918918905;8.52008765522271;0.04608787996300062;280.92333365807116;1.076666341928842;1.1592104118424342;0.01699987923796045
6.0;1982.0;399.0;119.9189189189189;14380.547114682246;1.8934437351466176;357.61492018897604;41.38507981102396;1712.7248309648228;0.6534441838131316
7.0;1983.0;269.0;-10.081081081081095;101.62819576333118;-0.15917388172406793;228.82864858443617;40.171351415563834;1613.7374745527225;0.6342801816083806
8.0;1984.0;206.0;-73.0810810810811;5340.8444119795495;-1.1539039575921695;224.4732930761483;-18.47329307614831;341.26255707726904;-0.29168159084397904
9.0;1985.0;336.0;56.918918918918905;3239.7633308984646;0.8987136592785162;334.40005235066013;1.5999476493398674;2.5598324806281676;0.02526215947004503
10.0;1986.0;329.0;49.918918918918905;2491.8984660335996;0.7881880952931716;333.5404242308287;-4.540424230828705;20.61545219589644;-0.07169042126358102
11.0;1987.0;350.0;70.9189189189189;5029.493060628194;1.1197647872492054;336.74828420607633;13.251715793923665;175.60797148292593;0.2092361945567017
12.0;1988.0;401.0;121.9189189189189;14864.222790357922;1.925022467713859;231.84291618668297;169.15708381331703;28614.119004225562;2.670883155797582
13.0;1989.0;161.0;-118.0810810810811;13943.141709276848;-1.864425440355099;214.56142664165407;-53.561426641654066;2868.82642388929;-0.845700983918354
14.0;1991.0;243.0;-36.081081081081095;1301.844411979548;-0.5696974050982051;245.40488550707113;-2.4048855070711284;5.783474302120758;-0.037971618141316846
15.0;1992.0;182.0;-97.0810810810811;9424.736303871441;-1.5328487483990652;200.2012637887297;-18.201263788729705;331.2860035069232;-0.2873864207850544
16.0;1993.0;237.0;-42.081081081081095;1770.8173849525213;-0.664433602799929;234.94231232417278;2.057687675827225;4.2340785712512465;0.03248958441092814
17.0;1994.0;378.0;98.9189189189189;9784.952520087652;1.561867043190584;334.9810447456987;43.01895525430132;1850.630511171579;0.679242041648851
18.0;1995.0;234.0;-45.081081081081095;2032.3038714390077;-0.7118017016507909;241.6762638969259;-7.676263896925889;58.92502741524783;-0.12120334235829615
19.0;1996.0;377.0;97.9189189189189;9588.114682249814;1.546077676906963;408.43441651248327;-31.434416512483267;988.1225414802807;-0.4963295162274918
20.0;1999.0;305.0;25.918918918918905;671.7903579254923;0.40924330448627577;292.91153730024655;12.08846269975345;146.13093044333047;0.19086916537229306
21.0;2001.0;169.0;-110.0810810810811;12117.84441197955;-1.7381105100861338;187.29901023634034;-18.299010236340337;334.8537756296884;-0.2889297752493014
22.0;2003.0;256.0;-23.081081081081095;532.7363038714396;-0.3644356434111365;255.5708243348734;0.4291756651265928;0.1841917515368533;0.006776411776700295
23.0;2004.0;272.0;-7.081081081081095;50.14170927684461;-0.11180578287320596;279.7310138057021;-7.731013805702105;59.76857446395655;-0.12206780872195865
24.0;2005.0;232.0;-47.081081081081095;2216.6281957633323;-0.7433804342180323;272.05805532409136;-40.058055324091356;1604.6477963479638;-0.632491308121619
25.0;2006.0;289.0;9.918918918918905;98.38495252008738;0.15661344394834523;305.0548299890801;-16.054829989080076;257.75756597826495;-0.2534955913188428
26.0;2007.0;363.0;83.9189189189189;7042.384952520085;1.325026548936274;345.3364676949352;17.66353230506479;312.0003734920675;0.2788959814272343
27.0;2008.0;160.0;-119.0810810810811;14180.30387143901;-1.8802148066387196;164.57275799045246;-4.572757990452459;20.91011563924681;-0.07220095083760701
28.0;2009.0;186.0;-93.0810810810811;8664.087655222793;-1.4696912832645825;199.59374261411335;-13.593742614113353;184.78983825876134;-0.21463658129949872
29.0;2010.0;327.0;47.918918918918905;2296.222790357924;0.7566093627259303;304.37896293332017;22.621037066679833;511.7113179721029;0.3571718399611677
30.0;2011.0;261.0;-18.081081081081095;326.9254930606287;-0.2854888119930332;276.1893988816307;-15.189398881630723;230.71783838528467;-0.23983098257008548
31.0;2012.0;205.0;-74.0810810810811;5488.006574141711;-1.16969332387579;209.55867020707717;-4.558670207077171;20.781474056893014;-0.07197851366577028
32.0;2013.0;314.0;34.918918918918905;1219.3308984660325;0.5513476010388617;315.1078794997972;-1.1078794997972068;1.227396986070909;-0.017492715220412538
33.0;2015.0;143.0;-136.0810810810811;18518.060628195766;-2.148634033460271;167.23327659158522;-24.233276591585224;587.2516943642723;-0.3826280803568295
34.0;2017.0;296.0;16.918918918918905;286.24981738495205;0.26713900793368983;287.0977500311906;8.902249968809372;79.25005450716645;0.14056088550588175
35.0;2018.0;249.0;-30.081081081081095;904.871439006575;-0.4749612073964811;245.69371975138677;3.306280248613234;10.931489082369989;0.05220406988165473
36.0;2019.0;171.0;-108.0810810810811;11681.520087655226;-1.7065317775188924;151.5564380303265;19.44356196967351;378.05210206853405;0.3070015217974518
37.0;2021.0;193.0;-86.0810810810811;7409.952520087658;-1.359165719279238;220.77358366039664;-27.77358366039664;771.3719493410512;-0.4385272854227843
Сумма;;10326.0
Средний;;279.0810810810811
Высший;;628.0
Низший;;143.0

σ = ;;93.96700909786794;;σ -;среднеквадратическое отклонение (см)
δдоп =;;63.333764131963;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;54.054054054054056;;Pк -;климатическая обеспеченность в %
Pм =;;97.2972972972973;;Pм -;обеспеченность метода в %
S =;;35.536450424978455;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.3781800736891258;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.14302016813551263;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.9257320518727259;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
