Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802
Уравнение:;; 198.507 + 1.288*S_2802
Модель:;; Lars1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;221.68254340501497;-19.682543405014968;387.4025148902982;-0.3209170013909023
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;311.81070902011936;-31.81070902011936;1011.9212083627033;-0.5186625092493969
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;353.01215615845285;199.98784384154715;39995.13768439105;3.2607320019377615
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;268.0341714356401;44.965828564359924;2021.9257384794068;0.7331521425353511
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;216.5323625127233;63.467637487276704;4028.141008216371;1.034817680249194
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;278.3345332202235;-31.334533220223477;981.8529721292887;-0.5108986290082608
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;219.10745295886912;14.892547041130882;221.7879573722962;0.2428177822940786
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;248.72099308954628;-75.72099308954628;5733.668794467116;-1.234604367159527
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;271.89680710485885;52.10319289514115;2714.742709868287;0.8495243771463055
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;323.3986160277757;-3.398616027775688;11.550590904253797;-0.05541324828146639
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;275.7594427740776;53.24055722592237;2834.556933726715;0.8680687056414877
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;216.5323625127233;182.4676374872767;33294.43873018822;2.975071151545341
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;198.5067293897024;-71.5067293897024;5113.212348012129;-1.1658922682302881
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;226.83272429730664;-23.83272429730664;567.9987474314303;-0.38858425250666584
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;198.5067293897024;-34.5067293897024;1190.7143731741514;-0.5626201805163601
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;235.8455408588171;-25.84554085881709;667.9919822847836;-0.4214025241079517
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;247.4334478664734;132.5665521335266;17573.89074457103;2.161451369368375
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;198.5067293897024;-2.5067293897024;6.283692233197767;-0.04087134789890885
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.2986434203746864;337.56161348157775;-12.561613481577751;157.79413326055592;-0.2048127240564009
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.3475573734325725;247.4334478664734;80.56655213352661;6490.969322684262;1.3136095163650168
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;207.51954595121285;-72.51954595121285;5259.084544970072;-1.1824058888122786
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41334493665132543;248.72099308954628;-28.720993089546283;824.8954440497654;-0.4682857692526456
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.4508015673713282;259.02135487412966;13.978645125870344;195.40251955501873;0.2279169304998899
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;266.7466262125672;-70.74662621256721;5005.085120460702;-1.153499051188441
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;268.0341714356401;11.965828564359924;143.18105323165187;0.19509865889860448
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.7394379570372325;283.4847141125151;-83.48471411251512;6969.697490448381;-1.3611891290502007
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;198.5067293897024;-63.5067293897024;4033.1046777768906;-1.0354550600759254
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.456842601886228;215.24481728965037;-59.24481728965037;3509.9483756840555;-0.9659660706096648
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.233424816297505;257.73380965105673;63.26619034894327;4002.610841268722;1.0315331549598317
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.8209612121337092;231.98290518959834;-36.98290518959834;1367.73527626282;-0.602993362796088
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.000312373345958;221.68254340501497;-37.68254340501497;1419.974077470837;-0.6144007197382186
32.0;2013.0;301.0;55.648648648648646;3096.7720964207447;0.9073317959115981;283.4847141125151;17.51528588748488;306.78523972032696;0.2855806238986298
33.0;2015.0;115.0;-130.35135135135135;16991.474799123447;-2.1253332936773375;198.5067293897024;-83.5067293897024;6973.373853364987;-1.3615480804618323
34.0;2017.0;263.0;17.648648648648646;311.47479912344767;0.2877550571783747;198.5067293897024;64.4932706102976;4159.381954013076;1.0515402703938797
35.0;2018.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;222.9700886280879;-26.970088628087893;727.3856806069159;-0.43973788304043926
36.0;2019.0;141.0;-104.35135135135135;10889.204528853179;-1.7014123671756582;198.5067293897024;-57.5067293897024;3307.023925100462;-0.9376271539601532
37.0;2021.0;180.0;-65.35135135135135;4270.799123447772;-1.0655309774231396;222.9700886280879;-42.97008862808789;1846.4285167057285;-0.7006122993491649
Сумма;;9078.0
Средний;;245.35135135135135
Высший;;553.0
Низший;;115.0

σ = ;;90.99731870781696;;σ -;среднеквадратическое отклонение (см)
δдоп =;;61.33219280906864;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;45.94594594594595;;Pк -;климатическая обеспеченность в %
Pм =;;62.16216216216216;;Pм -;обеспеченность метода в %
S =;;69.73303871379323;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7663197081410592;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5872458950853982;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.642459418885428;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
