Predictors;Equations;Method;Criterion;Correlation;Pm
;;KNeighborsRegressor;0.17855448904739177;0.9839300251750756;100.0
;;StackingRegressorRidge;0.3194001600454555;0.9476199331815142;96.875
;;ExtraTreesRegressor;0.3215030591207897;0.9469085399213453;100.0
;;VotingRegressor;0.3688157991493614;0.9295025047291793;90.625
;;HistGradientBoostingRegressor;0.3931252209508868;0.9194849431351861;90.625
;;AdaBoostRegressor;0.42685397632402616;0.9043205642339268;84.375
;;BaggingRegressor;0.445487424695145;0.8952881963024463;87.5
S_2802, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;220.296 + 2.746*S_2802 + 0.499*H_2802 - 0.897*X - 2.187*X1 + 2.947*X2 + 2.074*Xs + 0.324*Q12 - 0.077*Q01 - 0.011*Q02;LarsCV;0.6111612538919751;0.7915061097308023;78.125
S_2802, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;220.013 + 2.747*S_2802 + 0.5*H_2802 - 0.954*X - 2.251*X1 + 3.008*X2 + 2.13*Xs + 0.324*Q12 - 0.078*Q01 - 0.011*Q02;Lars9;0.6139260919387431;0.789363511721198;78.125
S_2802, H_2802, X, Q12, Q01;310.494 + 2.869*S_2802 + 0.33*H_2802 + 1.273*X + 0.282*Q12 - 0.078*Q01;OMPCV;0.6726650915818703;0.7399470755176711;71.875
S_2802, H_2802, X, Q12, Q01;310.494 + 2.869*S_2802 + 0.33*H_2802 + 1.273*X + 0.282*Q12 - 0.078*Q01;OMP5;0.6726650915818703;0.7399470755176711;71.875
;;RandomForestRegressor;0.6764828809775635;0.7364583571012658;65.625
S_2802, H_2802, X, X2, Xs, Q12, Q01, Q02;229.953 + 2.722*S_2802 + 0.441*H_2802 + 1.041*X + 0.874*X2 + 0.134*Xs + 0.317*Q12 - 0.049*Q01 - 0.006*Q02;Lars8;0.6787430389127629;0.7343758486820408;68.75
S_2802, H_2802, X, X2, Xs, Q12, Q01;232.881 + 2.716*S_2802 + 0.434*H_2802 + 1.047*X + 0.863*X2 + 0.124*Xs + 0.316*Q12 - 0.05*Q01;Lars7;0.6794690639244454;0.7337041577977039;68.75
S_2802, H_2802, X, X2, Q12, Q01;280.057 + 2.62*S_2802 + 0.368*H_2802 + 1.124*X + 0.664*X2 + 0.287*Q12 - 0.034*Q01;Lars6;0.6908835690129631;0.7229660393600175;65.625
S_2802, H_2802, X, X2, Q12;358.261 + 2.441*S_2802 + 0.217*H_2802 + 1.114*X + 0.305*X2 + 0.257*Q12;Lars5;0.6911955290912778;0.7226677940549368;71.875
S_2802, H_2802, X, X2, Q12, Q01;186.035 + 2.836*S_2802 + 0.549*H_2802 + 1.137*X + 1.097*X2 + 0.322*Q12 - 0.075*Q01;OMP6;0.7004048768863733;0.7137457589602787;68.75
S_2802, H_2802, X, X2, Q12, Q01, Q02;178.434 + 2.855*S_2802 + 0.637*H_2802 + 1.142*X + 1.113*X2 + 0.302*Q12 - 0.047*Q01 - 0.125*Q02;OMP7;0.7030599545650181;0.7111305789283953;68.75
S_2802, X, Q12, Q01;391.224 + 2.43*S_2802 + 1.45*X + 0.388*Q12 - 0.063*Q01;OMP4;0.7046132239872311;0.7095915758958248;71.875
S_2802, H_2802, X, Q12;422.285 + 2.243*S_2802 + 0.093*H_2802 + 1.142*X + 0.257*Q12;Lars4;0.7047414784753542;0.7094641981921088;65.625
S_2802, H_2802, X, X1, X2, Q12, Q01, Q02;208.757 + 2.846*S_2802 + 0.681*H_2802 + 0.936*X - 0.694*X1 + 1.716*X2 + 0.247*Q12 - 0.078*Q01 - 0.066*Q02;OMP8;0.7063047142752842;0.707907939348408;65.625
S_2802, H_2802, X, X1, X2, Q12, Q01;182.563 + 2.621*S_2802 + 0.537*H_2802 + 1.116*X - 0.064*X1 + 0.901*X2 + 0.32*Q12 - 0.038*Q01;QuantileRegressor;0.7294394266615615;0.6840454099192922;75.0
S_2802, Smax, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;217.01 + 3.705*S_2802 - 1.283*Smax + 0.613*H_2802 - 2.146*X - 3.823*X1 + 4.541*X2 + 3.545*Xs + 0.384*Q12 - 0.112*Q01 - 0.153*Q02;ElasticNetCV;0.7319021649906742;0.6814097305454069;59.375
S_2802, X, Q12;465.749 + 1.936*S_2802 + 1.131*X + 0.274*Q12;Lars3;0.7336571211362837;0.6795198515172463;65.625
S_2802, Smax, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;220.885 + 3.861*S_2802 - 1.438*Smax + 0.623*H_2802 - 3.405*X - 5.18*X1 + 5.808*X2 + 4.796*Xs + 0.39*Q12 - 0.125*Q01 - 0.146*Q02;LassoCV;0.9212661864274292;0.3889326596539063;43.75
S_2802, Smax, H_2802, X, X1, X2, Xs, Q12, Q01, Q02, Y_sum;221.242 + 3.913*S_2802 - 1.497*Smax + 0.629*H_2802 - 3.572*X - 5.358*X1 + 5.976*X2 + 4.967*Xs + 0.349*Q12 - 0.171*Q01 - 0.191*Q02 + 0.681*Y_sum;BayesianRidge;0.958734430604608;0.2843031684193094;46.875
S_2802, Smax, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;221.803 + 3.931*S_2802 - 1.514*Smax + 0.63*H_2802 - 3.763*X - 5.563*X1 + 6.167*X2 + 5.157*Xs + 0.394*Q12 - 0.129*Q01 - 0.15*Q02;OMP10;0.9835489600381049;0.18064175377791927;43.75
Q12;667.682 + 0.387*Q12;OMP1;0.9839442333959295;0.1784761764687281;43.75
X, Q12;695.196 + 0.389*X + 0.094*Q12;Lars2;0.9898598227629594;0.14204763736043868;50.0
X, Q12;309.322 + 2.719*X + 0.515*Q12;OMP2;0.9937433818201674;0.11168747059816946;40.625
Q12;759.538 + 0.024*Q12;Lars1;0.9974016952989715;0.07204067056002192;50.0
S_2802, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;204.967 + 2.785*S_2802 + 0.59*H_2802 - 3.975*X - 5.659*X1 + 6.238*X2 + 5.153*Xs + 0.335*Q12 - 0.12*Q01 - 0.019*Q02;OMP9;1.0218889085017455;0;40.625
X, Q12, Q01;313.93 + 2.837*X + 0.729*Q12 - 0.276*Q01;OMP3;1.0360406398555035;0;46.875
S_2802, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;220.967 + 2.956*S_2802 + 0.573*H_2802 - 7.148*X - 8.783*X1 + 9.106*X2 + 8.195*Xs + 0.333*Q12 - 0.134*Q01 + 0.028*Q02;Lars10;1.6477742861864764;0;37.5
