Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; S_2802, H_2802, X, X1, X2, Q12, Q01
Уравнение:;; 182.563 + 2.621*S_2802 + 0.537*H_2802 + 1.116*X - 0.064*X1 + 0.901*X2 + 0.32*Q12 - 0.038*Q01
Модель:;; QuantileRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;729.811262028006;-57.81126202800601;3342.14201727077;-0.4366759766332799
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;636.8054353561844;175.19456464381562;30693.13548073609;1.3233279283821782
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;703.202585859554;37.797414140445994;1428.6445157043868;0.2855018582018851
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;722.8122408746818;377.18775912531817;142270.60563397905;2.8490786623958373
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;704.8948734225402;41.10512657745983;1689.6314309489942;0.3104865845023651
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;711.5598675039554;-27.559867503955388;759.5462968355762;-0.20817279602620373
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;714.3309846681186;-163.33098466811862;26677.0105526572;-1.2337166625055596
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;759.5257495601011;-103.52574956010108;10717.580821980768;-0.7819792581927958
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;828.5374783051875;175.4625216948125;30787.096519502546;1.325351935519112
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;656.6344001144654;242.3655998855346;58741.084007875055;1.8307027267637903
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;843.8284388448383;-3.8284388448382742;14.656943988666619;-0.028918020691896692
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;604.9037017908701;-79.90370179087006;6384.601559884291;-0.6035506887782435
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;1025.1961780626805;56.803821937319526;3226.6741866867033;0.42906630215001185
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;742.3650036932736;75.6349963067264;5720.652666318517;0.5713071246203593
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;636.1488288227056;103.85117117729442;10785.065754895706;0.7844373225477418
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;815.9891321014634;-56.98913210146338;3247.761177678044;-0.4304660380158089
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;641.3187902713865;47.68120972861345;2273.4977611840222;0.36015887034626426
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;884.7775827119008;-57.77758271190078;3338.2490640305355;-0.4364215807294944
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;971.1638411290223;112.83615887097767;12731.998748756512;0.8523052108888823
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;938.7512626352328;8.24873736476718;68.04166811290621;0.06230663919784653
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;817.0473040069421;118.95269599305789;14149.74388401685;0.8985063268600955
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;849.8542261807438;250.1457738192562;62572.90815963448;1.8894700833601368
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;663.5193919298332;-210.5193919298332;44318.41437850672;-1.590153161276263
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;557.9475671615066;-63.94756716150664;4089.2913458754024;-0.4830264098030852
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;558.786646817208;-45.78664681720795;2096.417026763739;-0.3458483349832686
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;704.0906359731116;-4.090635973111603;16.73330266451471;-0.030898520391137493
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;837.7320935704963;-77.73209357049632;6042.278370852395;-0.5871474983404154
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;634.6830721606049;-112.68307216060487;12697.474751552083;-0.8511488741057616
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;683.7704079177257;-119.77040791772572;14344.950612778415;-0.9046828942067142
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;629.5254512122224;57.47454878777762;3303.32375835863;0.43413262127544566
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;781.0322667571766;-126.03226675717656;15884.132263952111;-0.9519816942732529
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;798.6545416522195;319.34545834778055;101981.52176735405;2.412168235314847
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;75.0;;Pм -;обеспеченность метода в %
S =;;143.27898191666267;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7294394266615615;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5320818771683475;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6840454099192922;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
