Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs, Q12, Q01, Q02
Уравнение:;; 220.885 + 3.861*S_2802 - 1.438*Smax + 0.623*H_2802 - 3.405*X - 5.18*X1 + 5.808*X2 + 4.796*Xs + 0.39*Q12 - 0.125*Q01 - 0.146*Q02
Модель:;; LassoCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;557.1430731889027;114.85692681109731;13192.113636489765;0.8675690328994361
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;615.1099747687836;196.89002523121644;38765.68203554905;1.4872040678776723
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;667.6487337066251;73.35126629337492;5380.4082668415995;0.5540570249172272
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;891.7004053379703;208.29959466202968;43388.721136365864;1.5733859760282327
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;881.7139385187389;-135.71393851873893;18418.27310826805;-1.025111968957016
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;718.0486741713718;-34.04867417137177;1159.3122128282391;-0.2571858410503018
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;603.2126498262116;-52.212649826211646;2726.160801874599;-0.3943869940847722
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;791.5822451369975;-135.58224513699747;18382.545196388874;-1.024117226166931
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;904.5894611988807;99.41053880111929;9882.455224728843;0.7508951127479236
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;883.4262170656319;15.573782934368069;242.54271488681408;0.11763619464742636
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;777.5584564325636;62.44154356743638;3898.946363084056;0.4716506968242749
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;435.34822784829254;89.65177215170746;8037.440249941669;0.6771825036839009
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;1288.399629648688;-206.399629648688;42600.80711911557;-1.5590346360182514
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;992.8981872509295;-174.89818725092948;30589.375903661192;-1.3210892488766541
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;732.5612622512028;7.438737748797166;55.33481929537993;0.05618832658939771
