Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; Q12
Уравнение:;; 667.682 + 0.387*Q12
Модель:;; OMP1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;830.3629192735957;-158.3629192735957;25078.81420085539;-1.196190500093116
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;731.9797957743426;80.02020422565738;6403.233084315915;0.6044306871160459
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;742.0505092034;-1.0505092033999972;1.1035695864280968;-0.007934995989790278
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;716.0990553669828;383.90094463301716;147379.9352901229;2.899786547590849
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;734.6911416975504;11.308858302449607;127.89027610488341;0.08542118906584761
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;721.1344120815115;-37.13441208151153;1378.9645606395093;-0.2804938881033457
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;830.3629192735957;-279.3629192735957;78043.64066506556;-2.110161088505979
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;749.4098767092496;-93.4098767092496;8725.405066837211;-0.7055692560291393
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;753.6705631600047;250.3294368399953;62664.826948629205;1.890857377567861
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;718.0357310264169;180.9642689735831;32748.06664514333;1.3669092512023917
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;798.988773590763;41.011226409237;1681.9206915896982;0.3097773118411859
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;693.3237496120377;-168.32374961203766;28332.884683455948;-1.271429392370029
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;798.988773590763;283.011226409237;80095.3542736604;2.1377184886669123
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;770.7133089630249;47.28669103697507;2236.0311492263386;0.35717888290216004
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;707.1903473335859;32.80965266641408;1076.4733080907326;0.2478269219268111
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;833.4616003286903;-74.46160032869034;5544.529923509617;-0.5624439063353434
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;747.0858659179287;-58.085865917928686;3373.9678194355893;-0.4387501905080988
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;822.2288815039724;4.771118496027611;22.763571703136776;0.036038528753734304
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;837.3349516475586;246.66504835244143;60843.64607871227;1.863178507302217
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;741.6631740715131;205.33682592848686;42163.21208238571;1.5510067736916429
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;788.5307250298188;147.46927497018123;21747.18706023092;1.1139056199778088
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;832.6869300649166;267.3130699350834;71456.27735811878;2.0191428414794794
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;817.1935247894437;-364.1935247894437;132636.92349855913;-2.7509270260162193
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;685.7707145402445;-191.7707145402445;36776.006955275945;-1.4485354777578718
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;703.7043311466044;-190.70433114660443;36368.14191807376;-1.440480576454079
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;764.1286117209489;-64.12861172094892;4112.4788412562275;-0.4843939255264109
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;896.2098916943557;-136.20989169435575;18553.13459538812;-1.0288581393350635
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;699.8697133409249;-177.86971334092493;31637.63492398281;-1.3435345996944832
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;783.8827034471769;-219.88270344717694;48348.40327523916;-1.660878709515929
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;757.9312496107598;-70.93124961075978;5031.242171343909;-0.5357774871372379
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;778.4600116007614;-123.46001160076139;15242.374464460137;-0.9325522268446843
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;733.1418011700031;384.8581988299969;148115.83320666946;2.9070171441336115
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;43.75;;Pм -;обеспеченность метода в %
S =;;193.26968473442525;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.9839442333959295;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.9681462544331034;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.1784761764687281;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
