Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; Q12
Уравнение:;; 759.538 + 0.024*Q12
Модель:;; Lars1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;769.5216024359861;-97.5216024359861;9510.46294168253;-0.736627077366806
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;763.4836904311734;48.516309568826614;2353.8322941782167;0.3664667768945544
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;764.101744415918;-23.101744415918006;533.6905950583988;-0.1744984705552079
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;762.5090668398453;337.49093316015467;113900.12996531198;2.5492296426809324
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;763.6500895809123;-17.650089580912322;311.5256622142297;-0.13331952694054694
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;762.8180938322176;-78.81809383221764;6212.291915344264;-0.5953505751852249
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;769.5216024359861;-218.5216024359861;47751.690731191164;-1.650597665779669
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;764.5533992509237;-108.55339925092369;11783.84048893044;-0.8199554891535801
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;764.8148836290849;239.18511637091513;57209.51989336821;1.8066790210671442
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;762.6279233753731;136.37207662462686;18597.343282913098;1.0300831993032584
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;767.5961265604357;72.40387343956434;5242.32088905245;0.5469009157928024
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;761.1113139820383;-236.11131398203827;55748.55259032466;-1.7834611286867588
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;767.5961265604357;314.40387343956434;98849.7956338016;2.3748420926185285
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;765.8608211417296;52.139178858270384;2718.4939720147095;0.393832032896338
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;761.9623267764174;-21.9623267764174;482.34379743414064;-0.16589190683270902
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;769.7117728928306;-10.711772892830595;114.74207850758033;-0.08091111879177963
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;764.4107714082903;-75.41077140829032;5686.784444393416;-0.5696134472454795
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;769.0224049867693;57.97759501323071;3361.4015235181946;0.43793236883475334
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;769.9494859638862;314.0505140361138;98627.7253663473;2.3721730008673476
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;764.0779731088124;182.92202689118756;33460.467921980344;1.3816971285240682
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;766.9543012685855;169.04569873141452;28576.44825959216;1.2768826176711945
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;769.6642302786195;330.33576972138053;109121.72075741694;2.4951832878187292
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;768.713377994397;-315.713377994397;99674.93704463298;-2.3847334037632373
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;760.6477734934798;-266.6477734934798;71101.03510903011;-2.014117540816658
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;761.7483850124673;-248.74838501246734;61875.75904631068;-1.87891494063301
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;765.4567089209351;-65.45670892093506;4284.580742760019;-0.4944256757688969
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;773.5627246439317;-13.562724643931688;183.94749976711194;-0.10244571424211475
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;761.5130490721223;-239.51304907212227;57366.50067582485;-1.809156052834765
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;766.6690455833187;-202.66904558331873;41074.74203765333;-1.5308557590484233
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;765.0763680072461;-78.07636800724606;6095.919241202916;-0.5897479670142308
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;766.3362472838409;-111.33624728384086;12395.759959248562;-0.8409756648073725
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;763.5550043524901;354.4449956475099;125631.25493956333;2.67729174571859
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;50.0;;Pм -;обеспеченность метода в %
S =;;195.9130453345985;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.9974016952989715;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.9948101417852624;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.07204067056002192;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
