Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs, Q12, Q01, Q02, Y_sum
Уравнение:;; 241.145 + 4.179*S_2802 - 1.984*Smax + 0.73*H_2802 - 4.642*X - 6.754*X1 + 6.887*X2 + 6.33*Xs - 73.446*Q12 - 73.872*Q01 - 66.988*Q02 + 1148.806*Y_sum
Модель:;; RidgeCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;-12964.091779550568;13636.091779550568;185942999.02032658;102.99989113560032
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;11259.087576060721;-10447.087576060721;109141638.82188228;-78.91182462060273
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;1084.9896944556153;-343.98969445561534;118328.9098916676;-2.5983178797484277
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;25798.282588626345;-24698.282588626345;610005162.8276433;-186.55788322573548
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;3109.9069247080683;-2363.9069247080683;5588055.948682757;-17.855714073790704
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;30456.02699988767;-29772.02699988767;886373591.6820403;-224.88228954818993
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;-1967.7751491636823;2518.7751491636823;6344228.25204453;19.025507480667997
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;-9914.493089424059;10570.493089424059;111735324.15356179;79.8439651963224
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;3323.1721776271575;-2319.1721776271575;5378559.589479892;-17.517811238154003
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;24161.51929702139;-23262.51929702139;541144804.0442926;-175.71287975094398
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;-7171.625606786549;8011.625606786549;64186144.86331794;60.51562123948978
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;39834.69889805244;-39309.69889805244;1545252427.4555452;-296.9248647288055
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;-4542.821675915084;5624.821675915084;31638618.88584417;42.48695518060774
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;-24097.29592452733;24915.29592452733;620771971.0067682;188.197088236536
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;35202.16348714821;-34462.16348714821;1187640712.2149312;-260.30912264734826
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;-45136.786244290735;45895.786244290735;2106423194.9816267;346.6727170195487
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;16702.193399122298;-16013.193399122298;256422362.83769393;-120.95527101954366
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;-3553.943063387969;4380.943063387969;19192662.124647163;33.09134801196656
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;-4314.143658109062;5398.143658109062;29139954.953583084;40.77474822759591
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;9070.532014437957;-8123.532014437957;65991772.38959841;-61.36090359691397
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;2614.808134650177;-1678.8081346501772;2818396.752967607;-12.68083684841755
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;-9931.380143521275;11031.380143521275;121691347.87087548;83.32526446925715
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;-18604.11409446811;19057.11409446811;363173597.6095751;143.94745274687673
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;33192.006039046944;-32698.006039046944;1069159598.9295504;-246.98360181351313
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;27533.165629303956;-27020.165629303956;730089350.6350188;-204.09617090271038
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;4299.09437533753;-3599.0943753375304;12953480.322586248;-27.185672760170817
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;-62222.861651437044;62982.861651437044;3966840861.804059;475.73952994619725
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;33898.43066587387;-33376.43066587387;1113986123.9938858;-252.1080659075196
