Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs, Q12, Q01, Q02, Y_sum
Уравнение:;; 247.759 + 4.264*S_2802 - 2.145*Smax + 0.765*H_2802 - 4.942*X - 7.162*X1 + 7.133*X2 + 6.732*Xs - 98.695*Q12 - 99.09*Q01 - 89.843*Q02 + 1541.651*Y_sum
Модель:;; OMP11

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;-17582.65082249151;18254.65082249151;333232276.6510899;137.88606573143736
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;14900.380037290734;-14088.380037290734;198482452.07513204;-106.41623960716237
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;1229.223248316032;-488.2232483160319;238361.94019625775;-3.687782558183827
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;34311.94166452069;-33211.94166452069;1103033069.127525;-250.86560219384842
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;3867.8809916479427;-3121.8809916479427;9746140.926012741;-23.581052949515726
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;40626.1012451858;-39942.1012451858;1595371451.8806727;-301.7017006405671
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;-2843.1183676845844;3394.1183676845844;11520039.493853867;25.637391418641208
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;-13576.211014351511;14232.211014351511;202555830.35702845;107.50266343142879
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;4148.946679548606;-3144.946679548606;9890689.617203802;-23.755279068050577
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;32116.771171324028;-31217.771171324028;974549236.9051496;-235.80268335862098
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;-9887.738608449103;10727.738608449103;115084375.65120949;81.03171544052576
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;53313.21789105617;-52788.21789105617;2786595948.1136227;-398.7345336128516
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;-6543.092899266909;7625.092899266909;58142041.72245063;57.59595573426216
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;-32683.303296655933;33501.30329665593;1122337322.5745296;253.0512883193588
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;46987.71966929737;-46247.71966929737;2138851574.6099145;-349.33103767686663
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;-60719.37114246129;61478.37114246129;3779590118.3302174;464.3753970887581
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;22265.985855078892;-21576.985855078892;465566318.5902746;-162.981243455723
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;-5075.922164837279;5902.922164837279;34844490.084127225;44.5875805318319
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;-6166.212347754265;7250.212347754265;52565579.08752841;54.764304509051
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;11748.15696498165;-10801.15696498165;116664991.7821716;-81.5862792299502
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;3247.16601793553;-2311.16601793553;5341488.362459974;-17.45733690357314
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;-13590.297789835453;14690.297789835453;215804849.1540444;110.96281086724044
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;-25049.0535828586;25502.0535828586;650354736.9429911;192.6291480897656
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;44309.3729210169;-43815.3729210169;1919786904.2077808;-330.95836504256897
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;36775.6753096089;-36262.6753096089;1314981620.610119;-273.90924537312276
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;5410.988942341928;-4710.988942341928;22193416.814867917;-35.58434161684912
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;-83653.37251352341;84413.37251352341;7125617459.10687;637.6143780669355
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;45290.62560695126;-44768.62560695126;2004229838.735372;-338.15873626793734
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;-45702.314009176014;46266.314009176014;2140571811.9956768;349.4714895757099
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;195.8625523237264;491.1374476762736;241215.9925099644;3.7097948929278974
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;-4675.601543068131;5330.601543068131;28415312.810960338;40.26457048688013
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;-48227.71600946593;49345.71600946593;2434999688.4868617;372.7316784861621
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;0.0;;Pм -;обеспеченность метода в %
S =;;32612.782301472525;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;166.0330699282969;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;27566.980309814728;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
