Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; Smax, H_2802, X, X1, Y_sum
Уравнение:;; 231.993 + 2.99*Smax + 0.282*H_2802 + 1.216*X + 0.411*X1 + 1.612*Y_sum
Модель:;; RidgeCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;720.5958132984283;-48.59581329842831;2361.553070135702;-0.36706730640302615
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;646.4153549367602;165.5846450632398;27418.274680719107;1.2507396320709452
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;691.0928631613244;49.90713683867557;2490.7223074342883;0.37697235721029415
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;789.699112732739;310.30088726726103;96286.64063884944;2.343850285294976
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;679.7543488908893;66.24565110911067;4388.486290870015;0.5003849316031993
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;783.2118397761433;-99.21183977614328;9842.989151767126;-0.749394244444003
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;685.621015482182;-134.62101548218197;18122.817809453878;-1.0168566010990663
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;781.3505413216949;-125.35054132169489;15712.75820964194;-0.9468322976004991
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;846.4485702394352;157.55142976056482;24822.45301959819;1.1900609335830685
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;711.3443523955032;187.65564760449683;35214.6420778631;1.4174524186783377
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;850.4538407560055;-10.453840756005548;109.28278655192264;-0.0789628346028162
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;693.2927777153195;-168.29277771531952;28322.459031137947;-1.271195446893436
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;1004.3992711044216;77.60072889557841;6021.873125125058;0.5861552384294122
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;787.668424878289;30.331575121711012;920.0044493639983;0.22910882282214193
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;798.7248512626938;-58.724851262693846;3448.608155825515;-0.44357675093406745
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;740.3960530272143;18.603946972785707;346.1068429662225;0.14052446579767486
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;669.882379242935;19.11762075706497;365.4834234109614;0.14440448836684824
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;819.6534425356008;7.346557464399211;53.97190657771977;0.05549204502930462
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;961.7525483545812;122.24745164541878;14944.439433799002;0.9233931843994747
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;993.5683393123479;-46.568339312347916;2168.6102263099683;-0.3517528304356735
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;820.1046595009022;115.89534049909776;13431.729949401808;0.8754126657047067
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;926.3828990860934;173.6171009139066;30142.897729749628;1.3114125940563526
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;601.1174030473494;-148.1174030473494;21938.765085490948;-1.1188012398129845
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;663.9591518980346;-169.95915189803463;28886.113313899208;-1.2837823641851067
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;721.3290530695774;-208.3290530695774;43400.9943528668;-1.5736084894007956
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;742.2011812091505;-42.20118120915049;1780.9396954475565;-0.3187656067888028
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;798.1044075978473;-38.104407597847285;1451.9458783828818;-0.2878207258952732
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;815.5917414257879;-293.59174142578786;86196.11063342668;-2.217638154248632
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;613.9791528542382;-49.97915285423824;2497.9157200273103;-0.3775163284509467
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;687.9902543559961;-0.9902543559960577;0.980603689569167;-0.0074798624498191545
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;798.5557547235139;-143.55575472351393;20608.25471423769;-1.084344938964485
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;870.1411867582151;247.8588132417849;61433.991301626;1.872195581668662
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
